Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Abdominal wall rupture,"Abdominal finding, Traumatic episode finding"
Abscess - hepatic (liver),"Inflammatory disorder finding, Hepatobiliary system finding, Abdominal finding"
Abscess - pancreatic,"Inflammatory disorder finding, Alimentary tract/Digestive system finding, Abdominal finding"
Abscess - peritoneal,"Inflammatory disorder finding, Abdominal finding"
Abscess - splenic,"Inflammatory disorder finding, Haematopoietic system finding, Abdominal finding"
Addison's disease (primary hypoadrenocorticism),"Endocrine/Metabolic finding, Abdominal finding"
Addisonian crisis (severe adrenocortical insufficiency),"Endocrine/Metabolic finding, Abdominal finding"
Adenocarcinoma - gastrointestinal,"Alimentary tract/Digestive system finding, Mass lesion/swelling finding, Abdominal finding"
Adenocarcinoma - hepatic (liver),"Hepatobiliary system finding, Mass lesion/swelling finding, Abdominal finding"
Adenocarcinoma - renal (kidney),"Urogenital system finding, Mass lesion/swelling finding, Abdominal finding"
Amyloidosis - hepatic (liver),"Hepatobiliary system finding, Endocrine/metabolic finding, Abdominal finding"
Amyloidosis - renal (kidney),"Urogenital system finding, Endocrine/metabolic finding, Abdominal finding"
Anaemia of chronic renal (kidney) failure,"Haematopoietic system finding, Urogenital system finding, Abdominal finding"
Ascites,"Abdominal finding, Effusion finding"
Bacterial overgrowth syndrome,"Alimentary tract/Digestive system finding, Abdominal finding"
Biliary tract disorder,"Hepatobiliary system finding, Abdominal finding"
Biliary tract disorder - obstructive,"Hepatobiliary system finding, Abdominal finding"
"Biliary tract disorder - obstructive, extrahepatic","Hepatobiliary system finding, Abdominal finding"
Biliary tract perforation,"Hepatobiliary system finding, Abdominal finding"
Biliary tract rupture (not gallbladder),"Hepatobiliary system finding, Abdominal finding"
Canine haemorrhagic gastroenteritis (HGE),"Alimentary tract/Digestive system finding, Inflammatory disorder finding, Abdominal finding"
Carcinoma/carcinoma in situ - biliary tract,"Mass lesion/swelling finding, Hepatobiliary system finding, Abdominal finding"
Carcinoma/carcinoma in situ - hepatocellular,"Mass lesion/swelling finding, Hepatobiliary system finding, Abdominal finding"
Carcinoma/carcinoma in situ - intestinal,"Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Abdominal finding"
"Carcinoma/carcinoma in situ - intestinal, colon","Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Abdominal finding"
Carcinoma/carcinoma in situ - pancreatic,"Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Abdominal finding"
Carcinoma/carcinoma in situ - renal (kidney),"Mass lesion/swelling finding, Urogenital system finding, Abdominal finding"
Carcinoma/carcinoma in situ - stomach (gastric),"Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Abdominal finding"
"Carcinoma/carcinoma in situ - stomach (gastric), pylorus","Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Abdominal finding"
Carcinoma/carcinoma in situ - urinary bladder,"Mass lesion/swelling finding, Urogenital system finding, Abdominal finding"
Cataract - diabetic,"Ophthalmology/vision finding, Endocrine/metabolic finding, Alimentary tract/Digestive system finding, Head and neck finding, Abdominal finding"
Cholangitis,"Hepatobiliary system finding, Inflammatory disorder finding, Abdominal finding"
Cholangiohepatitis,"Hepatobiliary system finding, Inflammatory disorder finding, Abdominal finding"
"Cholangitis/cholangiohepatitis syndrome, feline","Hepatobiliary system finding, Inflammatory disorder finding, Abdominal finding"
Cholecystitis,"Hepatobiliary system finding, Inflammatory disorder finding, Abdominal finding"
Cholelithiasis,"Hepatobiliary system finding, Abdominal finding"
Cholestasis,"Hepatobiliary system finding, Abdominal finding"
Colitis,"Alimentary tract/Digestive system finding, Inflammatory disorder finding, Abdominal finding"
Colitis - chronic,"Alimentary tract/Digestive system finding, Inflammatory disorder finding, Abdominal finding"
Colitis - eosinophilic,"Alimentary tract/Digestive system finding, Inflammatory disorder finding, Abdominal finding"
Colitis - lymphocytic/plasmacytic,"Alimentary tract/Digestive system finding, Inflammatory disorder finding, Abdominal finding"
Colitis - ulcerative,"Alimentary tract/Digestive system finding, Inflammatory disorder finding, Abdominal finding"
Colonic stricture,"Alimentary tract/Digestive system finding, Abdominal finding"
Constipation,"Alimentary tract/Digestive system finding, Abdominal finding"
Copper-associated hepatitis in Bedlington Terriers,"Hepatobiliary system finding, Inflammatory disorder finding, Hereditary disorder finding, Abdominal finding"
Cystitis,"Urogenital system finding, Inflammatory disorder finding, Abdominal finding"
Cystitis - bacterial,"Urogenital system finding, Inflammatory disorder finding, Infectious disorder finding, Abdominal finding"
Cystitis - chronic,"Urogenital system finding, Inflammatory disorder finding, Abdominal finding"
Cystitis - polypoid,"Urogenital system finding, Inflammatory disorder finding, Abdominal finding"
Diabetic ketoacidosis (DKA),"Endocrine/Metabolic finding, Alimentary tract/Digestive system finding, Abdominal finding"
Diabetes insipidus - nephrogenic,"Endocrine/Metabolic finding, Urogenital system finding, Abdominal finding"
Diabetes mellitus,"Endocrine/Metabolic finding, Alimentary tract/Digestive system finding, Abdominal finding"
Diabetes mellitus resolved,"Endocrine/Metabolic finding, Alimentary tract/Digestive system finding, Abdominal finding"
Diabetes mellitus - hyperosmolar non-ketotic syndrome,"Endocrine/Metabolic finding, Alimentary tract/Digestive system finding, Abdominal finding"
Diabetes mellitus - stable,"Endocrine/Metabolic finding, Alimentary tract/Digestive system finding, Abdominal finding"
Diabetes mellitus - unstable,"Endocrine/Metabolic finding, Alimentary tract/Digestive system finding, Abdominal finding"
