Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Adverse reaction to blood transfusion,"Complication of medical care finding, Adverse reaction finding"
Adverse reaction to drug,"Drug-related disorder finding, Adverse reaction finding"
Adverse reaction to drug - Non-steroidal anti-inflammatory drug (NSAID),"Drug-related disorder finding, Adverse reaction finding"
Adverse reaction to food,Adverse reaction finding
Alopecia/hair coat abnormality - glucocorticoid reaction,"Haircoat/skin (+ appendages) finding, Adverse reaction finding"
Food hypersensitivity,"Haircoat/skin (+ appendages) finding, Immune system finding, Adverse reaction finding"
Food intolerance,Adverse reaction finding
Hypersensitivity (allergic) skin disorder - food hypersensitivity,"Immune system finding, Haircoat/skin (+ appendages) finding, Adverse reaction finding"
Myopathy (muscle disorder) - steroid-induced,"Musculoskeletal system finding, Adverse reaction finding, Drug-related disorder finding"
Oesophagitis - drug-related,"Alimentary tract/Digestive system finding, Inflammatory disorder finding, Drug-related disorder, Adverse reaction finding"
Adverse reaction to drug (unspecified),"Drug-related disorder finding, Adverse reaction finding"
Adverse reaction to drug – acetaminophen (paracetamol),"Drug-related disorder finding, Adverse reaction finding"
Adverse reaction to drug – anti-parasitic preparation,"Drug-related disorder finding, Adverse reaction finding"
Adverse reaction to drug – digoxin,"Drug-related disorder finding, Adverse reaction finding"
Adverse reaction to drug – non-steroidal anti-inflammatory drug (NSAID)(unspecified),"Drug-related disorder finding, Adverse reaction finding"
Adverse reaction to drug – NSAID – carprofen,"Drug-related disorder finding, Adverse reaction finding"
Adverse reaction to drug – NSAID – ibuprofen,"Drug-related disorder finding, Adverse reaction finding"
Adverse reaction to drug – NSAID – meloxicam,"Drug-related disorder finding, Adverse reaction finding"
Adverse reaction to drug – phenobarbital,"Drug-related disorder finding, Adverse reaction finding"
Adverse reaction to drug – steroid,"Drug-related disorder finding, Adverse reaction finding"
Adverse reaction to vaccination,Adverse reaction finding
Adverse reaction to plasma transfusion,"Complication of medical care finding, Adverse reaction finding"
Antibiotic-related diarrhoea,"Alimentary tract/Digestive system finding, Abdominal finding, Drug-related disorder finding, Adverse reaction finding, Complication of medical care finding"
Enteritis - antibiotic-associated,"Alimentary tract/Digestive system finding, Inflammatory disorder finding, Abdominal finding, Drug-related disorder finding, Complication of episode of care finding, Adverse reaction finding"
Adverse reaction to drug - antibiotic (unspecified),"Drug-related disorder finding, Adverse reaction finding"
Adverse reaction to drug - antibiotic - penicillin,"Drug-related disorder finding, Adverse reaction finding"
