Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Abscess - oral (mouth),"Inflammatory disorder finding, Alimentary tract/Digestive system finding, Head and neck finding"
"Abscess - oral (mouth), dental (tooth)","Inflammatory disorder finding, Alimentary tract/Digestive system finding, Head and neck finding"
Abscess - pancreatic,"Inflammatory disorder finding, Alimentary tract/Digestive system finding, Abdominal finding"
Abscess - retropharyngeal,"Inflammatory disorder finding, Respiratory system finding, Alimentary tract/Digestive system finding, Head and neck finding"
Adenocarcinoma - anal sac,"Alimentary tract/Digestive system finding, Mass lesion/swelling finding"
Adenocarcinoma - apocrine adenocarcinoma of anal sac,"Alimentary tract/Digestive system finding, Mass lesion/swelling finding"
Adenocarcinoma - gastrointestinal,"Alimentary tract/Digestive system finding, Mass lesion/swelling finding, Abdominal finding"
Adenocarcinoma - oesophageal,"Alimentary tract/Digestive system finding, Mass lesion/swelling finding"
Adenocarcinoma - rectal,"Alimentary tract/Digestive system finding, Mass lesion/swelling finding, Pelvic structure finding"
Adenocarcinoma - salivary,"Alimentary tract/Digestive system finding, Mass lesion/swelling finding, Head and neck finding"
Adenocarcinoma - tonsillar,"Haematopoietic system finding, Immune system finding, Alimentary tract/Digestive system finding, Respiratory system finding, Head and neck finding"
Adenoma - apocrine adenoma of anal sac,"Alimentary tract/Digestive system finding, Mass lesion/swelling finding"
Anal atresia (atresia ani),"Alimentary tract/Digestive system finding, Congenital finding"
Anal furunculosis,"Alimentary tract/Digestive system finding, Inflammatory disorder finding"
Anal sac abscess,"Alimentary tract/Digestive system finding, Inflammatory disorder finding"
Anal sac disorder,Alimentary tract/Digestive system finding
Anal sac impaction,Alimentary tract/Digestive system finding
Anal stricture,Alimentary tract/Digestive system finding
Bacterial overgrowth syndrome,"Alimentary tract/Digestive system finding, Abdominal finding"
Canine haemorrhagic gastroenteritis (HGE),"Alimentary tract/Digestive system finding, Inflammatory disorder finding, Abdominal finding"
Carcinoma/carcinoma in situ - intestinal,"Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Abdominal finding"
"Carcinoma/carcinoma in situ - intestinal, colon","Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Abdominal finding"
Carcinoma/carcinoma in situ - oesophageal,"Mass lesion/swelling finding, Alimentary tract/Digestive system finding"
Carcinoma/carcinoma in situ - pancreatic,"Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Abdominal finding"
Carcinoma/carcinoma in situ - rectal,"Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Pelvic structure finding"
Carcinoma/carcinoma in situ - salivary apparatus,"Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Head and neck finding"
Carcinoma/carcinoma in situ - stomach (gastric),"Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Abdominal finding"
"Carcinoma/carcinoma in situ - stomach (gastric), pylorus","Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Abdominal finding"
Carcinoma/carcinoma in situ - tonsil,"Mass lesion/swelling finding, Haematopoietic system finding, Immune system finding, Respiratory system finding, Alimentary tract/Digestive system finding, Head and neck finding"
Cataract - diabetic,"Ophthalmology/vision finding, Endocrine/metabolic finding, Alimentary tract/Digestive system finding, Head and neck finding, Abdominal finding"
Cheilitis (inflammation of lips),"Alimentary tract/Digestive system finding, Soft tissue finding, Inflammatory disorder finding, Head and neck finding"
Cleft palate,"Alimentary tract/Digestive system finding, Congenital finding, Head and neck finding"
Colitis,"Alimentary tract/Digestive system finding, Inflammatory disorder finding, Abdominal finding"
Colitis - chronic,"Alimentary tract/Digestive system finding, Inflammatory disorder finding, Abdominal finding"
Colitis - eosinophilic,"Alimentary tract/Digestive system finding, Inflammatory disorder finding, Abdominal finding"
Colitis - lymphocytic/plasmacytic,"Alimentary tract/Digestive system finding, Inflammatory disorder finding, Abdominal finding"
Colitis - ulcerative,"Alimentary tract/Digestive system finding, Inflammatory disorder finding, Abdominal finding"
Colonic stricture,"Alimentary tract/Digestive system finding, Abdominal finding"
Constipation,"Alimentary tract/Digestive system finding, Abdominal finding"
Cricopharyngeal achalasia (cricopharyngeal dysphagia),"Alimentary tract/Digestive system finding, Respiratory system finding, Musculoskeletal system finding, Head and neck finding"
Dental (tooth) disease,"Alimentary tract/Digestive system finding, Head and neck finding"
Dental (tooth) structure injury,"Alimentary tract/Digestive system finding, Traumatic episode finding, Head and neck finding"
Diabetic ketoacidosis (DKA),"Endocrine/Metabolic finding, Alimentary tract/Digestive system finding, Abdominal finding"
Diabetes mellitus,"Endocrine/Metabolic finding, Alimentary tract/Digestive system finding, Abdominal finding"
Diabetes mellitus resolved,"Endocrine/Metabolic finding, Alimentary tract/Digestive system finding, Abdominal finding"
Diabetes mellitus - hyperosmolar non-ketotic syndrome,"Endocrine/Metabolic finding, Alimentary tract/Digestive system finding, Abdominal finding"
Diabetes mellitus - stable,"Endocrine/Metabolic finding, Alimentary tract/Digestive system finding, Abdominal finding"
Diabetes mellitus - unstable,"Endocrine/Metabolic finding, Alimentary tract/Digestive system finding, Abdominal finding"
Dysphagia,Alimentary tract/Digestive system finding
Dysphagia - oesophageal,Alimentary tract/Digestive system finding
Dysphagia - pharyngeal,"Alimentary tract/Digestive system finding, Respiratory system finding, Head and neck finding"
Enteritis,"Alimentary tract/Digestive system finding, Inflammatory disorder finding, Abdominal finding"
Enteritis - lymphocytic/plasmacytic,"Alimentary tract/Digestive system finding, Inflammatory disorder finding, Abdominal finding"
Enteropathy,"Alimentary tract/Digestive system finding, Abdominal finding"
Eosinophilic granuloma,"Haircoat/skin (+ appendages) finding, Immune system finding, Alimentary tract/Digestive system finding, Head and neck finding"
Epulis,"Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Soft tissue finding, Head and neck finding"
Epulis - acanthomatous epulis,"Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Soft tissue finding, Head and neck finding"
Epulis - periodontal fibromatous epulis,"Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Soft tissue finding, Head and neck finding"
Epulis - ossifying epulis,"Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Soft tissue finding, Head and neck finding"
Exocrine pancreatic insufficiency (EPI),"Alimentary tract/Digestive system finding, Abdominal finding"
Faecal incontinence,Alimentary tract/Digestive system finding
Foreign body - gastric (stomach),"Foreign body finding, Alimentary tract/Digestive system finding, Abdominal finding"
"Foreign body - intestinal, large","Foreign body finding, Alimentary tract/Digestive system finding, Abdominal finding"
"Foreign body - intestinal, small","Foreign body finding, Alimentary tract/Digestive system finding, Abdominal finding"
Foreign body - oesophageal,"Foreign body finding, Alimentary tract/Digestive system finding"
Foreign body - oral (mouth),"Foreign body finding, Alimentary tract/Digestive system finding, Head and neck finding"
Foreign body - pharyngeal,"Foreign body finding, Alimentary tract/Digestive system finding, Respiratory system finding"
"Foreign body, alimentary tract - linear","Foreign body finding, Alimentary tract/Digestive system finding"
Gastric (stomach) dilation,"Alimentary tract/Digestive system finding, Abdominal finding"
Gastric dilation-volvulus syndrome (GDV),"Alimentary tract/Digestive system finding, Abdominal finding"
Gastric (stomach) outflow (pyloric) obstruction,"Alimentary tract/Digestive system finding, Abdominal finding"
Gastric (stomach) perforation,"Alimentary tract/Digestive system finding, Abdominal finding"
Gastric (stomach) rupture,"Alimentary tract/Digestive system finding, Abdominal finding"
Gastric (stomach) torsion - chronic,"Alimentary tract/Digestive system finding, Abdominal finding"
Gastric (stomach) ulceration,"Alimentary tract/Digestive system finding, Inflammatory disorder finding, Abdominal finding"
Gastritis,"Alimentary tract/Digestive system finding, Inflammatory disorder finding, Abdominal finding"
Gastritis - acute,"Alimentary tract/Digestive system finding, Inflammatory disorder finding, Abdominal finding"
Gastritis - chronic,"Alimentary tract/Digestive system finding, Inflammatory disorder finding, Abdominal finding"
Gastritis - hypertrophic,"Alimentary tract/Digestive system finding, Inflammatory disorder finding, Abdominal finding"
