Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Aortic aneurysm,Cardiovascular system finding
Aortic valve regurgitation/insufficiency,"Cardiovascular system finding, Thoracic finding"
Aortic valve stenosis,"Cardiovascular system finding, Thoracic finding"
Aural (ear) haematoma,"Auditory system finding, Cardiovascular system finding, Head and neck finding"
Brain haemorrhage,"Nervous system finding, Cardiovascular system finding, Head and neck finding"
Brainstem infarction,"Nervous system finding, Cardiovascular system finding, Head and neck finding"
Cardiac conduction disorder,"Cardiovascular system finding, Thoracic finding"
Cardiac conduction disorder - atrial fibrillation,"Cardiovascular system finding, Thoracic finding"
Cardiac tamponade,"Cardiovascular system finding, Thoracic finding"
Cardiomegaly,"Cardiovascular system finding, Thoracic finding"
Cardiomyopathy - Canine dilated cardiomyopathy,"Cardiovascular system finding, Musculoskeletal system finding, Thoracic finding"
Cardiomyopathy - Canine hypertrophic cardiomyopathy,"Cardiovascular system finding, Musculoskeletal system finding, Thoracic finding"
Cardiomyopathy - Feline dilated cardiomyopathy,"Cardiovascular system finding, Musculoskeletal system finding, Thoracic finding"
Cardiomyopathy - Feline hypertrophic cardiomyopathy,"Cardiovascular system finding, Musculoskeletal system finding, Thoracic finding"
Cardiomyopathy - Feline restrictive cardiomyopathy,"Cardiovascular system finding, Musculoskeletal system finding, Thoracic finding"
Cardiomyopathy - Feline unclassified cardiomyopathy,"Cardiovascular system finding, Musculoskeletal system finding, Thoracic finding"
Cardiomyopathy - unclassified or class undetermined,"Cardiovascular system finding, Musculoskeletal system finding, Thoracic finding"
"Cardiomyopathy, primary","Cardiovascular system finding, Musculoskeletal system finding, Thoracic finding"
"Cardiomyopathy, secondary","Cardiovascular system finding, Musculoskeletal system finding, Thoracic finding"
"Cardiomyopathy, secondary - hypertensive","Cardiovascular system finding, Musculoskeletal system finding, Thoracic finding"
"Cardiomyopathy, secondary - taurine-deficiency","Cardiovascular system finding, Musculoskeletal system finding, Nutritional finding, Thoracic finding"
"Cardiomyopathy, secondary - thyrotoxic","Cardiovascular system finding, Musculoskeletal system finding, Endocrine/metabolic finding, Thoracic finding, Head and neck finding"
Cardiopulmonary arrest,"Cardiovascular system finding, Respiratory system finding, Complication during visit finding"
Cerebellar infarction,"Nervous system finding, Cardiovascular system finding, Head and neck finding"
Cerebral infarction,"Nervous system finding, Cardiovascular system finding, Head and neck finding"
Cerebrovascular accident (CVA),"Nervous system finding, Cardiovascular system finding, Head and neck finding"
Cerebrovascular disorder,"Nervous system finding, Cardiovascular system finding, Head and neck finding"
Chordae tendinae abnormality - mitral,"Cardiovascular system finding, Thoracic finding"
Chordae tendinae abnormality - tricuspid,"Cardiovascular system finding, Thoracic finding"
Chordae tendinae rupture,"Cardiovascular system finding, Thoracic finding"
Cor pulmonale,"Respiratory system finding, Cardiovascular system finding, Thoracic finding"
Coronary artery abnormality,"Cardiovascular system finding, Thoracic finding"
Encephalopathy - hypertensive,"Nervous system finding, Cardiovascular system finding, Head and neck finding"
Endocardiosis,"Cardiovascular system finding, Thoracic finding"
Endocarditis,"Cardiovascular system finding, Inflammatory disorder finding, Thoracic finding"
Endocarditis - bacterial,"Cardiovascular system finding, Inflammatory disorder finding, Infectious disorder finding, Thoracic finding"
Gastrointestinal haemorrhage,"Alimentary tract/Digestive system finding, Cardiovascular system finding, Abdominal finding"
Haemangioma,"Cardiovascular system finding, Mass lesion/swelling finding"
Haemangioma - splenic,"Haematopoietic system finding, Cardiovascular system finding, Mass lesion/swelling finding, Abdominal finding"
Haemangiopericytoma,"Cardiovascular system finding, Mass lesion/swelling finding"
Haemangiopericytoma - cutaneous (skin),"Soft tissue finding, Cardiovascular system finding, Mass lesion/swelling finding"
