Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Aneurysm - arterial (unspecified),Circulatory
Aneurysm - venous (unspecified),Circulatory
"Bovine Neonatal Pancytopenia ( BNP, bleeding calf syndrome)",Circulatory
Caudal vena cava thrombosis ( Pulmonary thromboembolism),"Circulatory, Digestive, Respiratory"
Delayed capillary refill time,Circulatory
DIAGNOSIS NOT MADE (Diagnosis not listed),"Circulatory, Digestive, Mastitis, Musculo-skeletal, Nervous-Sensory, Reproductive, Respiratory, Skin, Systemic & Misc, Urinary & Umbilical"
Heart (cardiac) muffled,Circulatory
Heart (cardiac) splashing,Circulatory
Pericardial effusion - haemorrhagic,Circulatory
Pericardial effusion - modified transudate,Circulatory
Pericardial effusion - transudate,Circulatory
Tick born fever - Anaplasma phagocytophilum,"Circulatory, Systemic & Misc"
Traumatic reticulo-pericarditis ( tyre wire disease),"Circulatory, Digestive"
