Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Adverse reaction to blood transfusion,"Complication of medical care finding, Adverse reaction finding"
Alopecia/hair coat abnormality - injection reaction,"Haircoat/skin (+ appendages) finding, Complication of medical care finding"
Bone implant complication,"Complication of medical care finding, Musculoskeletal system finding"
Bone implant complication - broken or fatigued,"Complication of medical care finding, Musculoskeletal system finding"
Bone implant complication - infected,"Complication of medical care finding, Musculoskeletal system finding, Infectious disorder finding"
Bone implant complication - loosened,"Complication of medical care finding, Musculoskeletal system finding"
Bone implant complication - migrated,"Complication of medical care finding, Musculoskeletal system finding"
Foreign body left post-operatively - clinical object,"Foreign body finding, Complication of medical care finding"
Foreign body left post-operatively - non-clinical object,"Foreign body finding, Complication of medical care finding"
Hypoparathyroidism - post-surgical,"Endocrine/Metabolic finding, Head and neck finding, Complication of medical care finding"
Insulin overdose,"Complication of medical care finding, Drug-related disorder finding"
"Intoxication (poisoning), drug - digoxin toxicity","Intoxication (poisoning)/toxin exposure finding, Drug-related disorder finding, Complication of medical care finding"
"Intoxication (poisoning), drug - phenobarbital","Intoxication (poisoning)/toxin exposure finding, Drug-related disorder finding, Complication of medical care finding"
Oesophagitis - reflux (post-operative),"Alimentary tract/Digestive system finding, Inflammatory disorder finding, Complication of medical care finding, Anaesthesia finding"
Post-operative complication,Complication of medical care finding
Post-operative complication - gastrointestinal anastomotic dehiscence,"Complication of medical care finding, Alimentary tract/Digestive system finding, Abdominal finding"
Post-operative complication - haemorrhage,"Complication of medical care finding, Cardiovascular system finding"
Post-operative complication - incisional hernia,"Complication of medical care finding, Musculoskeletal system finding"
Post-operative complication - infection,"Complication of medical care finding, Infectious disorder finding"
Post-operative complication - infection with septicaemia,"Complication of medical care finding, Infectious disorder finding"
Post-operative complication - wound breakdown,"Complication of medical care finding, Wound finding"
Post-operative complication - wound infection,"Complication of medical care finding, Wound finding, Infectious disorder finding"
Post-operative complication - wound infection with MRSA,"Complication of medical care finding, Wound finding, Infectious disorder finding"
Post-operative complication - wound necrosis,"Complication of medical care finding, Wound finding"
Seroma - wound,"Complication of medical care finding, Wound finding"
Complication of transvenous pacemaker placement,Complication of medical care finding
Complication of fracture repair,Complication of medical care finding
Accidental drug (therapeutic) overdose,"Intoxication (poisoning)/toxin exposure finding, Drug-related disorder finding, Complication of medical care finding"
Mass lesion - injection site reaction,"Complication of medical care finding, Mass lesion/swelling finding"
Oesophagitis - reflux (post-anaesthesia),"Alimentary tract/Digestive system finding, Inflammatory disorder finding, Complication of medical care finding, Anaesthesia finding"
Embolus - Total Hip Replacement-associated,"Cardiovascular system finding, Complication of medical care finding"
Post-operative complication - wound seroma,"Complication of medical care finding, Wound finding"
Secondary ileus - postoperative,"Alimentary tract/Digestive system finding, Abdominal finding, Complication of medical care finding"
"Intoxication (poisoning), drug – accidental therapeutic drug overdose","Intoxication (poisoning)/toxin exposure finding, Drug-related disorder finding, Complication of medical care finding"
Fibrosarcoma - Feline injection site,"Complication of medical care finding, Connective tissue finding, Soft tissue finding, Mass lesion/swelling finding"
Post-operative complication - other,Complication of medical care finding
Regurgitation during/post-anaesthesia,"Alimentary tract/Digestive system finding, Complication of medical care finding, Anaesthesia finding"
Vomiting during/post-anaesthesia,"Alimentary tract/Digestive system finding, Complication of medical care finding, Anaesthesia finding"
Post-operative complication - vomiting,"Alimentary tract/Digestive system finding, Complication of medical care finding"
Post-operative complication – self-trauma,Complication of medical care finding
Post-operative complication - excessive pain,"Complication of medical care finding, Nervous system finding"
Post-operative complication - excessive bruising,"Complication of medical care finding, Wound finding, Cardiovascular system finding"
Post-operative complication - excessive swelling,"Complication of medical care finding, Wound finding, Mass lesion/swelling finding"
