Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Cryptorchidism - bilateral,"Urogenital system finding, Reproductive system finding, Congenital disorder finding"
Cryptorchidism - unilateral,"Urogenital system finding, Reproductive system finding, Congenital disorder finding"
Ehlers-Danlos syndrome,"Haircoat/skin (+ appendages) finding, Musculoskeletal system finding, Hereditary disorder finding, Developmental disorder finding, Congenital disorder finding"
Renal (kidney) failure - congenital,"Urogenital system finding, Congenital disorder finding, Abdominal finding"
Monorchidism (unilateral anorchidism),"Urogenital system finding, Reproductive system finding, Congenital disorder finding"
Cryptorchidism (Rig)(unspecified),"Urogenital system finding, Reproductive system finding, Congenital disorder finding"
Cryptorchidism (Rig) - abdominal - complete,"Urogenital system finding, Reproductive system finding, Congenital disorder finding, Abdominal finding"
Cryptorchidism (Rig) - abdominal - partial/incomplete,"Urogenital system finding, Reproductive system finding, Congenital disorder finding, Abdominal finding"
Cryptorchidism (Rig) - bilateral,"Urogenital system finding, Reproductive system finding, Congenital disorder finding"
Cryptorchidism (Rig) - inguinal,"Urogenital system finding, Reproductive system finding, Congenital disorder finding, Pelvic structure finding"
Cryptorchidism (Rig) - unilateral,"Urogenital system finding, Reproductive system finding, Congenital disorder finding"
Equine herpesvirus type 1 (EHV-1) infection - congenital,"Infectious disorder finding, Congenital disorder finding"
Polymicrogyria,"Nervous system finding, Head and neck finding, Hereditary disorder finding, Congenital disorder finding"
Cutaneous asthenia (Ehlers-Danlos syndrome),"Haircoat/skin (+ appendages) finding, Musculoskeletal system finding, Hereditary disorder finding, Congenital disorder finding"
Cryptorchidism (Rig) - abdominal,"Urogenital system finding, Reproductive system finding, Congenital disorder finding, Abdominal finding"
