Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Anal atresia (atresia ani),"Alimentary tract/Digestive system finding, Congenital finding"
Brachycephalic airway obstruction syndrome (BAOS),"Respiratory system finding, Congenital finding, Head and neck finding"
Cataract - congenital,"Ophthalmology/vision finding, Congenital finding, Head and neck finding"
Cleft palate,"Alimentary tract/Digestive system finding, Congenital finding, Head and neck finding"
Congenital disorder,Congenital finding
Dermoid sinus,"Haircoat/skin (+ appendages) finding, Hereditary disorder finding, Developmental disorder finding, Congenital finding"
Elongated soft palate,"Alimentary/Digestive system finding, Respiratory system finding, Congenital finding, Head and neck finding"
Eyelid coloboma/agenesis,"Ophthalmology/vision finding, Congenital finding, Head and neck finding"
Galactosialidosis,"Endocrine/metabolic finding, Nervous system finding, Congenital finding, Hereditary disorder finding"
"Heart (cardiac) anomaly, congenital","Cardiovascular system finding, Congenital finding, Thoracic finding"
"Heart (cardiac) anomaly, congenital - Atrial septal defect (ASD)","Cardiovascular system finding, Congenital finding, Thoracic finding"
"Heart (cardiac) anomaly, congenital - Atrioventricular septal defect (AVSD)","Cardiovascular system finding, Congenital finding, Thoracic finding"
"Heart (cardiac) anomaly, congenital - Cor triatriatum dexter","Cardiovascular system finding, Congenital finding, Thoracic finding"
"Heart (cardiac) anomaly, congenital - Cor triatriatum sinister","Cardiovascular system finding, Congenital finding, Thoracic finding"
"Heart (cardiac) anomaly, congenital - Double-chambered right ventricle","Cardiovascular system finding, Congenital finding, Thoracic finding"
"Heart (cardiac) anomaly, congenital - Double outlet right ventricle","Cardiovascular system finding, Congenital finding, Thoracic finding"
"Heart (cardiac) anomaly, congenital - Tetralogy of Fallot","Cardiovascular system finding, Congenital finding, Thoracic finding"
"Heart (cardiac) anomaly, congenital - Ventricular septal defect (VSD)","Cardiovascular system finding, Congenital finding, Thoracic finding"
"Heart (cardiac) disease, congenital","Cardiovascular system finding, Congenital finding, Thoracic finding"
"Hernia - diaphragmatic, congenital","Musculoskeletal system finding, Congenital finding, Thoracic finding, Abdominal finding"
Hernia - peritoneopericardial,"Musculoskeletal system finding, Cardiovascular system finding, Congenital finding, Thoracic finding, Abdominal finding"
"Hernia, congenital","Musculoskeletal system finding, Congenital finding"
Hydromyelia,"Nervous system finding, Congenital finding"
"Joint luxation, congenital","Musculoskeletal system finding, Congenital finding"
"Joint subluxation, congenital","Musculoskeletal system finding, Congenital finding"
"Limb deformity, congenital","Musculoskeletal system finding, Congenital finding, Limb finding"
Lysosomal enzyme disorder,"Endocrine/metabolic finding, Hereditary disorder finding, Congenital finding"
Macroblepharon/macropalpebral fissure,"Ophthalmology/vison finding, Congenital finding, Head and neck finding"
Meningomyelocele,"Nervous system finding, Congenital finding"
Myopathy (muscle disorder) - congenital,"Musculoskeletal system finding, Congenital finding"
Myotonia congenita,"Musculoskeletal system finding, Congenital finding, Hereditary disorder finding"
"Nasal (nose) disorder, congenital","Respiratory system finding, Congenital finding, Head and neck finding"
Nasolacrimal duct abnormality - imperforate punctum (lacrimal punctal aplasia),"Ophthalmology/vision finding, Congenital finding, Head and neck finding"
Patent ductus arteriosus (PDA),"Cardiovascular system finding, Congenital finding, Thoracic finding"
Patent ductus arteriosus (PDA) with left-to-right shunt,"Cardiovascular system finding, Congenital finding, Thoracic finding"
Patent ductus arteriosus (PDA) with right-to-left shunt,"Cardiovascular system finding, Congenital finding, Thoracic finding"
