Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Chondrosarcoma,"Mass lesion/swelling finding, Musculoskeletal system finding, Connective tissue finding"
Cruciate disease,"Musculoskeletal system finding, Connective tissue finding, Limb finding"
Cruciate ligament instability - caudal,"Musculoskeletal system finding, Connective tissue finding, Limb finding"
Cruciate ligament instability - cranial,"Musculoskeletal system finding, Connective tissue finding, Limb finding"
"Cruciate ligament instability, partial - caudal","Musculoskeletal system finding, Connective tissue finding, Limb finding"
"Cruciate ligament instability, partial - cranial","Musculoskeletal system finding, Connective tissue finding, Limb finding"
Cruciate ligament rupture - caudal,"Musculoskeletal system finding, Connective tissue finding, Limb finding"
Cruciate ligament rupture - cranial,"Musculoskeletal system finding, Connective tissue finding, Limb finding"
Cruciate ligament rupture - caudal and cranial,"Musculoskeletal system finding, Connective tissue finding, Limb finding"
Fibrosarcoma,"Connective tissue finding, Mass lesion/swelling finding"
Haemangiosarcoma,"Cardiovascular system finding, Connective tissue finding, Mass lesion/swelling finding"
Haemangiosarcoma - cutaneous (skin),"Cardiovascular system finding, Connective tissue finding, Haircoat/skin (+ appendages) finding, Mass lesion/swelling finding"
Haemangiosarcoma - splenic,"Cardiovascular system finding, Connective tissue finding, Haematopoietic system finding, Mass lesion/swelling finding, Abdominal finding"
Histiocytosis - malignant histiocytosis,"Haematopoietic system finding, Connective tissue finding, Mass lesion/swelling finding"
Leiomyosarcoma,"Musculoskeletal system finding, Connective tissue finding, Mass lesion/swelling finding"
Lymphangiosarcoma,"Lymphatic system finding, Connective tissue finding, Mass lesion/swelling finding"
Myxoma,"Connective tissue finding, Mass lesion/swelling finding"
Myxosarcoma,"Connective tissue finding, Mass lesion/swelling finding"
Osteosarcoma,"Musculoskeletal system finding, Connective tissue finding, Mass lesion/swelling finding"
Osteosarcoma - appendicular,"Musculoskeletal system finding, Connective tissue finding, Mass lesion/swelling finding, Limb finding"
Osteosarcoma - axial,"Musculoskeletal system finding, Connective tissue finding, Mass lesion/swelling finding"
Osteosarcoma - extraskeletal,"Musculoskeletal system finding, Connective tissue finding, Mass lesion/swelling finding"
Sarcoma,"Connective tissue finding, Mass lesion/swelling finding"
Sarcoma - soft tissue,"Connective tissue finding, Soft tissue finding, Mass lesion/swelling finding"
Sarcoma - synovial,"Connective tissue finding, Musculoskeletal system finding, Mass lesion/swelling finding"
Scleroderma,Connective tissue finding
Tendinitis,"Musculoskeletal system finding, Connective tissue finding, Inflammatory disorder finding"
Tendinitis - Achilles tendon,"Musculoskeletal system finding, Connective tissue finding, Inflammatory disorder finding, Limb finding"
Tendinitis - biceps tendon,"Musculoskeletal system finding, Connective tissue finding, Inflammatory disorder finding, Limb finding"
Tendon disorder,"Musculoskeletal system finding, Connective tissue finding"
Tendon injury,"Musculoskeletal system finding, Connective tissue finding, Traumatic episode finding"
Tendon laceration,"Musculoskeletal system finding, Connective tissue finding, Wound finding, Traumatic episode finding"
Tendon rupture,"Musculoskeletal system finding, Connective tissue finding"
Tendon rupture - Achilles tendon,"Musculoskeletal system finding, Connective tissue finding, Limb finding"
