Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Cerebellar abiotrophy,"Nervous system finding, Degenerative disorder finding, Hereditary disorder finding, Head and neck finding"
Avascular necrosis of the femoral head (Legg-Calvé-Perthes disease),"Musculoskeletal system finding, Degenerative disorder finding, Limb finding"
Corneal degeneration,"Ophthalmology/vision finding, Degenerative disorder finding, Head and neck finding"
Feline central retinal degeneration (FCRD),"Ophthalmology/vision finding, Degenerative disorder finding, Head and neck finding"
Intervertebral disc degeneration,"Musculoskeletal system finding, Degenerative disorder finding, Spine (vertebral column) finding"
Mitral valve myxomatous degeneration,"Cardiovascular system finding, Degenerative disorder finding, Thoracic finding"
"Myelopathy, Degenerative","Nervous system finding, Degenerative disorder finding"
Progressive retinal atrophy (PRA),"Ophthalmology/vision finding, Hereditary disorder finding, Degenerative disorder finding, Head and neck finding"
Retinal atrophy/degeneration,"Ophthalmology/vision finding, Degenerative disorder finding, Head and neck finding"
Retinal atrophy/degeneration - focal,"Ophthalmology/vision finding, Degenerative disorder finding, Head and neck finding"
Retinal atrophy/degeneration - generalised,"Ophthalmology/vision finding, Degenerative disorder finding, Head and neck finding"
Retinal atrophy/degeneration - multifocal,"Ophthalmology/vision finding, Degenerative disorder finding, Head and neck finding"
Sudden acquired retinal degeneration (SARD),"Ophthalmology/vision finding, Degenerative disorder finding, Head and neck finding"
Chronic degenerative radiculomyelopathy (CDRM),"Nervous system finding, Degenerative disorder finding"
Chronic degenerative AV valve disease,"Cardiovascular system finding, Degenerative disorder finding, Thoracic finding"
Equine degenerative myeloencephalopathy (EDM),"Nervous system disorder finding, Degenerative disorder finding, Head and neck finding"
Equine motor neuron disease (EMND),"Nervous system disorder finding, Degenerative disorder finding, Head and neck finding"
Nutritional myodegeneration (White muscle disease),"Musculoskeletal system finding, Nutritional finding, Degenerative disorder finding"
Retinal atrophy/degeneration (unspecified),"Ophthalmology/vision finding, Degenerative disorder finding, Head and neck finding"
Spinal cord disorder (myelopathy) - degenerative,"Nervous system finding, Degenerative disorder finding"
Corneal degeneration - endothelial,"Ophthalmology/vision finding, Degenerative disorder finding, Head and neck finding"
