Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Dermoid sinus,"Haircoat/skin (+ appendages) finding, Hereditary disorder finding, Developmental disorder finding, Congenital finding"
Ehlers-Danlos syndrome,"Haircoat/skin (+ appendages) finding, Musculoskeletal system finding, Hereditary disorder finding, Developmental disorder finding, Congenital disorder finding"
Elbow dysplasia (canine),"Musculoskeletal system finding, Hereditary disorder finding, Limb finding, Developmental disorder finding"
Elbow dysplasia (canine) - elbow incongruity,"Musculoskeletal system finding, Hereditary disorder finding, Limb finding, Developmental disorder finding"
"Elbow dysplasia (canine) - medial coronoid process disease, fragment identified","Musculoskeletal system finding, Hereditary disorder finding, Limb finding, Developmental disorder finding"
"Elbow dysplasia (canine) - medial coronoid process disease, no fragment identified","Musculoskeletal system finding, Hereditary disorder finding, Limb finding, Developmental disorder finding"
Elbow dysplasia (canine) - osteochondritis dissecans (OCD),"Musculoskeletal system finding, Hereditary disorder finding, Limb finding, Developmental disorder finding"
Elbow dysplasia (canine) - ununited anconeal process (UAP),"Musculoskeletal system finding, Hereditary disorder finding, Limb finding, Developmental disorder finding"
"Hip dysplasia, developmental","Musculoskeletal system finding, Hereditary disorder finding, Developmental disorder finding, Limb finding"
"Hip dysplasia, developmental - bilateral","Musculoskeletal system finding, Hereditary disorder finding, Developmental disorder finding, Limb finding"
"Hip dysplasia, developmental - unilateral","Musculoskeletal system finding, Hereditary disorder finding, Developmental disorder finding, Limb finding"
Incomplete ossification of the humeral condyle (IOHC),"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Limb deformity, developmental - carpal varus","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Limb deformity, developmental - carpal valgus","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Limb deformity, developmental - genu varum","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Limb deformity, developmental - genu valgum","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Limb deformity, developmental - pes varus","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Metaphyseal osteopathy (Canine hypertrophic osteodystrophy),"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Osteochondritis dissecans (OCD),"Musculoskeletal system finding, Developmental disorder finding"
Osteochondritis dissecans (OCD) - elbow,"Musculosksletal system finding, Hereditary disorder finding, Developmental disorder finding, Limb finding"
"Osteochondritis dissecans (OCD) - elbow, humeral condyle","Musculosksletal system finding, Hereditary disorder finding, Developmental disorder finding, Limb finding"
"Osteochondritis dissecans (OCD) - femoral condyle, lateral","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Osteochondritis dissecans (OCD) - femoral condyle, medial","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Osteochondritis dissecans (OCD) - shoulder,"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Osteochondritis dissecans (OCD) - shoulder, humeral head","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Osteochondritis dissecans (OCD) - talus,"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Osteochondrosis (Juvenile osteochondritis, dyschondroplasia)","Musculoskeletal system finding, Developmental disorder finding"
"Skin (cutaneous) disorder, developmental/congenital","Haircoat/skin (+ appendages) finding, Developmental disorder finding, Congenital finding"
Subepidermal blistering disease,"Haircoat/skin (+ appendages) finding, Developmental disorder finding, Congenital finding"
Retained deciduous tooth,"Alimentary tract/Digestive system finding, Developmental disorder finding, Head and neck finding"
Temporomandibular joint (TMJ) dysplasia,"Musculoskeletal system finding, Head and neck finding, Developmental disorder finding"
Osteochondritis dissecans (OCD)(unspecified),"Musculoskeletal system finding, Developmental disorder finding"
Caps,"Alimentary tract/Digestive system finding, Developmental disorder finding, Head and neck finding"
Dental (tooth) disorder - retained tooth/teeth (unspecified),"Alimentary tract/Digestive system finding, Developmental disorder finding, Head and neck finding"
Dental (tooth) disorder - retained cheek tooth/teeth,"Alimentary tract/Digestive system finding, Developmental disorder finding, Head and neck finding"
Dental (tooth) disorder - retained incisor(s),"Alimentary tract/Digestive system finding, Developmental disorder finding, Head and neck finding"
Dentigerous cyst,"Alimentary tract/Digestive system finding, Developmental disorder finding, Head and neck finding"
Dwarfism (unspecified),"Height/growth finding, Developmental disorder finding"
Dwarfism - Achondroplasia,"Height/growth finding, Developmental disorder finding, Musculoskeletal system finding, Hereditary disorder finding"
Enlarged caudal vertebral epiphysis (site unspecified),"Musculoskeletal system finding, Developmental disorder finding, Spine (vertebral column) finding"
Enlarged caudal vertebral epiphysis - cervical,"Musculoskeletal system finding, Developmental disorder finding, Spine (vertebral column) finding, Head and neck finding"
Incomplete ossification (site unspecified),"Musculoskeletal system finding, Developmental disorder finding"
"Limb deformity, developmental - distal physis of metacarpal III","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Limb deformity, developmental - distal physis of metatarsal III","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Limb deformity, developmental - tarsal varus","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Limb deformity, developmental - tarsal valgus","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Osteochondritis dissecans (OCD) - foot,"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Osteochondritis dissecans (OCD) - stifle (site unspecified),"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Osteochondritis dissecans (OCD) - stifle - lateral femoral trochlear ridge,"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Osteochondritis dissecans (OCD) - stifle - medial femoral trochlear ridge,"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Osteochondritis dissecans (OCD) - stifle - patella,"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Osteochondritis dissecans (OCD) - stifle - trochlear groove,"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Osteochondritis dissecans (OCD) - tarsus (site unspecified),"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Osteochondritis dissecans (OCD) - tarsus - distal tibial intermediate ridge,"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Osteochondritis dissecans (OCD) - tarsus - lateral talus trochlear ridge,"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Osteochondritis dissecans (OCD) - tarsus - medial malleolus,"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Osteochondrosis (site unspecified),"Musculoskeletal system finding, Developmental disorder finding"
Osteochondrosis - medial femoral condyle,"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Osteochondrosis - metacarpophalangeal joint,"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Osteochondrosis - proximal interphalangeal joint (High ringbone),"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Osteochondrosis - shoulder,"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Osteochondrosis - stifle,"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Osteochondrosis - tarsus (site unspecified),"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Osteochondrosis - tarsus - distal intermediate ridge of tibia,"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Osteochondrosis - tarsus - lateral malleolus of distal tibia,"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Osteochondrosis - tarsus - lateral trochlear ridge of talus,"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Osteochondrosis - tarsus - medial malleolus of distal tibia,"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Osteochondrosis - tarsus - medial trochlear ridge of talus,"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Separate centre of ossification (site unspecified),"Musculoskeletal system finding, Developmental disorder finding"
Separate centre of ossification - distal phalanx,"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Shoulder dysplasia,"Musculoskeletal system finding, Limb finding, Developmental disorder finding"
Retinal dysplasia (unspecified),"Ophthalmology/vision finding, Head and neck finding, Developmental disorder finding"
Retinal dysplasia - folds,"Ophthalmology/vision finding, Head and neck finding, Developmental disorder finding"
Retinal dysplasia - geographical,"Ophthalmology/vision finding, Head and neck finding, Developmental disorder finding"
Retinal dysplasia - complete,"Ophthalmology/vision finding, Head and neck finding, Developmental disorder finding"
"Angular limb deformity - valgus, carpal","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Angular limb deformity - valgus, carpal (knee)","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Angular limb deformity - varus, carpal","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Angular limb deformity - varus, carpal (knee)","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Angular limb deformity - valgum, genu","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Angular limb deformity - varum, genu","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Angular limb deformity - varus, pes","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Angular limb deformity - valgus, metacarpophalangeal (MCP, fore fetlock)","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Angular limb deformity - valgus, metatarsophalangeal (MTP, hind fetlock)","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Angular limb deformity - varus, metacarpophalangeal (MCP, fore fetlock)","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Angular limb deformity - varus, metatarsophalangeal (MTP, hind fetlock)","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Angular limb deformity - valgus, tarsal (hock)","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Angular limb deformity - varus, tarsal (hock)","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Osteochondritis dissecans (OCD) - femur,"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Osteochondritis dissecans (OCD) - humerus,"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Osteochondritis dissecans (OCD) - humerus, distal","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Osteochondritis dissecans (OCD) - metacarpal III (MC3, front cannon)","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Osteochondritis dissecans (OCD) - metacarpal III (MC3, front cannon), sagittal ridge","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Osteochondritis dissecans (OCD) - metatarsal III (MT3, hind cannon)","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Osteochondritis dissecans (OCD) - metatarsal III (MT3, hind cannon), sagittal ridge","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Osteochondritis dissecans (OCD) - middle phalanx (P2, short pastern)","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Osteochondritis dissecans (OCD) - middle phalanx (P2, short pastern), proximal","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Osteochondritis dissecans (OCD) - proximal phalanx (P1, long pastern)","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Osteochondritis dissecans (OCD) - proximal phalanx (P1, long pastern), distal","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Osteochondritis dissecans (OCD) - radial carpal bone,"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Osteochondritis dissecans (OCD) - radius,"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Osteochondritis dissecans (OCD) - radius, distal","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Osteochondritis dissecans (OCD) - radius, proximal","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
