Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Abomasal bloat,Digestive
Abomasal dilation,Digestive
Abomasal impaction,Digestive
Abomasal torsion,Digestive
Abomasal ulceration,Digestive
Abomasitis,Digestive
Bovine papular stomatitis ( parapoxvirus),"Digestive, Skin"
Bovine Viral Diarrhoea ( BVD),"Digestive, Systemic & Misc"
Calf diptheria - Fusobacterium necrophorum,Digestive
Caudal vena cava thrombosis ( Pulmonary thromboembolism),"Circulatory, Digestive, Respiratory"
Clostridial disease - Clostridium perfringens D ( pulpy kidney),"Digestive, Nervous / Sensory"
Clostridial disease - Clostridium perfringens enterotoxaemia,Digestive
Clostridial disease - Clostridium sordellii abomasitis,Digestive
Colibacillosis - Enteric - E. coli K99,Digestive
Colibacillosis EPEC/VTEC ( O157:H7),Digestive
Cysticercosis,"Digestive, Systemic & Misc"
DIAGNOSIS NOT MADE (Diagnosis not listed),"Circulatory, Digestive, Mastitis, Musculo-skeletal, Nervous-Sensory, Reproductive, Respiratory, Skin, Systemic & Misc, Urinary & Umbilical"
Dicrocoeliasis ( Dicrocoelium dendriticum),Digestive
Displaced abomasum - left ( LDA),Digestive
Displaced abomasum - right ( RDA),Digestive
Enterities - idiopathic necrotising,Digestive
Enteritis - necrotic,Digestive
Fatty liver ( steatosis),Digestive
"Hypomagnesaemia ( grass staggers, magnesium deficiency)",Digestive
Jejunal Haemorrhage Syndrome,Digestive
Johne's Disease ( paratubercolosis),Digestive
Mucosal disease ( PI),Digestive
Parasite infestation - Fascioliasis (liver fluke infestation) - acute,Digestive
Parasite infestation - Fascioliasis (liver fluke infestation) - chronic,Digestive
Parasite infestation - Haemochosis ( Haemonchus contortus),Digestive
Parasite infestation - Nematodirosis ( Nematodirus battus),Digestive
Parasite infestation - Ostertagiasis ( Ostertagia ostertagi),Digestive
Parasite infestation - Ostertagiasis ( Teladorsagia circumcincta),Digestive
Parasite infestation - Parasitic gastroenteritis ( PGE),Digestive
Parasite infestation - Rumen fluke (adult),Digestive
Parasite infestation - Rumen fluke (juvenile),Digestive
Peritonitis (local),Digestive
Ruminal acidosis,Digestive
Ruminal bloat - free gas,Digestive
Ruminal bloat - frothy gas,Digestive
Ruminal stasis,Digestive
Salmonellosis - Salmonella Dublin,"Digestive, Systemic & Misc"
Salmonellosis - Salmonella Typhimurium,"Digestive, Systemic & Misc"
Schmallenberg virus ( SBV) disease,"Digestive, Systemic & Misc"
Sub-acute ruminal acidosis ( SARA),Digestive
Traumatic reticulo-pericarditis ( tyre wire disease),"Circulatory, Digestive"
Vagal indigestion,Digestive
Winter dysentery,Digestive
