Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Adverse reaction to drug,"Drug-related disorder finding, Adverse reaction finding"
Adverse reaction to drug - Non-steroidal anti-inflammatory drug (NSAID),"Drug-related disorder finding, Adverse reaction finding"
Insulin overdose,"Complication of medical care finding, Drug-related disorder finding"
"Intoxication (poisoning), drug","Intoxication (poisoning)/toxin exposure finding, Drug-related disorder finding"
"Intoxication (poisoning), drug - acetaminophen (paracetamol)","Intoxication (poisoning)/toxin exposure finding, Drug-related disorder finding"
"Intoxication (poisoning), drug - digoxin toxicity","Intoxication (poisoning)/toxin exposure finding, Drug-related disorder finding, Complication of medical care finding"
"Intoxication (poisoning), drug - ibuprofen","Intoxication (poisoning)/toxin exposure finding, Drug-related disorder finding"
"Intoxication (poisoning), drug - phenobarbital","Intoxication (poisoning)/toxin exposure finding, Drug-related disorder finding, Complication of medical care finding"
Myopathy (muscle disorder) - steroid-induced,"Musculoskeletal system finding, Adverse reaction finding, Drug-related disorder finding"
Accidental drug (therapeutic) overdose,"Intoxication (poisoning)/toxin exposure finding, Drug-related disorder finding, Complication of medical care finding"
Adverse reaction to drug (unspecified),"Drug-related disorder finding, Adverse reaction finding"
Adverse reaction to drug – acetaminophen (paracetamol),"Drug-related disorder finding, Adverse reaction finding"
Adverse reaction to drug – anti-parasitic preparation,"Drug-related disorder finding, Adverse reaction finding"
Adverse reaction to drug – digoxin,"Drug-related disorder finding, Adverse reaction finding"
Adverse reaction to drug – non-steroidal anti-inflammatory drug (NSAID)(unspecified),"Drug-related disorder finding, Adverse reaction finding"
Adverse reaction to drug – NSAID – carprofen,"Drug-related disorder finding, Adverse reaction finding"
Adverse reaction to drug – NSAID – ibuprofen,"Drug-related disorder finding, Adverse reaction finding"
Adverse reaction to drug – NSAID – meloxicam,"Drug-related disorder finding, Adverse reaction finding"
Adverse reaction to drug – phenobarbital,"Drug-related disorder finding, Adverse reaction finding"
Adverse reaction to drug – steroid,"Drug-related disorder finding, Adverse reaction finding"
"Intoxication (poisoning), drug (unspecified)","Intoxication (poisoning)/toxin exposure finding, Drug-related disorder finding"
"Intoxication (poisoning), drug – anti-parasitic preparation","Intoxication (poisoning)/toxin exposure finding, Drug-related disorder finding"
"Intoxication (poisoning), drug – digoxin","Intoxication (poisoning)/toxin exposure finding, Drug-related disorder finding"
"Intoxication (poisoning), drug – non-steroidal anti-inflammatory drug (NSAID)(unspecified)","Intoxication (poisoning)/toxin exposure finding, Drug-related disorder finding"
"Intoxication (poisoning), drug – NSAID – carprofen","Intoxication (poisoning)/toxin exposure finding, Drug-related disorder finding"
"Intoxication (poisoning), drug – NSAID – ibuprofen","Intoxication (poisoning)/toxin exposure finding, Drug-related disorder finding"
"Intoxication (poisoning), drug – NSAID – meloxicam","Intoxication (poisoning)/toxin exposure finding, Drug-related disorder finding"
"Intoxication (poisoning), drug – accidental therapeutic drug overdose","Intoxication (poisoning)/toxin exposure finding, Drug-related disorder finding, Complication of medical care finding"
"Intoxication (poisoning), drug – accidental non-therapeutic drug overdose","Intoxication (poisoning)/toxin exposure finding, Drug-related disorder finding"
"Intoxication (poisoning), drug – non-accidental drug overdose","Intoxication (poisoning)/toxin exposure finding, Drug-related disorder finding"
Antibiotic-related diarrhoea,"Alimentary tract/Digestive system finding, Abdominal finding, Drug-related disorder finding, Adverse reaction finding, Complication of medical care finding"
Enteritis - antibiotic-associated,"Alimentary tract/Digestive system finding, Inflammatory disorder finding, Abdominal finding, Drug-related disorder finding, Complication of episode of care finding, Adverse reaction finding"
Intoxication (poisoning) - warfarin,"Intoxication (poisoning)/toxin exposure finding, Drug-related disorder finding"
"Intoxication (poisoning), drug - aminoglycoside","Intoxication (poisoning)/toxin exposure finding, Drug-related disorder finding"
Adverse reaction to drug - antibiotic (unspecified),"Drug-related disorder finding, Adverse reaction finding"
Adverse reaction to drug - antibiotic - penicillin,"Drug-related disorder finding, Adverse reaction finding"
