Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Acromegaly,"Endocrine/Metabolic finding, Nervous system finding, Head and neck finding"
Addison's disease (primary hypoadrenocorticism),"Endocrine/Metabolic finding, Abdominal finding"
Addisonian crisis (severe adrenocortical insufficiency),"Endocrine/Metabolic finding, Abdominal finding"
Azotaemia,Endocrine/Metabolic finding
Calcinosis circumscripta,"Endocrine/Metabolic finding, Haircoat/skin (+ appendages) finding, Soft tissue finding"
Calcinosis cutis,"Endocrine/Metabolic finding, Haircoat/skin (+ appendages) finding"
Diabetic ketoacidosis (DKA),"Endocrine/Metabolic finding, Alimentary tract/Digestive system finding, Abdominal finding"
Diabetes insipidus,Endocrine/Metabolic finding
Diabetes insipidus - central (pituitary),"Endocrine/Metabolic finding, Nervous system finding, Head and neck finding"
Diabetes insipidus - nephrogenic,"Endocrine/Metabolic finding, Urogenital system finding, Abdominal finding"
Diabetes mellitus,"Endocrine/Metabolic finding, Alimentary tract/Digestive system finding, Abdominal finding"
Diabetes mellitus resolved,"Endocrine/Metabolic finding, Alimentary tract/Digestive system finding, Abdominal finding"
Diabetes mellitus - hyperosmolar non-ketotic syndrome,"Endocrine/Metabolic finding, Alimentary tract/Digestive system finding, Abdominal finding"
Diabetes mellitus - stable,"Endocrine/Metabolic finding, Alimentary tract/Digestive system finding, Abdominal finding"
Diabetes mellitus - unstable,"Endocrine/Metabolic finding, Alimentary tract/Digestive system finding, Abdominal finding"
Encephalopathy - uraemic,"Nervous system finding, Endocrine/Metabolic finding, Head and neck finding"
Enzymopathy,Endocrine/Metabolic finding
Hyperandrogenism,"Endocrine/Metabolic finding, Urogenital system finding, Reproductive system finding"
"Hyperadrenocorticism, iatrogenic","Endocrine/Metabolic finding, Abdominal finding"
Hypercalcaemia,Endocrine/Metabolic finding
Hypercalcaemia - idiopathic,Endocrine/Metabolic finding
Hypercalcaemia of malignancy (paraneoplastic),"Endocrine/Metabolic finding, Mass lesion/swelling finding"
Hypercalcaemic nephropathy,"Endocrine/Metabolic finding, Urogenital system finding, Abdominal finding"
Hypercholesterolaemia,Endocrine/Metabolic finding
Hypercortisolism,"Endocrine/Metabolic finding, Abdominal finding"
Hypercortisolism - adrenal-dependent,"Endocrine/Metabolic finding, Abdominal finding"
Hypercortisolism - pituitary-dependent,"Endocrine/Metabolic finding, Nervous system finding, Abdominal finding, Head and neck finding"
Hyperglycaemia,Endocrine/Metabolic finding
Hyperinsulinism,"Endocrine/Metabolic finding, Alimentary tract/Digestive system finding, Abdominal finding"
Hyperkalaemia,Endocrine/Metabolic finding
Hyperlipidaemia,Endocrine/Metabolic finding
Hypermagnesaemia,Endocrine/Metabolic finding
Hypernatraemia,Endocrine/Metabolic finding
Hyperoestrogenism,"Endocrine/Metabolic finding, Urogenital system finding, Reproductive system finding"
Hyperparathyroidism,"Endocrine/Metabolic finding, Head and neck finding"
"Hyperparathyroidism, primary","Endocrine/Metabolic finding, Head and neck finding"
"Hyperparathyroidism, secondary - nutritional","Endocrine/Metabolic finding, Nutritional finding, Head and neck finding"
"Hyperparathyroidism, secondary - renal","Endocrine/Metabolic finding, Urogenital system finding, Head and neck finding, Abdominal finding"
Hyperthyroidism,"Endocrine/Metabolic finding, Head and neck finding"
Hypoadrenocorticism (adrenocortical hypofunction),"Endocrine/Metabolic finding, Abdominal finding"
Hypoadrenocorticism (adrenocortical hypofunction) - iatrogenic,"Endocrine/Metabolic finding, Abdominal finding"
Hypocalcaemia,Endocrine/Metabolic finding
Hypocalcaemia - puerperal,"Reproductive system finding, Endocrine/Metabolic finding"
Hypoglycaemia,Endocrine/Metabolic finding
Hypokalaemia,Endocrine/Metabolic finding
Hypomagnesaemia,Endocrine/Metabolic finding
Hyponatraemia,Endocrine/Metabolic finding
Hypoparathyroidism,"Endocrine/Metabolic finding, Head and neck finding"
Hypoparathyroidism - post-surgical,"Endocrine/Metabolic finding, Head and neck finding, Complication of medical care finding"
Hypopituitarism,"Endocrine/Metabolic finding, Nervous system finding, Head and neck finding"
Hypothyroidism,"Endocrine/Metabolic finding, Head and neck finding"
Insulinoma,"Alimentary tract/Digestive system finding, Endocrine/Metabolic finding, Neuroendocrine system finding, Abdominal finding"
Mass lesion - adrenal,"Endocrine/Metabolic finding, Abdominal finding, Mass lesion/swelling finding"
Mass lesion - pituitary,"Nervous system finding, Endocrine/Metabolic finding, Mass lesion/swelling finding, Head and neck finding"
Metabolic epidermal necrosis/Necrolytic migratory erythema/Supf necrolytic dermatitis/Hepatocutaneous syndrome,"Endocrine/Metabolic finding, Haircoat/skin (+ appendages) finding, Hepatobiliary system finding, Abdominal finding"
Myopathy (muscle disorder) - endocrine,"Musculoskeletal system finding, Endocrine/Metabolic finding"
