Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Foreign body,Foreign body finding
Foreign body - aural (ear),"Foreign body finding, Auditory system finding, Head and neck finding"
Foreign body - bronchial,"Foreign body finding, Respiratory system finding, Thoracic finding"
Foreign body - cutaneous (skin),"Foreign body finding, Haircoat/skin (+ appendages) finding"
Foreign body - gastric (stomach),"Foreign body finding, Alimentary tract/Digestive system finding, Abdominal finding"
"Foreign body - intestinal, large","Foreign body finding, Alimentary tract/Digestive system finding, Abdominal finding"
"Foreign body - intestinal, small","Foreign body finding, Alimentary tract/Digestive system finding, Abdominal finding"
Foreign body - intra-ocular,"Foreign body finding, Ophthalmology/vision finding, Head and neck finding"
"Foreign body - intra-ocular, corneal","Foreign body finding, Ophthalmology/vision finding, Head and neck finding"
"Foreign body - intra-ocular, anterior chamber","Foreign body finding, Ophthalmology/vision finding, Head and neck finding"
Foreign body - limb,"Foreign body finding, Limb finding"
Foreign body - nasal (nose),"Foreign body finding, Respiratory system finding, Head and neck finding"
Foreign body - nasal sinus,"Foreign body finding, Respiratory system finding, Head and neck finding"
Foreign body - oesophageal,"Foreign body finding, Alimentary tract/Digestive system finding"
Foreign body - oral (mouth),"Foreign body finding, Alimentary tract/Digestive system finding, Head and neck finding"
Foreign body - orbital,"Foreign body finding, Ophthalmology/vision finding, Head and neck finding"
Foreign body - peritoneal,"Foreign body finding, Abdominal finding"
Foreign body - pharyngeal,"Foreign body finding, Alimentary tract/Digestive system finding, Respiratory system finding"
Foreign body - pulmonary (lung),"Foreign body finding, Respiratory system finding, Thoracic finding"
Foreign body - retrobulbar,"Foreign body finding, Ophthalmology/vision finding, Head and neck finding"
Foreign body - retroperitoneal,"Foreign body finding, Abdominal finding"
Foreign body - third eyelid/nictitating membrane,"Foreign body finding, Ophthalmology/vision finding, Soft tissue finding, Head and neck finding"
"Foreign body, alimentary tract - linear","Foreign body finding, Alimentary tract/Digestive system finding"
"Foreign body, air gun pellet",Foreign body finding
"Foreign body, bone",Foreign body finding
"Foreign body, fishing hook",Foreign body finding
"Foreign body, grass seed",Foreign body finding
Foreign body left post-operatively - clinical object,"Foreign body finding, Complication of medical care finding"
Foreign body left post-operatively - non-clinical object,"Foreign body finding, Complication of medical care finding"
Foreign body - tracheal,"Foreign body finding, Respiratory system finding"
Foreign body (site unspecified),Foreign body finding
Foreign body - thoracic,"Foreign body finding, Thoracic finding"
Small colon foreign body,"Foreign body finding, Alimentary tract/Digestive system finding, Abdominal finding"
Foreign body - conjunctival,"Foreign body finding, Ophthalmology/vision finding, Soft tissue finding, Head and neck finding"
Foreign body - thorn,Foreign body finding
Foreign body - nasolacrimal (tear) duct,"Foreign body finding, Ophthalmology/vision finding, Head and neck finding"
Foreign body - paranasal sinus,"Foreign body finding, Respiratory system finding, Head and neck finding"
