Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Lymphoma (malignant),"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - B-cell,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - central nervous system (CNS),"Nervous system finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - cutaneous (skin) T-cell,"Haircoat/skin (+ appendages) finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - gastric (stomach),"Alimentary tract/Digestive system finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding, Abdominal finding"
Lymphoma - intestinal,"Alimentary tract/Digestive system finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding, Abdominal finding"
Lymphoma - lymph node(s),"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - ocular (eye),"Ophthalmology/vision finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding, Head and neck finding"
Lymphoma - orbital,"Ophthalmology/vision finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Musculoskeletal system finding, Mass lesion/swelling finding, Head and neck finding"
Lymphoma - renal (kidney),"Urogenital system finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding, Abdominal finding"
Lymphoma - splenic,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding, Abdominal finding"
Lymphoma - T-cell,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma stage I,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma stage II,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma stage III,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma stage IV,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma stage V,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - multicentric - stage I,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - multicentric - stage II,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - multicentric - stage III,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - multicentric - stage IV,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - multicentric - stage V,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
"Lymphoma - cutaneous (skin), secondary - T-cell","Haircoat/skin (+ appendages) finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
"Lymphoma - cutaneous (skin), primary","Haircoat/skin (+ appendages) finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
"Lymphoma - cutaneous (skin), primary - epitheliotropic","Haircoat/skin (+ appendages) finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
"Lymphoma - cutaneous (skin), secondary - B-cell","Haircoat/skin (+ appendages) finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
"Lymphoma - cutaneous (skin), secondary - immunophenotype unknown","Haircoat/skin (+ appendages) finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - multicentric (stage unspecified),"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - multicentric - B-cell,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
