Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Abscess - splenic,"Inflammatory disorder finding, Haematopoietic system finding, Abdominal finding"
Adenocarcinoma - tonsillar,"Haematopoietic system finding, Immune system finding, Alimentary tract/Digestive system finding, Respiratory system finding, Head and neck finding"
Anaemia,Haematopoietic system finding
Anaemia - aplastic,Haematopoietic system finding
Anaemia - non-regenerative,Haematopoietic system finding
Anaemia - regenerative,Haematopoietic system finding
Anaemia due to blood loss (haemorrhage),Haematopoietic system finding
Anaemia of chronic disease,Haematopoietic system finding
Anaemia of chronic renal (kidney) failure,"Haematopoietic system finding, Urogenital system finding, Abdominal finding"
Carcinoma/carcinoma in situ - tonsil,"Mass lesion/swelling finding, Haematopoietic system finding, Immune system finding, Respiratory system finding, Alimentary tract/Digestive system finding, Head and neck finding"
Cold agglutinin disease,"Haematopoietic system finding, Immune system finding"
Erythroid hypoplasia,Haematopoietic system finding
Evans syndrome,"Haematopoietic system finding, Immune system finding, Haemostatic system finding"
Feline hypereosinophilic syndrome,Haematopoietic system finding
Haemangioma - splenic,"Haematopoietic system finding, Cardiovascular system finding, Mass lesion/swelling finding, Abdominal finding"
Haemangiosarcoma - splenic,"Cardiovascular system finding, Connective tissue finding, Haematopoietic system finding, Mass lesion/swelling finding, Abdominal finding"
"Histiocytoma (cutaneous, skin)","Haematopoietic system finding, Haircoat/skin (+ appendages) finding, Mass lesion/swelling finding"
Histiocytosis - malignant histiocytosis,"Haematopoietic system finding, Connective tissue finding, Mass lesion/swelling finding"
"Histiocytosis - reactive histiocytosis, cutaneous (skin)","Haematopoietic system finding, Haircoat/skin (+ appendages) finding"
"Histiocytosis - reactive histiocytosis, systemic",Haematopoietic system finding
Hypersensitivity (allergic) skin disorder - mast cell-rich papular dermatitis,"Immune system finding, Haircoat/skin (+ appendages) finding, Inflammatory disorder finding, Haematopoietic system finding"
Immune-mediated haemolytic anaemia (IMHA),"Haematopoietic system finding, Immune system finding"
Immune-mediated thrombocytopenia (ITP),"Haematopoietic system finding, Haemostatic system finding, Immune system finding"
Iron deficiency anaemia,"Haematopoietic system finding, Nutritional finding"
Leukaemia,"Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Leukaemia - Acute leukaemia,"Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Leukaemia - Acute lymphoblastic leukaemia,"Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Leukaemia - Acute lymphoid leukaemia,"Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Leukaemia - Acute myeloid leukaemia,"Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Leukaemia - Chronic lymphoid leukaemia,"Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Leukaemia - Chronic myeloid leukaemia,"Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Lymphadenitis,"Haematopoietic system finding, Immune system finding, Inflammatory disorder finding"
Lymphadenopathy,"Lymphatic system finding, Haematopoietic system finding, Immune system finding"
Lymphadenopathy - generalised,"Lymphatic system finding, Haematopoietic system finding, Immune system finding"
Lymphadenopathy - mesenteric,"Lymphatic system finding, Haematopoietic system finding, Immune system finding, Abdominal finding"
Lymphadenopathy - popliteal,"Lymphatic system finding, Haematopoietic system finding, Immune system finding, Limb finding"
Lymphadenopathy - retropharyngeal,"Lymphatic system finding, Haematopoietic system finding, Immune system finding, Respiratory system finding, Alimentary tract/Digestive system finding, Head and neck finding"
Lymphadenopathy - mandibular (submandibular),"Lymphatic system finding, Haematopoietic system finding, Immune system finding, Head and neck finding"
Mass lesion - lymph node,"Lymphatic system finding, Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Mass lesion - splenic,"Haematopoietic system finding, Mass lesion/swelling finding, Abdominal finding"
Mass lesion - tonsillar,"Respiratory system finding, Alimentary tract/Digestive system finding, Lymphatic system finding, Haematopoietic system finding, Immune system finding, Mass lesion/swelling finding, Head and neck finding"
Mast cell tumour,"Haematopoietic system finding, Mass lesion/swelling finding"
"Mast cell tumour, malignant","Haematopoietic system finding, Mass lesion/swelling finding"
"Mastocytosis, cutaneous","Haematopoietic system finding, Haircoat/skin (+ appendages) finding"
Multiple myeloma,"Lymphatic system finding, Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Myelodysplastic syndrome,Haematopoietic system finding
Myelofibrosis,Haematopoietic system finding
Myeloproliferative disease (syndrome),Haematopoietic system finding
Myelosuppression,Haematopoietic system finding
Neoplasm - lymph node,"Lymphatic system finding, Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Neoplasm - splenic,"Haematopoietic system finding, Mass lesion/swelling finding, Abdominal finding"
