Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Acne,Haircoat/skin (+ appendages) finding
Acne - Canine acne,Haircoat/skin (+ appendages) finding
Acne - Feline acne,Haircoat/skin (+ appendages) finding
Acne - Juvenile acne,Haircoat/skin (+ appendages) finding
Acral lick dermatitis (granuloma),"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding"
Acral mutilation,"Haircoat/skin (+ appendages) finding, Nervous system finding, Hereditary disorder finding"
Actinic keratosis,Haircoat/skin (+ appendages) finding
Adenocarcinoma - cutaneous (skin),"Haircoat/skin (+ appendages) finding, Mass lesion/swelling finding"
Alopecia areata/pseudopelade,"Haircoat/skin (+ appendages) finding, Immune system finding"
Alopecia X,"Haircoat/skin (+ appendages) finding, Endocrine/metabolic finding"
Alopecia/hair coat abnormality,Haircoat/skin (+ appendages) finding
Alopecia/hair coat abnormality - glucocorticoid reaction,"Haircoat/skin (+ appendages) finding, Adverse reaction finding"
Alopecia/hair coat abnormality - injection reaction,"Haircoat/skin (+ appendages) finding, Complication of medical care finding"
Aspergillus dermatitis,"Infectious disorder finding, Haircoat/skin (+ appendages) finding"
Basal cell tumour,"Haircoat/skin (+ appendages) finding, Mass lesion/swelling finding"
Black hair follicular dysplasia,Haircoat/skin (+ appendages) finding
Bowen's disease,"Haircoat/skin (+ appendages) finding, Mass lesion/swelling finding"
Calcinosis circumscripta,"Endocrine/Metabolic finding, Haircoat/skin (+ appendages) finding, Soft tissue finding"
Calcinosis cutis,"Endocrine/Metabolic finding, Haircoat/skin (+ appendages) finding"
Callus,Haircoat/skin (+ appendages) finding
Carcinoma/carcinoma in situ - skin (cutaneous),"Mass lesion/swelling finding, Haircoat/skin (+ appendages) finding"
"Carcinoma/carcinoma in situ - skin (cutaneous), perianal","Mass lesion/swelling finding, Haircoat/skin (+ appendages) finding, Perineal finding"
Cellulitis,"Haircoat/skin (+ appendages) finding, Soft tissue finding, Inflammatory disorder finding"
Chemical injury to skin (cutaneous),"Haircoat/skin (+ appendages) finding, Traumatic episode finding"
Claw disorder,"Haircoat/skin (+ appendages) finding, Limb finding"
Claw injury (traumatic),"Haircoat/skin (+ appendages) finding, Traumatic episode finding, Limb finding"
Colour dilution alopecia,Haircoat/skin (+ appendages) finding
Colour mutant alopecia,Haircoat/skin (+ appendages) finding
Cornification disorder,Haircoat/skin (+ appendages) finding
Cutaneous horn,Haircoat/skin (+ appendages) finding
Cutaneous lupus erythematosus,"Haircoat/skin (+ appendages) finding, Immune system finding"
Cyclic flank alopecia,Haircoat/skin (+ appendages) finding
Dermatitis,"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding"
Dermatitis - chronic,"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding"
Dermatitis - contact dermatitis,"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding"
Dermatitis - contagious viral pustular dermatitis,"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding, Infectious disorder finding"
Dermatitis - lip-fold,"Haircoat/skin (+ appendages) finding, Infectious disorder, Inflammatory disorder finding"
Dermatitis - perforating dermatitis,"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding"
Dermatitis - photodermatitis,"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding"
Dermatitis - pyotraumatic (acute moist),"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding, Infectious disorder finding"
Dermatitis - seborrhoeic,"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding"
Dermatitis - solar dermatitis,"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding"
Dermatitis - thymoma-associated exfoliative dermatitis,"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding, Immune system finding, Endocrine/metabolic finding, Thoracic finding"
"Dermatitis and/or panniculitis, (pyo)granulomatous - bacterial","Haircoat/skin (+ appendages) finding, Inflammatory disorder finding, Infectious disorder finding"
"Dermatitis and/or panniculitis, (pyo)granulomatous - fungal","Haircoat/skin (+ appendages) finding, Inflammatory disorder finding, Infectious disorder finding"
"Dermatitis and/or panniculitis, (pyo)granulomatous - sterile","Haircoat/skin (+ appendages) finding, Inflammatory disorder finding, Immune system finding"
Dermatomyositis,"Haircoat/skin (+ appendages) finding, Immune system finding, Inflammatory disorder finding, Musculoskeletal system finding"
Dermatophilosis,"Haircoat/skin (+ appendages) finding, Infectious disorder finding"
Dermatophytosis (Ringworm),"Haircoat/skin (+ appendages) finding, Infectious disorder finding"
Dermoid cyst - cutaneous (skin),"Haircoat/skin (+ appendages) finding, Mass lesion/swelling finding"
Dermoid sinus,"Haircoat/skin (+ appendages) finding, Hereditary disorder finding, Developmental disorder finding, Congenital finding"
Discoid lupus erythematosus (DLE),"Haircoat/skin (+ appendages) finding, Immune system finding"
Ear margin dermatosis,"Haircoat/skin (+ appendages) finding, Auditory system finding, Head and neck finding"
Eczema,"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding"
"Effluvium, anagen or telogen",Haircoat/skin (+ appendages) finding
Ehlers-Danlos syndrome,"Haircoat/skin (+ appendages) finding, Musculoskeletal system finding, Hereditary disorder finding, Developmental disorder finding, Congenital disorder finding"
