Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Cerebellar abiotrophy,"Nervous system finding, Degenerative disorder finding, Hereditary disorder finding, Head and neck finding"
Abscess - brain,"Inflammatory disorder finding, Nervous system finding, Head and neck finding"
Abscess - neck (cervical),"Inflammatory disorder finding, Head and neck finding"
Abscess - oral (mouth),"Inflammatory disorder finding, Alimentary tract/Digestive system finding, Head and neck finding"
"Abscess - oral (mouth), dental (tooth)","Inflammatory disorder finding, Alimentary tract/Digestive system finding, Head and neck finding"
Abscess - retrobulbar,"Inflammatory disorder finding, Ophthalmology/Vision finding, Head and neck finding"
Abscess - retropharyngeal,"Inflammatory disorder finding, Respiratory system finding, Alimentary tract/Digestive system finding, Head and neck finding"
Acromegaly,"Endocrine/Metabolic finding, Nervous system finding, Head and neck finding"
Adenocarcinoma - aural (ear),"Auditory system finding, Head and neck finding, Mass lesion/swelling finding"
Adenocarcinoma - salivary,"Alimentary tract/Digestive system finding, Mass lesion/swelling finding, Head and neck finding"
Adenocarcinoma - tonsillar,"Haematopoietic system finding, Immune system finding, Alimentary tract/Digestive system finding, Respiratory system finding, Head and neck finding"
Ameloblastoma of the jaw,"Musculoskeletal system finding, Mass lesion/swelling finding, Head and neck finding"
Arnold-Chiari malformation,"Nervous system finding, Head and neck finding"
Arnold-Chiari malformation type I,"Nervous system finding, Head and neck finding"
Arnold-Chiari malformation type II,"Nervous system finding, Head and neck finding"
Aural (ear) haematoma,"Auditory system finding, Cardiovascular system finding, Head and neck finding"
Auricular chondritis,"Auditory system finding, Musculoskeletal system finding, Inflammatory disorder finding, Head and neck finding"
Behaviour disorder,"Nervous system finding, Head and neck finding"
Blepharitis,"Ophthalmology/vision finding, Inflammatory disorder finding, Head and neck finding"
Blepharoedema,"Ophthalmology/vision finding, Head and neck finding"
Blindness,"Ophthalmology/vision finding, Head and neck finding"
Blindness - bilateral,"Ophthalmology/vision finding, Head and neck finding"
Blindness - central,"Ophthalmology/vision finding, Head and neck finding"
Blindness - peripheral,"Ophthalmology/vision finding, Head and neck finding"
Blindness - unilateral,"Ophthalmology/vision finding, Head and neck finding"
Brachycephalic airway obstruction syndrome (BAOS),"Respiratory system finding, Congenital finding, Head and neck finding"
Brain disorder,"Nervous system finding, Head and neck finding"
Brain haemorrhage,"Nervous system finding, Cardiovascular system finding, Head and neck finding"
Brain injury - traumatic (TBI),"Nervous system finding, Traumatic episode finding, Head and neck finding"
Brainstem disorder,"Nervous system finding, Head and neck finding"
Brainstem herniation,"Nervous system finding, Head and neck finding"
Brainstem infarction,"Nervous system finding, Cardiovascular system finding, Head and neck finding"
Carcinoma/carcinoma in situ - laryngeal,"Mass lesion/swelling finding, Respiratory system finding, Head and neck finding"
Carcinoma/carcinoma in situ - nasal cavity,"Mass lesion/swelling finding, Respiratory system finding, Head and neck finding"
Carcinoma/carcinoma in situ - salivary apparatus,"Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Head and neck finding"
Carcinoma/carcinoma in situ - thyroid,"Mass lesion/swelling finding, Endocrine/metabolic finding, Head and neck finding"
Carcinoma/carcinoma in situ - tonsil,"Mass lesion/swelling finding, Haematopoietic system finding, Immune system finding, Respiratory system finding, Alimentary tract/Digestive system finding, Head and neck finding"
"Cardiomyopathy, secondary - thyrotoxic","Cardiovascular system finding, Musculoskeletal system finding, Endocrine/metabolic finding, Thoracic finding, Head and neck finding"
Cat flu,"Respiratory system finding, Infectious disorder finding, Head and neck finding"
Cataplexy,"Nervous system finding, Head and neck finding"
Cataract,"Ophthalmology/vision finding, Head and neck finding"
Cataract - complete,"Ophthalmology/vision finding, Head and neck finding"
Cataract - congenital,"Ophthalmology/vision finding, Congenital finding, Head and neck finding"
Cataract - diabetic,"Ophthalmology/vision finding, Endocrine/metabolic finding, Alimentary tract/Digestive system finding, Head and neck finding, Abdominal finding"
Cataract - incipient (immature),"Ophthalmology/vision finding, Head and neck finding"
Cataract - incomplete,"Ophthalmology/vision finding, Head and neck finding"
Cataract - Morgagnian,"Ophthalmology/vision finding, Head and neck finding"
Cerebellar ataxia,"Nervous system finding, Head and neck finding"
Cerebellar disorder,"Nervous system finding, Head and neck finding"
Cerebellar herniation,"Nervous system finding, Head and neck finding"
Cerebellar infarction,"Nervous system finding, Cardiovascular system finding, Head and neck finding"
Cerebral infarction,"Nervous system finding, Cardiovascular system finding, Head and neck finding"
Cerebrovascular accident (CVA),"Nervous system finding, Cardiovascular system finding, Head and neck finding"
