Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Abscess - hepatic (liver),"Inflammatory disorder finding, Hepatobiliary system finding, Abdominal finding"
Adenocarcinoma - hepatic (liver),"Hepatobiliary system finding, Mass lesion/swelling finding, Abdominal finding"
Amyloidosis - hepatic (liver),"Hepatobiliary system finding, Endocrine/metabolic finding, Abdominal finding"
Biliary tract disorder,"Hepatobiliary system finding, Abdominal finding"
Biliary tract disorder - obstructive,"Hepatobiliary system finding, Abdominal finding"
"Biliary tract disorder - obstructive, extrahepatic","Hepatobiliary system finding, Abdominal finding"
Biliary tract perforation,"Hepatobiliary system finding, Abdominal finding"
Biliary tract rupture (not gallbladder),"Hepatobiliary system finding, Abdominal finding"
Carcinoma/carcinoma in situ - biliary tract,"Mass lesion/swelling finding, Hepatobiliary system finding, Abdominal finding"
Carcinoma/carcinoma in situ - hepatocellular,"Mass lesion/swelling finding, Hepatobiliary system finding, Abdominal finding"
Cholangitis,"Hepatobiliary system finding, Inflammatory disorder finding, Abdominal finding"
Cholangiohepatitis,"Hepatobiliary system finding, Inflammatory disorder finding, Abdominal finding"
"Cholangitis/cholangiohepatitis syndrome, feline","Hepatobiliary system finding, Inflammatory disorder finding, Abdominal finding"
Cholecystitis,"Hepatobiliary system finding, Inflammatory disorder finding, Abdominal finding"
Cholelithiasis,"Hepatobiliary system finding, Abdominal finding"
Cholestasis,"Hepatobiliary system finding, Abdominal finding"
Copper-associated hepatitis in Bedlington Terriers,"Hepatobiliary system finding, Inflammatory disorder finding, Hereditary disorder finding, Abdominal finding"
Gallbladder mucocele,"Hepatobiliary system finding, Abdominal finding"
Gallbladder perforation,"Hepatobiliary system finding, Abdominal finding"
Gallbladder rupture,"Hepatobiliary system finding, Abdominal finding"
Hepatic (liver) cirrhosis,"Hepatobiliary system finding, Abdominal finding"
Hepatic (liver) encephalopathy (HE),"Hepatobiliary system finding, Nervous system finding, Endocrine/metabolic finding, Abdominal finding, Head and neck finding"
Hepatic (liver) failure - acute,"Hepatobiliary system finding, Abdominal finding"
Hepatic (liver) failure - chronic,"Hepatobiliary system finding, Abdominal finding"
Hepatic (liver) lipidosis,"Hepatobiliary system finding, Abdominal finding"
Hepatic (liver) necrosis,"Hepatobiliary system finding, Abdominal finding"
Hepatic (liver) nodular hyperplasia,"Hepatobiliary system finding, Abdominal finding"
Hepatitis,"Hepatobiliary system finding, Inflammatory disorder finding, Abdominal finding"
Hepatitis - acute,"Hepatobiliary system finding, Inflammatory disorder finding, Abdominal finding"
Hepatitis - chronic,"Hepatobiliary system finding, Inflammatory disorder finding, Abdominal finding"
Hepatoma,"Hepatobiliary system finding, Mass lesion/swelling finding, Abdominal finding"
Hepatopathy (liver disorder),"Hepatobiliary system finding, Abdominal finding"
Hepatotoxicity (liver toxicity),"Hepatobiliary system finding, Abdominal finding"
Mass lesion - bile duct,"Hepatobiliary system finding, Mass lesion/swelling finding, Abdominal finding"
Mass lesion - gallbladder,"Hepatobiliary system finding, Mass lesion/swelling finding, Abdominal finding"
