Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Cerebellar abiotrophy,"Nervous system finding, Degenerative disorder finding, Hereditary disorder finding, Head and neck finding"
Acral mutilation,"Haircoat/skin (+ appendages) finding, Nervous system finding, Hereditary disorder finding"
Atopy,"Immune system finding, Hereditary disorder finding"
Coagulopathy (clotting disorder) - inherited,"Haemostatic system finding, Hereditary disorder finding"
Collie Eye Anomaly,"Ophthalmology/vision finding, Hereditary disorder finding, Head and neck finding"
Copper-associated hepatitis in Bedlington Terriers,"Hepatobiliary system finding, Inflammatory disorder finding, Hereditary disorder finding, Abdominal finding"
Dermoid sinus,"Haircoat/skin (+ appendages) finding, Hereditary disorder finding, Developmental disorder finding, Congenital finding"
Ehlers-Danlos syndrome,"Haircoat/skin (+ appendages) finding, Musculoskeletal system finding, Hereditary disorder finding, Developmental disorder finding, Congenital disorder finding"
Elbow dysplasia (canine),"Musculoskeletal system finding, Hereditary disorder finding, Limb finding, Developmental disorder finding"
Elbow dysplasia (canine) - elbow incongruity,"Musculoskeletal system finding, Hereditary disorder finding, Limb finding, Developmental disorder finding"
"Elbow dysplasia (canine) - medial coronoid process disease, fragment identified","Musculoskeletal system finding, Hereditary disorder finding, Limb finding, Developmental disorder finding"
"Elbow dysplasia (canine) - medial coronoid process disease, no fragment identified","Musculoskeletal system finding, Hereditary disorder finding, Limb finding, Developmental disorder finding"
Elbow dysplasia (canine) - osteochondritis dissecans (OCD),"Musculoskeletal system finding, Hereditary disorder finding, Limb finding, Developmental disorder finding"
Elbow dysplasia (canine) - ununited anconeal process (UAP),"Musculoskeletal system finding, Hereditary disorder finding, Limb finding, Developmental disorder finding"
Familial nephropathy,"Urogenital system finding, Inflammatory disorder finding, Hereditary disorder finding, Abdominal finding"
Fanconi's syndrome,"Urogenital system finding, Hereditary disorder finding, Abdominal finding"
Galactosialidosis,"Endocrine/metabolic finding, Nervous system finding, Congenital finding, Hereditary disorder finding"
Haemophilia,"Haemostatic system finding, Hereditary disorder finding"
Hereditary ataxia in Terriers,"Nervous system finding, Hereditary disorder finding"
"Hip dysplasia, developmental","Musculoskeletal system finding, Hereditary disorder finding, Developmental disorder finding, Limb finding"
"Hip dysplasia, developmental - bilateral","Musculoskeletal system finding, Hereditary disorder finding, Developmental disorder finding, Limb finding"
