Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Adenocarcinoma - tonsillar,"Haematopoietic system finding, Immune system finding, Alimentary tract/Digestive system finding, Respiratory system finding, Head and neck finding"
Alopecia areata/pseudopelade,"Haircoat/skin (+ appendages) finding, Immune system finding"
Anaphylactoid reaction,Immune system finding
Anaphylaxis,Immune system finding
Atopy,"Immune system finding, Hereditary disorder finding"
Bronchitis - allergic,"Respiratory system finding, Inflammatory disorder finding, Immune system finding, Thoracic finding"
Carcinoma/carcinoma in situ - tonsil,"Mass lesion/swelling finding, Haematopoietic system finding, Immune system finding, Respiratory system finding, Alimentary tract/Digestive system finding, Head and neck finding"
Cold agglutinin disease,"Haematopoietic system finding, Immune system finding"
Cutaneous lupus erythematosus,"Haircoat/skin (+ appendages) finding, Immune system finding"
Dermatitis - thymoma-associated exfoliative dermatitis,"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding, Immune system finding, Endocrine/metabolic finding, Thoracic finding"
"Dermatitis and/or panniculitis, (pyo)granulomatous - sterile","Haircoat/skin (+ appendages) finding, Inflammatory disorder finding, Immune system finding"
Dermatomyositis,"Haircoat/skin (+ appendages) finding, Immune system finding, Inflammatory disorder finding, Musculoskeletal system finding"
Discoid lupus erythematosus (DLE),"Haircoat/skin (+ appendages) finding, Immune system finding"
Eosinophilic granuloma,"Haircoat/skin (+ appendages) finding, Immune system finding, Alimentary tract/Digestive system finding, Head and neck finding"
Eosinophilic plaque,"Haircoat/skin (+ appendages) finding, Immune system finding"
Erythema multiforme,"Haircoat/skin (+ appendages) disorder finding, Immune system finding"
Erythema multiforme - herpesvirus-associated,"Haircoat/skin (+ appendages) disorder finding, Immune system finding, Infectious disorder finding"
Evans syndrome,"Haematopoietic system finding, Immune system finding, Haemostatic system finding"
Feline eosinophilic granuloma complex,"Haircoat/skin (+ appendages) finding, Immune system finding"
Food hypersensitivity,"Haircoat/skin (+ appendages) finding, Immune system finding, Adverse reaction finding"
Hypersensitivity disorder (allergy),Immune system finding
Hypersensitivity (allergic) skin disorder,"Immune system finding, Haircoat/skin (+ appendages) finding"
Hypersensitivity (allergic) skin disorder - angioedema,"Immune system finding, Haircoat/skin (+ appendages) finding"
Hypersensitivity (allergic) skin disorder - atopic dermatitis,"Immune system finding, Haircoat/skin (+ appendages) finding, Hereditary disorder finding"
Hypersensitivity (allergic) skin disorder - contact hypersensitivity,"Immune system finding, Haircoat/skin (+ appendages) finding"
Hypersensitivity (allergic) skin disorder - eosinophilic furunculosis of the face,"Immune system finding, Haircoat/skin (+ appendages) finding, Inflammatory disorder finding, Head and neck finding"
Hypersensitivity (allergic) skin disorder - flea bite hypersensitivity,"Immune system finding, Haircoat/skin (+ appendages) finding, Infectious disorder finding"
Hypersensitivity (allergic) skin disorder - food hypersensitivity,"Immune system finding, Haircoat/skin (+ appendages) finding, Adverse reaction finding"
Hypersensitivity (allergic) skin disorder - indolent ulcer,"Immune system finding, Haircoat/skin (+ appendages) finding"
Hypersensitivity (allergic) skin disorder - mast cell-rich papular dermatitis,"Immune system finding, Haircoat/skin (+ appendages) finding, Inflammatory disorder finding, Haematopoietic system finding"
Hypersensitivity (allergic) skin disorder - mosquito bite hypersensitivity,"Immune system finding, Haircoat/skin (+ appendages) finding, Infectious disorder finding"
Hypersensitivity (allergic) skin disorder - urticaria,"Immune system finding, Haircoat/skin (+ appendages) finding"
Idiopathic lymphocytic mural folliculitis,"Haircoat/skin (+ appendages) finding, Immune system finding"
Immune-mediated haemolytic anaemia (IMHA),"Haematopoietic system finding, Immune system finding"
Immune-mediated thrombocytopenia (ITP),"Haematopoietic system finding, Haemostatic system finding, Immune system finding"
Juvenile cellulitis/pyoderma,"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding, Immune system finding, Infectious disorder finding, Soft tissue finding"
"Keratoconjunctivitis sicca (KCS, Dry Eye)","Ophthalmology/vision finding, Inflammatory disorder finding, Immune system finding, Soft tissue finding, Head and neck finding"
Leukaemia,"Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Leukaemia - Acute leukaemia,"Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Leukaemia - Acute lymphoblastic leukaemia,"Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Leukaemia - Acute lymphoid leukaemia,"Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Leukaemia - Acute myeloid leukaemia,"Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Leukaemia - Chronic lymphoid leukaemia,"Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Leukaemia - Chronic myeloid leukaemia,"Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Lymphadenitis,"Haematopoietic system finding, Immune system finding, Inflammatory disorder finding"
Lymphadenopathy,"Lymphatic system finding, Haematopoietic system finding, Immune system finding"
Lymphadenopathy - generalised,"Lymphatic system finding, Haematopoietic system finding, Immune system finding"
Lymphadenopathy - mesenteric,"Lymphatic system finding, Haematopoietic system finding, Immune system finding, Abdominal finding"
Lymphadenopathy - popliteal,"Lymphatic system finding, Haematopoietic system finding, Immune system finding, Limb finding"
Lymphadenopathy - retropharyngeal,"Lymphatic system finding, Haematopoietic system finding, Immune system finding, Respiratory system finding, Alimentary tract/Digestive system finding, Head and neck finding"
Lymphadenopathy - mandibular (submandibular),"Lymphatic system finding, Haematopoietic system finding, Immune system finding, Head and neck finding"
Lymphoma (malignant),"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - B-cell,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - central nervous system (CNS),"Nervous system finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - cutaneous (skin) T-cell,"Haircoat/skin (+ appendages) finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - gastric (stomach),"Alimentary tract/Digestive system finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding, Abdominal finding"
Lymphoma - intestinal,"Alimentary tract/Digestive system finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding, Abdominal finding"
Lymphoma - lymph node(s),"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - ocular (eye),"Ophthalmology/vision finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding, Head and neck finding"
Lymphoma - orbital,"Ophthalmology/vision finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Musculoskeletal system finding, Mass lesion/swelling finding, Head and neck finding"
Lymphoma - renal (kidney),"Urogenital system finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding, Abdominal finding"
Lymphoma - splenic,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding, Abdominal finding"
Lymphoma - T-cell,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma stage I,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma stage II,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma stage III,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma stage IV,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma stage V,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Mass lesion - lymph node,"Lymphatic system finding, Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Mass lesion - tonsillar,"Respiratory system finding, Alimentary tract/Digestive system finding, Lymphatic system finding, Haematopoietic system finding, Immune system finding, Mass lesion/swelling finding, Head and neck finding"
Masticatory myositis,"Musculoskeletal system finding, Inflammatory disorder finding, Immune system finding"
Metatarsal fistulae of GSD,"Haircoat/skin (+ appendages) finding, Immune system finding, Limb finding"
Multiple myeloma,"Lymphatic system finding, Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Myasthenia gravis,"Nervous system finding, Musculoskeletal system finding, Immune system finding"
Neoplasm - lymph node,"Lymphatic system finding, Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Neoplasm - tonsillar,"Respiratory system finding, Alimentary tract/Digestive system finding, Lymphatic system finding, Haematopoietic system finding, Immune system finding, Mass lesion/swelling finding, Head and neck finding"
Neoplastic metastasis - to regional lymph node(s),"Lymphatic system finding, Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Pemphigus disorder,"Haircoat/skin (+ appendages) finding, Immune system finding"
Pemphigus foliaceus,"Haircoat/skin (+ appendages) finding, Immune system finding"
Plasmacytoma,"Lymphatic system finding, Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Pododermatitis - plasma cell,"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding, Haematopoietic system finding, Immune system finding, Lymphatic system finding, Limb finding"
Polyarthropathy - immune-mediated,"Musculoskeletal system finding, Immune system finding"
Rheumatoid arthritis (RA),"Musculoskeletal system finding, Immune system finding"
"Rhinitis, allergic","Respiratory system finding, Inflammatory disorder finding, Immune system finding, Head and neck finding"
Sebaceous adenitis,"Haircoat/skin (+ appendages) finding, Immune system finding"
Sebaceous adenitis and mural folliculitis,"Haircoat/skin (+ appendages) finding, Immune system finding"
"Skin (cutaneous) disorder, immune-mediated","Haircoat/skin (+ appendages) finding, Immune system finding"
Sterile pustular dermatosis (not PF),"Haircoat/skin (+ appendages) finding, Immune system finding"
Steroid responsive meningitis-arteritis (SRMA),"Nervous system finding, Cardiovascular system finding, Inflammatory disorder finding, Immune system finding"
Subepidermal bullous disease,"Haircoat/skin (+ appendages) finding, Immune system finding"
Systemic lupus erythematosus (SLE),Immune system finding
Tonsillar enlargement,"Respiratory system finding, Alimentary tract/Digestive system finding, Haematopoietic system finding, Immune system finding, Lymphatic system finding, Head and neck finding"
Tonsillitis,"Respiratory system finding, Alimentary tract/Digestive system finding, Haematopoietic system finding, Immune system finding, Lymphatic system finding, Inflammatory disorder finding, Head and neck finding"
Toxic epidermal necrolysis,"Haircoat/skin (+ appendages) finding, Immune system finding"
Vogt-Koyanagi-Harada-like syndrome (Uveodermatologic syndrome),"Haircoat/skin (+ appendages) finding, Immune system finding, Ophthalmology/vision finding, Inflammatory disorder finding, Head and neck finding"
Atopic dermatitis,"Immune system finding, Hereditary disorder finding, Haircoat/skin (+ appendages) finding"
Allergy,Immune system finding
Leukaemia - Chronic leukaemia,"Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Immune-mediated neutropenia,"Haematopoietic system finding, Immune system finding"
"Mastocytosis, systemic","Haematopoietic system finding, Immune system finding, Mass lesion/swelling finding"
"Anaemia - haemolytic, immune-mediated (IMHA) - primary (idiopathic)","Haematopoietic system finding, Immune system finding"
"Anaemia - haemolytic, immune-mediated (IMHA) - secondary","Haematopoietic system finding, Immune system finding"
"Thrombocytopenia – immune-mediated – primary (idiopathic, ITP)","Haematopoietic system finding, Haemostatic system finding, Immune system finding"
Thrombocytopenia – immune-mediated – secondary,"Haematopoietic system finding, Haemostatic system finding, Immune system finding"
Neutropenia - immune-mediated,"Haematopoietic system finding, Immune system finding"
Ischaemic dermatopathy syndrome (type unspecified),"Haircoat/skin (+ appendages) finding, Immune system finding"
Ischaemic dermatopathy syndrome - dermatomyositis,"Haircoat/skin (+ appendages) finding, Immune system finding, Inflammatory disorder finding, Musculoskeletal system finding"
Leukaemia (type unspecified),"Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Plasmacytoma (site unspecified),"Lymphatic system finding, Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Carcinoma - tonsil,"Mass lesion/swelling finding, Haematopoietic system finding, Immune system finding, Respiratory system finding, Alimentary tract/Digestive system finding, Head and neck finding"
Carcinoma in situ - tonsil,"Mass lesion/swelling finding, Haematopoietic system finding, Immune system finding, Respiratory system finding, Alimentary tract/Digestive system finding, Head and neck finding"
"Leukaemia - Acute leukaemia, No origin specified (NOS)","Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Leukaemia - Acute myeloid leukaemia (subtype unspecified),"Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
"Leukaemia - Acute myeloid leukaemia, monocytic","Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
"Leukaemia - Acute myeloid leukaemia, myelomonocytic","Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
"Leukaemia - Chronic leukaemia, No origin specified (NOS)","Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Leukaemia - Polycythaemia rubra vera (Primary polycythaemia),"Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Multiple myeloma (plasma cell myeloma),"Lymphatic system finding, Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Lymphoma - multicentric - stage I,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - multicentric - stage II,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - multicentric - stage III,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - multicentric - stage IV,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - multicentric - stage V,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
"Lymphoma - cutaneous (skin), secondary - T-cell","Haircoat/skin (+ appendages) finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
