Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Arthritis - bacterial,"Musculoskeletal system finding, Infectious disorder finding"
Aspergillosis,Infectious disorder finding
Aspergillus dermatitis,"Infectious disorder finding, Haircoat/skin (+ appendages) finding"
Bone implant complication - infected,"Complication of medical care finding, Musculoskeletal system finding, Infectious disorder finding"
Bordetellosis,Infectious disorder finding
Botulism,Infectious disorder finding
Calicivirus infection,Infectious disorder finding
Campylobacteriosis,Infectious disorder finding
Candidiasis,Infectious disorder finding
Canine distemper,Infectious disorder finding
Cat flu,"Respiratory system finding, Infectious disorder finding, Head and neck finding"
Chlamydiosis,Infectious disorder finding
Clostridiosis,Infectious disorder finding
Coccidiosis,Infectious disorder finding
"Conjunctivitis, infectious","Ophthalmology/vision finding, Soft tissue finding, Inflammatory disorder finding, Infectious disorder finding, Head and neck finding"
"Conjunctivitis, infectious - presumed Feline herpes virus","Ophthalmology/vision finding, Soft tissue finding, Inflammatory disorder finding, Infectious disorder finding, Head and neck finding"
Corneal ulcer - infective,"Ophthalmology/vision finding, Inflammatory disorder finding, Infectious disorder finding, Head and neck finding"
"Corneal ulcer - infective, bacterial","Ophthalmology/vision finding, Inflammatory disorder finding, Infectious disorder finding, Head and neck finding"
"Corneal ulcer - infective, viral","Ophthalmology/vision finding, Inflammatory disorder finding, Infectious disorder finding, Head and neck finding"
Coronavirus infection,Infectious disorder finding
Cowpoxvirus infection,Infectious disorder finding
Cryptococcosis,Infectious disorder finding
Cryptosporidiosis,Infectious disorder finding
Cystitis - bacterial,"Urogenital system finding, Inflammatory disorder finding, Infectious disorder finding, Abdominal finding"
Dermatitis - contagious viral pustular dermatitis,"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding, Infectious disorder finding"
Dermatitis - pyotraumatic (acute moist),"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding, Infectious disorder finding"
"Dermatitis and/or panniculitis, (pyo)granulomatous - bacterial","Haircoat/skin (+ appendages) finding, Inflammatory disorder finding, Infectious disorder finding"
"Dermatitis and/or panniculitis, (pyo)granulomatous - fungal","Haircoat/skin (+ appendages) finding, Inflammatory disorder finding, Infectious disorder finding"
Dermatophilosis,"Haircoat/skin (+ appendages) finding, Infectious disorder finding"
Dermatophytosis (Ringworm),"Haircoat/skin (+ appendages) finding, Infectious disorder finding"
Discospondylitis,"Musculoskeletal system finding, Infectious disorder finding, Inflammatory disorder finding, Spine (vertebral column) finding"
Ear (aural) infection,"Auditory system finding, Infectious disorder finding, Head and neck finding"
Ear (aural) infection - bacterial,"Auditory system finding, Infectious disorder finding, Head and neck finding"
Ear (aural) infection - fungal,"Auditory system finding, Infectious disorder finding, Head and neck finding"
Endocarditis - bacterial,"Cardiovascular system finding, Inflammatory disorder finding, Infectious disorder finding, Thoracic finding"
Erythema multiforme - herpesvirus-associated,"Haircoat/skin (+ appendages) disorder finding, Immune system finding, Infectious disorder finding"
Escherichia coli infection,Infectious disorder finding
Feline calicivirus infection,"Infectious disorder finding, Respiratory system finding, Head and neck finding"
Feline immunodeficiency virus (FIV) infection,Infectious disorder finding
Feline infectious peritonitis (FIP),"Infectious disorder finding, Inflammatory disorder finding"
Feline leukaemia virus (FeLV) infection,Infectious disorder finding
Feline leukaemia virus (FeLV) giant cell dermatitis,"Infectious disorder finding, Haircoat/skin (+ appendages) finding, Inflammatory disorder finding"
Feline viral respiratory disease complex,"Infectious disorder finding, Respiratory system finding, Head and neck finding"
Feline viral rhinotracheitis,"Infectious disorder finding, Respiratory system finding, Head and neck finding"
Fly bites,"Haircoat/skin (+ appendages) finding, Infectious disorder finding"
Folliculitis and furunculosis - of muzzle,"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding, Infectious disorder finding, Head and neck finding"
Folliculitis and furunculosis - pyotraumatic,"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding, Infectious disorder finding"
Giardiasis,Infectious disorder finding
Helicobacter infection,"Alimentary tract/Digestive system finding, Infectious disorder finding, Abdominal finding"
Helicobacter-like organism infection,"Alimentary tract/Digestive system finding, Infectious disorder finding, Abdominal finding"
Herpesvirus infection,Infectious disorder finding
Hookworm dermatitis,"Infectious disorder finding, Haircoat/skin (+ appendages) finding, Inflammatory disorder finding"
"Hymenoptera stings (bee, wasp)","Intoxication (poisoning)/toxin exposure finding, Wound finding, Traumatic episode finding, Infectious disorder finding"
Hypersensitivity (allergic) skin disorder - flea bite hypersensitivity,"Immune system finding, Haircoat/skin (+ appendages) finding, Infectious disorder finding"
Hypersensitivity (allergic) skin disorder - mosquito bite hypersensitivity,"Immune system finding, Haircoat/skin (+ appendages) finding, Infectious disorder finding"
Infectious canine tracheobronchitis (Kennel Cough),"Respiratory system finding, Infectious disorder finding, Inflammatory disorder finding, Head and neck finding, Thoracic finding"
Insect bite(s),"Wound finding, Traumatic episode finding, Infectious disorder finding"
Intertrigo,"Haircoat/skin (+ appendages) finding, Infectious disorder finding, Inflammatory disorder finding"
Juvenile cellulitis/pyoderma,"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding, Immune system finding, Infectious disorder finding, Soft tissue finding"
Keratitis - infectious,"Ophthalmology/vision finding, Inflammatory disorder finding, Infectious disorder finding, Head and neck finding"
Laryngitis - infectious,"Respiratory system finding, Inflammatory disorder finding, Infectious disorder finding, Head and neck finding"
Leptospirosis,Infectious disorder finding
"Leptospirosis, canine",Infectious disorder finding
Listeriosis,Infectious disorder finding
Lyme disease (Borrelia burgdorferi),Infectious disorder finding
Malassezia dermatitis,"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding, Infectious disorder finding"
Meningitis - septic,"Nervous system finding, Inflammatory disorder finding, Infectious disorder finding"
Methicillin-resistant staphylococcus aureus (MRSA) colonisation,Infectious disorder finding
Methicillin-resistant staphylococcus aureus (MRSA) infection,Infectious disorder finding
Multidrug-resistant E. coli infection,Infectious disorder finding
Mycobacterial infection,Infectious disorder finding
Mycobacterial infection - cutaneous (skin),"Infectious disorder finding, Haircoat/skin (+ appendages) finding"
Mycoplasma haemocanis (Haemobartonella canis) infection,Infectious disorder finding
Mycoplasma haemofelis (Haemobartonella felis) infection,Infectious disorder finding
Nasal (nose) infection,"Respiratory system finding, Infectious disorder finding, Head and neck finding"
Necrotising fasciitis,"Infectious disorder finding, Inflammatory disorder finding, Soft tissue finding"
Neospora infection,Infectious disorder finding
"Osteomyelitis, bacterial","Haematopoietic system finding, Inflammatory disorder finding, Infectious disorder finding"
"Osteomyelitis, fungal","Haematopoietic system finding, Inflammatory disorder finding, Infectious disorder finding"
Parasitic disease,Infectious disorder finding
Parasite infestation,Infectious disorder finding
Parasite infestation - Aelurostrongylosis,Infectious disorder finding
Parasite infestation - Angiostrongylosis,Infectious disorder finding
Parasite infestation - Ascariasis,Infectious disorder finding
Parasite infestation - Babesiosis,Infectious disorder finding
Parasite infestation - Capillariasis,Infectious disorder finding
Parasite infestation - Cheyletiellosis,Infectious disorder finding
Parasite infestation - Demodicosis,Infectious disorder finding
Parasite infestation - Dermanyssus gallinae,Infectious disorder finding
Parasite infestation - Dirofilariasis,Infectious disorder finding
Parasite infestation - Ehrlichiosis,Infectious disorder finding
Parasite infestation - Filaroidosis,Infectious disorder finding
Parasite infestation - fleas,Infectious disorder finding
Parasite infestation - Leishmaniasis,Infectious disorder finding
Parasite infestation - Myiasis (flystrike),Infectious disorder finding
Parasite infestation - (Neo)trombiculosis,Infectious disorder finding
Parasite infestation - Otodectes cynotis,Infectious disorder finding
Parasite infestation - Pediculosis,Infectious disorder finding
Parasite infestation - Scabies,Infectious disorder finding
Parasite infestation - ticks,Infectious disorder finding
Parasite infestation - Toxocariasis,Infectious disorder finding
"Paronychia, bacterial","Haircoat/skin (+ appendages) finding, Inflammatory disorder finding, Infectious disorder finding, Limb finding"
"Paronychia, fungal","Haircoat/skin (+ appendages) finding, Inflammatory disorder finding, Infectious disorder finding, Limb finding"
Parvovirus infection,Infectious disorder finding
Pelodera dermatitis,"Infectious disorder finding, Haircoat/skin (+ appendages) finding, Inflammatory disorder finding"
Pericardial effusion - septic,"Cardiovascular system finding, Infectious disorder finding, Thoracic finding"
"Peritonitis, infectious","Infectious disorder finding, Inflammatory disorder finding, Abdominal finding"
"Peritonitis, infectious - bacterial","Infectious disorder finding, Inflammatory disorder finding, Abdominal finding"
"Peritonitis, infectious - bacterial, faecal","Infectious disorder finding, Inflammatory disorder finding, Abdominal finding"
"Peritonitis, infectious - purulent","Infectious disorder finding, Inflammatory disorder finding, Abdominal finding"
Pharyngitis - infectious,"Respiratory system finding, Alimentary tract/Digestive system finding, Inflammatory disorder finding, Infectious disorder finding, Head and neck finding"
Pneumonia - bacterial,"Respiratory system finding, Inflammatory disorder finding, Infectious disorder finding, Thoracic finding"
Pneumonia - infectious,"Respiratory system finding, Inflammatory disorder finding, Infectious disorder finding, Thoracic finding"
Pneumonia - parasitic,"Respiratory system finding, Inflammatory disorder finding, Infectious disorder finding, Thoracic finding"
Pneumonia due to Pneumocystis carinii infection,"Respiratory system finding, Inflammatory disorder finding, Infectious disorder finding, Thoracic finding"
Pododermatitis - infectious,"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding, Infectious disorder finding, Limb finding"
