Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Abscess,Inflammatory disorder finding
Abscess - brain,"Inflammatory disorder finding, Nervous system finding, Head and neck finding"
Abscess - Cat bite abscess (CBA),"Inflammatory disorder finding, Wound finding, Traumatic episode finding"
Abscess - hepatic (liver),"Inflammatory disorder finding, Hepatobiliary system finding, Abdominal finding"
Abscess - neck (cervical),"Inflammatory disorder finding, Head and neck finding"
Abscess - oral (mouth),"Inflammatory disorder finding, Alimentary tract/Digestive system finding, Head and neck finding"
"Abscess - oral (mouth), dental (tooth)","Inflammatory disorder finding, Alimentary tract/Digestive system finding, Head and neck finding"
Abscess - pancreatic,"Inflammatory disorder finding, Alimentary tract/Digestive system finding, Abdominal finding"
Abscess - peritoneal,"Inflammatory disorder finding, Abdominal finding"
Abscess - prostatic,"Inflammatory disorder finding, Urogenital system finding, Reproductive system finding, Pelvic structure finding"
Abscess - retrobulbar,"Inflammatory disorder finding, Ophthalmology/Vision finding, Head and neck finding"
Abscess - retropharyngeal,"Inflammatory disorder finding, Respiratory system finding, Alimentary tract/Digestive system finding, Head and neck finding"
Abscess - splenic,"Inflammatory disorder finding, Haematopoietic system finding, Abdominal finding"
Abscess - testicular,"Inflammatory disorder finding, Reproductive system finding, Urogenital system finding"
Acral lick dermatitis (granuloma),"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding"
Anal furunculosis,"Alimentary tract/Digestive system finding, Inflammatory disorder finding"
Anal sac abscess,"Alimentary tract/Digestive system finding, Inflammatory disorder finding"
Auricular chondritis,"Auditory system finding, Musculoskeletal system finding, Inflammatory disorder finding, Head and neck finding"
Balanitis (glans penis inflammation),"Reproductive system finding, Urogenital system finding, Inflammatory disorder finding"
Blepharitis,"Ophthalmology/vision finding, Inflammatory disorder finding, Head and neck finding"
Bronchitis,"Respiratory system finding, Inflammatory disorder finding, Thoracic finding"
Bronchitis - acute,"Respiratory system finding, Inflammatory disorder finding, Thoracic finding"
Bronchitis - allergic,"Respiratory system finding, Inflammatory disorder finding, Immune system finding, Thoracic finding"
Canine haemorrhagic gastroenteritis (HGE),"Alimentary tract/Digestive system finding, Inflammatory disorder finding, Abdominal finding"
Cellulitis,"Haircoat/skin (+ appendages) finding, Soft tissue finding, Inflammatory disorder finding"
Cheilitis (inflammation of lips),"Alimentary tract/Digestive system finding, Soft tissue finding, Inflammatory disorder finding, Head and neck finding"
Cholangitis,"Hepatobiliary system finding, Inflammatory disorder finding, Abdominal finding"
Cholangiohepatitis,"Hepatobiliary system finding, Inflammatory disorder finding, Abdominal finding"
"Cholangitis/cholangiohepatitis syndrome, feline","Hepatobiliary system finding, Inflammatory disorder finding, Abdominal finding"
Cholecystitis,"Hepatobiliary system finding, Inflammatory disorder finding, Abdominal finding"
Chorioretinitis,"Ophthalmology/vision finding, Inflammatory disorder finding, Head and neck finding"
Colitis,"Alimentary tract/Digestive system finding, Inflammatory disorder finding, Abdominal finding"
Colitis - chronic,"Alimentary tract/Digestive system finding, Inflammatory disorder finding, Abdominal finding"
Colitis - eosinophilic,"Alimentary tract/Digestive system finding, Inflammatory disorder finding, Abdominal finding"
Colitis - lymphocytic/plasmacytic,"Alimentary tract/Digestive system finding, Inflammatory disorder finding, Abdominal finding"
Colitis - ulcerative,"Alimentary tract/Digestive system finding, Inflammatory disorder finding, Abdominal finding"
"Conjunctivitis, infectious","Ophthalmology/vision finding, Soft tissue finding, Inflammatory disorder finding, Infectious disorder finding, Head and neck finding"
"Conjunctivitis, infectious - presumed Feline herpes virus","Ophthalmology/vision finding, Soft tissue finding, Inflammatory disorder finding, Infectious disorder finding, Head and neck finding"
"Conjunctivitis, non-infectious","Ophthalmology/vision finding, Soft tissue finding, Inflammatory disorder finding, Head and neck finding"
Copper-associated hepatitis in Bedlington Terriers,"Hepatobiliary system finding, Inflammatory disorder finding, Hereditary disorder finding, Abdominal finding"
Corneal stromal abscess,"Ophthalmology/vision finding, Inflammatory disorder finding, Head and neck finding"
Corneal ulcer,"Ophthalmology/vision finding, Inflammatory disorder finding, Head and neck finding"
Corneal ulcer - infective,"Ophthalmology/vision finding, Inflammatory disorder finding, Infectious disorder finding, Head and neck finding"
"Corneal ulcer - infective, bacterial","Ophthalmology/vision finding, Inflammatory disorder finding, Infectious disorder finding, Head and neck finding"
"Corneal ulcer - infective, viral","Ophthalmology/vision finding, Inflammatory disorder finding, Infectious disorder finding, Head and neck finding"
Corneal ulcer - non-healing ulcer (indolent),"Ophthalmology/vision finding, Inflammatory disorder finding, Head and neck finding"
Cystitis,"Urogenital system finding, Inflammatory disorder finding, Abdominal finding"
Cystitis - bacterial,"Urogenital system finding, Inflammatory disorder finding, Infectious disorder finding, Abdominal finding"
Cystitis - chronic,"Urogenital system finding, Inflammatory disorder finding, Abdominal finding"
Cystitis - polypoid,"Urogenital system finding, Inflammatory disorder finding, Abdominal finding"
Dermatitis,"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding"
Dermatitis - chronic,"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding"
Dermatitis - contact dermatitis,"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding"
Dermatitis - contagious viral pustular dermatitis,"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding, Infectious disorder finding"
Dermatitis - lip-fold,"Haircoat/skin (+ appendages) finding, Infectious disorder, Inflammatory disorder finding"
Dermatitis - perforating dermatitis,"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding"
Dermatitis - photodermatitis,"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding"
Dermatitis - pyotraumatic (acute moist),"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding, Infectious disorder finding"
Dermatitis - seborrhoeic,"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding"
Dermatitis - solar dermatitis,"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding"
Dermatitis - thymoma-associated exfoliative dermatitis,"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding, Immune system finding, Endocrine/metabolic finding, Thoracic finding"
"Dermatitis and/or panniculitis, (pyo)granulomatous - bacterial","Haircoat/skin (+ appendages) finding, Inflammatory disorder finding, Infectious disorder finding"
