Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Ankylosis - hock,"Musculoskeletal system finding, Limb finding"
Ankylosis - stifle,"Musculoskeletal system finding, Limb finding"
Avascular necrosis of the femoral head (Legg-Calvé-Perthes disease),"Musculoskeletal system finding, Degenerative disorder finding, Limb finding"
Brachial plexus disorder,"Nervous system finding, Limb finding"
Brachial plexus injury/avulsion,"Nervous system finding, Limb finding, Traumatic episode finding"
Claw disorder,"Haircoat/skin (+ appendages) finding, Limb finding"
Claw injury (traumatic),"Haircoat/skin (+ appendages) finding, Traumatic episode finding, Limb finding"
Cruciate disease,"Musculoskeletal system finding, Connective tissue finding, Limb finding"
Cruciate ligament instability - caudal,"Musculoskeletal system finding, Connective tissue finding, Limb finding"
Cruciate ligament instability - cranial,"Musculoskeletal system finding, Connective tissue finding, Limb finding"
"Cruciate ligament instability, partial - caudal","Musculoskeletal system finding, Connective tissue finding, Limb finding"
"Cruciate ligament instability, partial - cranial","Musculoskeletal system finding, Connective tissue finding, Limb finding"
Cruciate ligament rupture - caudal,"Musculoskeletal system finding, Connective tissue finding, Limb finding"
Cruciate ligament rupture - cranial,"Musculoskeletal system finding, Connective tissue finding, Limb finding"
Cruciate ligament rupture - caudal and cranial,"Musculoskeletal system finding, Connective tissue finding, Limb finding"
Elbow dysplasia (canine),"Musculoskeletal system finding, Hereditary disorder finding, Limb finding, Developmental disorder finding"
Elbow dysplasia (canine) - elbow incongruity,"Musculoskeletal system finding, Hereditary disorder finding, Limb finding, Developmental disorder finding"
"Elbow dysplasia (canine) - medial coronoid process disease, fragment identified","Musculoskeletal system finding, Hereditary disorder finding, Limb finding, Developmental disorder finding"
"Elbow dysplasia (canine) - medial coronoid process disease, no fragment identified","Musculoskeletal system finding, Hereditary disorder finding, Limb finding, Developmental disorder finding"
Elbow dysplasia (canine) - osteochondritis dissecans (OCD),"Musculoskeletal system finding, Hereditary disorder finding, Limb finding, Developmental disorder finding"
Elbow dysplasia (canine) - ununited anconeal process (UAP),"Musculoskeletal system finding, Hereditary disorder finding, Limb finding, Developmental disorder finding"
Footpad hyperkeratosis,"Haircoat/skin (+ appendages) finding, Limb finding"
Foreign body - limb,"Foreign body finding, Limb finding"
Fracture of pelvic limb,"Musculoskeletal system finding, Limb finding"
Fracture of pelvic limb - calcaneus,"Musculoskeletal system finding, Limb finding"
Fracture of pelvic limb - femur,"Musculoskeletal system finding, Limb finding"
Fracture of pelvic limb - fibula,"Musculoskeletal system finding, Limb finding"
Fracture of pelvic limb - metatarsal(s),"Musculoskeletal system finding, Limb finding"
Fracture of pelvic limb - patella,"Musculoskeletal system finding, Limb finding"
"Fracture of pelvic limb - paw, multiple fractures","Musculoskeletal system finding, Limb finding"
Fracture of pelvic limb - phalanx,"Musculoskeletal system finding, Limb finding"
Fracture of pelvic limb - talus,"Musculoskeletal system finding, Limb finding"
"Fracture of pelvic limb - tarsal bone, central","Musculoskeletal system finding, Limb finding"
"Fracture of pelvic limb - tarsal bone, distal","Musculoskeletal system finding, Limb finding"
Fracture of pelvic limb - tibia,"Musculoskeletal system finding, Limb finding"
Fracture of pelvic limb - tibia AND fibula,"Musculoskeletal system finding, Limb finding"
Fracture of thoracic limb,"Musculoskeletal system finding, Limb finding"
"Fracture of thoracic limb - carpal bone, accessory","Musculoskeletal system finding, Limb finding"
"Fracture of thoracic limb - carpal bone, distal","Musculoskeletal system finding, Limb finding"
"Fracture of thoracic limb - carpal bone, radial","Musculoskeletal system finding, Limb finding"
"Fracture of thoracic limb - carpal bone, ulnar","Musculoskeletal system finding, Limb finding"
"Fracture of thoracic limb - carpal bones, multiple","Musculoskeletal system finding, Limb finding"
Fracture of thoracic limb - clavicle,"Musculoskeletal system finding, Limb finding"
Fracture of thoracic limb - humerus,"Musculoskeletal system finding, Limb finding"
"Fracture of thoracic limb - humerus, intercondylar Y/T","Musculoskeletal system finding, Limb finding"
"Fracture of thoracic limb - humerus, lateral condyle","Musculoskeletal system finding, Limb finding"
"Fracture of thoracic limb - humerus, medial condyle","Musculoskeletal system finding, Limb finding"
Fracture of thoracic limb - metacarpal(s),"Musculoskeletal system finding, Limb finding"
"Fracture of thoracic limb - paw, multiple fractures","Musculoskeletal system finding, Limb finding"
Fracture of thoracic limb - phalanx,"Musculoskeletal system finding, Limb finding"
Fracture of thoracic limb - radius,"Musculoskeletal system finding, Limb finding"
Fracture of thoracic limb - radius AND ulna,"Musculoskeletal system finding, Limb finding"
Fracture of thoracic limb - scapula,"Musculoskeletal system finding, Limb finding"
Fracture of thoracic limb - ulna,"Musculoskeletal system finding, Limb finding"
"Fracture of thoracic limb - ulna, Monteggia's fracture","Musculoskeletal system finding, Limb finding"
"Fracture of thoracic limb - ulna, olecranon","Musculoskeletal system finding, Limb finding"
"Hip dysplasia, developmental","Musculoskeletal system finding, Hereditary disorder finding, Developmental disorder finding, Limb finding"
"Hip dysplasia, developmental - bilateral","Musculoskeletal system finding, Hereditary disorder finding, Developmental disorder finding, Limb finding"
"Hip dysplasia, developmental - unilateral","Musculoskeletal system finding, Hereditary disorder finding, Developmental disorder finding, Limb finding"
Hypertrophic osteopathy (HOA) (Marie's disease),"Musculoskeletal system finding, Limb finding"
Incomplete ossification of the humeral condyle (IOHC),"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Interdigital cyst (dogs),"Haircoat/skin (+ appendages) finding, Mass lesion/swelling finding, Limb finding"
Interdigital pyogranulomas,"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding, Limb finding"
Joint luxation - carpus,"Musculoskeletal system finding, Limb finding"
Joint luxation - elbow,"Musculoskeletal system finding, Limb finding"
Joint luxation - hip,"Musculoskeletal system finding, Limb finding"
Joint luxation - hock,"Musculoskeletal system finding, Limb finding"
Joint luxation - shoulder,"Musculoskeletal system finding, Limb finding"
Joint luxation - tarsometatarsal,"Musculoskeletal system finding, Limb finding"
Joint subluxation - carpus,"Musculoskeletal system finding, Limb finding"
Joint subluxation - elbow,"Musculoskeletal system finding, Limb finding"
Joint subluxation - hip,"Musculoskeletal system finding, Limb finding"
Joint subluxation - hock,"Musculoskeletal system finding, Limb finding"
Joint subluxation - shoulder,"Musculoskeletal system finding, Limb finding"
Joint instability - carpal,"Musculoskeletal system finding, Limb finding"
Joint instability - hock,"Musculoskeletal system finding, Limb finding"
Joint instability - shoulder,"Musculoskeletal system finding, Limb finding"
"Limb deformity, acquired","Musculoskeletal system finding, Limb finding"
"Limb deformity, congenital","Musculoskeletal system finding, Congenital finding, Limb finding"
"Limb deformity, developmental - carpal varus","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Limb deformity, developmental - carpal valgus","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Limb deformity, developmental - genu varum","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Limb deformity, developmental - genu valgum","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Limb deformity, developmental - pes varus","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Lymphadenopathy - popliteal,"Lymphatic system finding, Haematopoietic system finding, Immune system finding, Limb finding"
"Mass lesion - limb, lower","Limb finding, Mass lesion/swelling finding"
"Mass lesion - limb, upper","Limb finding, Mass lesion/swelling finding"
Meniscal injury,"Musculoskeletal system finding, Limb finding"
Metaphyseal osteopathy (Canine hypertrophic osteodystrophy),"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Metatarsal fistulae of GSD,"Haircoat/skin (+ appendages) finding, Immune system finding, Limb finding"
"Neoplasm - limb, lower","Limb finding, Mass lesion/swelling finding"
"Neoplasm - limb, upper","Limb finding, Mass lesion/swelling finding"
"Onychodystrophy, idiopathic","Haircoat/skin (+ appendages) finding, Limb finding"
"Onychodystrophy, symmetric lupoid","Haircoat/skin (+ appendages) finding, Limb finding"
"Onychodystrophy, unspecified","Haircoat/skin (+ appendages) finding, Limb finding"
