Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Lymphadenopathy,"Lymphatic system finding, Haematopoietic system finding, Immune system finding"
Lymphadenopathy - generalised,"Lymphatic system finding, Haematopoietic system finding, Immune system finding"
Lymphadenopathy - mesenteric,"Lymphatic system finding, Haematopoietic system finding, Immune system finding, Abdominal finding"
Lymphadenopathy - popliteal,"Lymphatic system finding, Haematopoietic system finding, Immune system finding, Limb finding"
Lymphadenopathy - retropharyngeal,"Lymphatic system finding, Haematopoietic system finding, Immune system finding, Respiratory system finding, Alimentary tract/Digestive system finding, Head and neck finding"
Lymphadenopathy - mandibular (submandibular),"Lymphatic system finding, Haematopoietic system finding, Immune system finding, Head and neck finding"
Lymphangiectasia,Lymphatic system finding
Lymphangioma,"Lymphatic system finding, Mass lesion/swelling finding"
Lymphangiosarcoma,"Lymphatic system finding, Connective tissue finding, Mass lesion/swelling finding"
Lymphoedema,Lymphatic system finding
Lymphoma (malignant),"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - B-cell,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - central nervous system (CNS),"Nervous system finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - cutaneous (skin) T-cell,"Haircoat/skin (+ appendages) finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - gastric (stomach),"Alimentary tract/Digestive system finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding, Abdominal finding"
Lymphoma - intestinal,"Alimentary tract/Digestive system finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding, Abdominal finding"
Lymphoma - lymph node(s),"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - ocular (eye),"Ophthalmology/vision finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding, Head and neck finding"
Lymphoma - orbital,"Ophthalmology/vision finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Musculoskeletal system finding, Mass lesion/swelling finding, Head and neck finding"
Lymphoma - renal (kidney),"Urogenital system finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding, Abdominal finding"
Lymphoma - splenic,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding, Abdominal finding"
Lymphoma - T-cell,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma stage I,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma stage II,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma stage III,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma stage IV,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma stage V,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Mass lesion - lymph node,"Lymphatic system finding, Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Mass lesion - tonsillar,"Respiratory system finding, Alimentary tract/Digestive system finding, Lymphatic system finding, Haematopoietic system finding, Immune system finding, Mass lesion/swelling finding, Head and neck finding"
Multiple myeloma,"Lymphatic system finding, Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Neoplasm - lymph node,"Lymphatic system finding, Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Neoplasm - tonsillar,"Respiratory system finding, Alimentary tract/Digestive system finding, Lymphatic system finding, Haematopoietic system finding, Immune system finding, Mass lesion/swelling finding, Head and neck finding"
Neoplastic metastasis - to regional lymph node(s),"Lymphatic system finding, Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Plasmacytoma,"Lymphatic system finding, Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Pododermatitis - plasma cell,"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding, Haematopoietic system finding, Immune system finding, Lymphatic system finding, Limb finding"
Tonsillar enlargement,"Respiratory system finding, Alimentary tract/Digestive system finding, Haematopoietic system finding, Immune system finding, Lymphatic system finding, Head and neck finding"
Tonsillitis,"Respiratory system finding, Alimentary tract/Digestive system finding, Haematopoietic system finding, Immune system finding, Lymphatic system finding, Inflammatory disorder finding, Head and neck finding"
Plasmacytoma (site unspecified),"Lymphatic system finding, Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Multiple myeloma (plasma cell myeloma),"Lymphatic system finding, Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Lymphoma - multicentric - stage I,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - multicentric - stage II,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - multicentric - stage III,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - multicentric - stage IV,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - multicentric - stage V,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
"Lymphoma - cutaneous (skin), secondary - T-cell","Haircoat/skin (+ appendages) finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
"Lymphoma - cutaneous (skin), primary","Haircoat/skin (+ appendages) finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
"Lymphoma - cutaneous (skin), primary - epitheliotropic","Haircoat/skin (+ appendages) finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
"Lymphoma - cutaneous (skin), secondary - B-cell","Haircoat/skin (+ appendages) finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
"Lymphoma - cutaneous (skin), secondary - immunophenotype unknown","Haircoat/skin (+ appendages) finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
"Lymphadenopathy, generalised - aetiology unknown","Lymphatic system finding, Haematopoietic system finding, Immune system finding"
"Lymphadenopathy, localised - aetiology unknown","Lymphatic system finding, Haematopoietic system finding, Immune system finding"
Lymphoma - multicentric (stage unspecified),"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - multicentric - B-cell,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - multicentric - T-cell,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - multicentric - immunophenotype unknown,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - bone,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Musculoskeletal system finding, Mass lesion/swelling finding"
Lymphoma - cardiac (heart),"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Cardiovascular system finding, Mass lesion/swelling finding, Thoracic finding"
Lymphoma - cranial mediastinal/thymic,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Endocrine/Metabolic finding, Mass lesion/swelling finding, Thoracic finding"
Lymphoma - hepatic (liver),"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Hepatobiliary system finding, Mass lesion/swelling finding, Abdominal finding"
Lymphoma - larynx,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Respiratory system finding, Mass lesion/swelling finding, Head and neck finding"
Lymphoma - rectum,"Alimentary tract/Digestive system finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding, Abdominal finding, Pelvic structure finding"
Lymphoma (site unspecified),"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Plasmacytoma - cutaneous (skin),"Haircoat/skin (+ appendages) finding, Lymphatic system finding, Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Plasmacytoma - gastrointestinal,"Alimentary tract/Digestive system finding, Lymphatic system finding, Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding, Abdominal finding"
Plasmacytoma - mucosal,"Soft tissue finding, Lymphatic system finding, Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Plasmacytoma - mucocutaneous,"Haircoat/skin (+ appendages) finding, Soft tissue finding, Lymphatic system finding, Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
