Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Adenocarcinoma,Mass lesion/swelling finding
Adenocarcinoma - anal sac,"Alimentary tract/Digestive system finding, Mass lesion/swelling finding"
Adenocarcinoma - apocrine adenocarcinoma of anal sac,"Alimentary tract/Digestive system finding, Mass lesion/swelling finding"
Adenocarcinoma - aural (ear),"Auditory system finding, Head and neck finding, Mass lesion/swelling finding"
Adenocarcinoma - cutaneous (skin),"Haircoat/skin (+ appendages) finding, Mass lesion/swelling finding"
Adenocarcinoma - gastrointestinal,"Alimentary tract/Digestive system finding, Mass lesion/swelling finding, Abdominal finding"
Adenocarcinoma - hepatic (liver),"Hepatobiliary system finding, Mass lesion/swelling finding, Abdominal finding"
Adenocarcinoma - oesophageal,"Alimentary tract/Digestive system finding, Mass lesion/swelling finding"
Adenocarcinoma - prostatic,"Urogenital system finding, Reproductive system finding, Mass lesion/swelling finding, Pelvic structure finding"
Adenocarcinoma - pulmonary (lung),"Respiratory system finding, Mass lesion/swelling finding, Thoracic finding"
Adenocarcinoma - rectal,"Alimentary tract/Digestive system finding, Mass lesion/swelling finding, Pelvic structure finding"
Adenocarcinoma - renal (kidney),"Urogenital system finding, Mass lesion/swelling finding, Abdominal finding"
Adenocarcinoma - salivary,"Alimentary tract/Digestive system finding, Mass lesion/swelling finding, Head and neck finding"
Adenoma - apocrine adenoma of anal sac,"Alimentary tract/Digestive system finding, Mass lesion/swelling finding"
Ameloblastoma of the jaw,"Musculoskeletal system finding, Mass lesion/swelling finding, Head and neck finding"
Arachnoid cyst - cerebral (brain),"Nervous system finding, Mass lesion/swelling finding"
Arachnoid cyst - spinal,"Nervous system finding, Mass lesion/swelling finding"
Basal cell tumour,"Haircoat/skin (+ appendages) finding, Mass lesion/swelling finding"
Bowen's disease,"Haircoat/skin (+ appendages) finding, Mass lesion/swelling finding"
Carcinoma/carcinoma in situ,Mass lesion/swelling finding
Carcinoma/carcinoma in situ - biliary tract,"Mass lesion/swelling finding, Hepatobiliary system finding, Abdominal finding"
Carcinoma/carcinoma in situ - bronchial/bronchiolar,"Mass lesion/swelling finding, Respiratory system finding, Thoracic finding"
Carcinoma/carcinoma in situ - hepatocellular,"Mass lesion/swelling finding, Hepatobiliary system finding, Abdominal finding"
Carcinoma/carcinoma in situ - intestinal,"Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Abdominal finding"
"Carcinoma/carcinoma in situ - intestinal, colon","Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Abdominal finding"
Carcinoma/carcinoma in situ - laryngeal,"Mass lesion/swelling finding, Respiratory system finding, Head and neck finding"
Carcinoma/carcinoma in situ - lung (pulmonary) parenchyma,"Mass lesion/swelling finding, Respiratory system finding, Thoracic finding"
Carcinoma/carcinoma in situ - nasal cavity,"Mass lesion/swelling finding, Respiratory system finding, Head and neck finding"
Carcinoma/carcinoma in situ - oesophageal,"Mass lesion/swelling finding, Alimentary tract/Digestive system finding"
Carcinoma/carcinoma in situ - pancreatic,"Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Abdominal finding"
Carcinoma/carcinoma in situ - prostatic,"Mass lesion/swelling finding, Urogenital system finding, Reproductive system finding, Pelvic structure finding"
Carcinoma/carcinoma in situ - rectal,"Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Pelvic structure finding"
Carcinoma/carcinoma in situ - renal (kidney),"Mass lesion/swelling finding, Urogenital system finding, Abdominal finding"
Carcinoma/carcinoma in situ - salivary apparatus,"Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Head and neck finding"
Carcinoma/carcinoma in situ - skin (cutaneous),"Mass lesion/swelling finding, Haircoat/skin (+ appendages) finding"
"Carcinoma/carcinoma in situ - skin (cutaneous), perianal","Mass lesion/swelling finding, Haircoat/skin (+ appendages) finding, Perineal finding"
Carcinoma/carcinoma in situ - stomach (gastric),"Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Abdominal finding"
"Carcinoma/carcinoma in situ - stomach (gastric), pylorus","Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Abdominal finding"
Carcinoma/carcinoma in situ - thyroid,"Mass lesion/swelling finding, Endocrine/metabolic finding, Head and neck finding"
Carcinoma/carcinoma in situ - tonsil,"Mass lesion/swelling finding, Haematopoietic system finding, Immune system finding, Respiratory system finding, Alimentary tract/Digestive system finding, Head and neck finding"
Carcinoma/carcinoma in situ - urethral,"Mass lesion/swelling finding, Urogenital system finding"
Carcinoma/carcinoma in situ - urinary bladder,"Mass lesion/swelling finding, Urogenital system finding, Abdominal finding"
Chemodectoma,"Mass lesion/swelling finding, Nervous system finding, Endocrine/metabolic finding"
Cholesteatoma,Mass lesion/swelling finding
Cholesteatoma - middle ear,"Mass lesion/swelling finding, Auditory system finding, Head and neck finding"
Chondrosarcoma,"Mass lesion/swelling finding, Musculoskeletal system finding, Connective tissue finding"
Dermoid cyst,Mass lesion/swelling finding
Dermoid cyst - nasal (nose),"Respiratory system finding, Mass lesion/swelling finding, Head and neck finding"
Dermoid cyst - cutaneous (skin),"Haircoat/skin (+ appendages) finding, Mass lesion/swelling finding"
Dermoid cyst - spinal,"Nervous system finding, Mass lesion/swelling finding"
