Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
DIAGNOSIS NOT MADE (Diagnosis not listed),"Circulatory, Digestive, Mastitis, Musculo-skeletal, Nervous-Sensory, Reproductive, Respiratory, Skin, Systemic & Misc, Urinary & Umbilical"
Mastitis - Bacillus cereus,Mastitis
Mastitis - Bacillus spp,Mastitis
Mastitis - Citrobacter spp,Mastitis
Mastitis - coagulase-positive staphylococci Staphylococcus aureus,Mastitis
Mastitis - Coryebacterium bovis,Mastitis
Mastitis - E. coli,Mastitis
Mastitis - gangrenous,Mastitis
Mastitis - Klebsiella spp.,Mastitis
Mastitis - Listeria sp.,Mastitis
Mastitis - Mannheimia haemolytica,Mastitis
Mastitis - Mycoplasma bovis,Mastitis
Mastitis - Mycoplasma spp,Mastitis
Mastitis - Pseudomonas spp,Mastitis
Mastitis - Serratia spp,Mastitis
Mastitis - Staphylococcus sp,Mastitis
Mastitis - Streptococcus agalactiae,Mastitis
Mastitis - Streptococcus dysgalactiae,Mastitis
Mastitis - Streptococcus sp,Mastitis
Mastitis - Streptococcus uberis,Mastitis
Mastitis - subclinical,Mastitis
Mastitis - toxic,Mastitis
Mastitis - Trueperella pyogenes,Mastitis
