Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Abscess - White line abscess,Musculo-skeletal
"Arthritis, septic - Erysipelothrix spp.",Musculo-skeletal
"Arthritis, septic - Mycoplasma bovis",Musculo-skeletal
"Arthritis, septic - Streptococcus dysgalactiae",Musculo-skeletal
Contagious ovine digital dermatitis ( CODD),Musculo-skeletal
Corkscrew claw,Musculo-skeletal
DIAGNOSIS NOT MADE (Diagnosis not listed),"Circulatory, Digestive, Mastitis, Musculo-skeletal, Nervous-Sensory, Reproductive, Respiratory, Skin, Systemic & Misc, Urinary & Umbilical"
Digital Dermatitis,Musculo-skeletal
Dislocated hip,Musculo-skeletal
Dislocated joint,Musculo-skeletal
Dislocated stifle,Musculo-skeletal
Foot rot - Dichelobacter nodosus,Musculo-skeletal
Foreign body - digital,Musculo-skeletal
Heel erosion,Musculo-skeletal
Interdigital dermatitis ( scald),Musculo-skeletal
interdigital growth,Musculo-skeletal
Interdigital necrobacillosis,Musculo-skeletal
Interdigitial necrobacillosis (Foul in the foot),Musculo-skeletal
Lordosis,Musculo-skeletal
Nutritional Osteodystrophy,Musculo-skeletal
Post-dipping lameness,Musculo-skeletal
Scoliosis,Musculo-skeletal
Septic arthritis (Joint ill),Musculo-skeletal
Septic pedal bone,Musculo-skeletal
Sole ulcer (unspecified),Musculo-skeletal
Spastic paresis,Musculo-skeletal
Strawberry foot rot,Musculo-skeletal
"Tenosynovitis, septic (infective) - unspecified",Musculo-skeletal
Toe granuloma,Musculo-skeletal
Toe necrosis,Musculo-skeletal
