Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Ameloblastoma of the jaw,"Musculoskeletal system finding, Mass lesion/swelling finding, Head and neck finding"
Ankylosis,Musculoskeletal system finding
Ankylosis - hock,"Musculoskeletal system finding, Limb finding"
Ankylosis - stifle,"Musculoskeletal system finding, Limb finding"
Arthritis,Musculoskeletal system finding
Arthritis - bacterial,"Musculoskeletal system finding, Infectious disorder finding"
Auricular chondritis,"Auditory system finding, Musculoskeletal system finding, Inflammatory disorder finding, Head and neck finding"
Avascular necrosis of the femoral head (Legg-Calvé-Perthes disease),"Musculoskeletal system finding, Degenerative disorder finding, Limb finding"
Bone implant complication,"Complication of medical care finding, Musculoskeletal system finding"
Bone implant complication - broken or fatigued,"Complication of medical care finding, Musculoskeletal system finding"
Bone implant complication - infected,"Complication of medical care finding, Musculoskeletal system finding, Infectious disorder finding"
Bone implant complication - loosened,"Complication of medical care finding, Musculoskeletal system finding"
Bone implant complication - migrated,"Complication of medical care finding, Musculoskeletal system finding"
Cardiomyopathy - Canine dilated cardiomyopathy,"Cardiovascular system finding, Musculoskeletal system finding, Thoracic finding"
Cardiomyopathy - Canine hypertrophic cardiomyopathy,"Cardiovascular system finding, Musculoskeletal system finding, Thoracic finding"
Cardiomyopathy - Feline dilated cardiomyopathy,"Cardiovascular system finding, Musculoskeletal system finding, Thoracic finding"
Cardiomyopathy - Feline hypertrophic cardiomyopathy,"Cardiovascular system finding, Musculoskeletal system finding, Thoracic finding"
Cardiomyopathy - Feline restrictive cardiomyopathy,"Cardiovascular system finding, Musculoskeletal system finding, Thoracic finding"
Cardiomyopathy - Feline unclassified cardiomyopathy,"Cardiovascular system finding, Musculoskeletal system finding, Thoracic finding"
Cardiomyopathy - unclassified or class undetermined,"Cardiovascular system finding, Musculoskeletal system finding, Thoracic finding"
"Cardiomyopathy, primary","Cardiovascular system finding, Musculoskeletal system finding, Thoracic finding"
"Cardiomyopathy, secondary","Cardiovascular system finding, Musculoskeletal system finding, Thoracic finding"
"Cardiomyopathy, secondary - hypertensive","Cardiovascular system finding, Musculoskeletal system finding, Thoracic finding"
"Cardiomyopathy, secondary - taurine-deficiency","Cardiovascular system finding, Musculoskeletal system finding, Nutritional finding, Thoracic finding"
"Cardiomyopathy, secondary - thyrotoxic","Cardiovascular system finding, Musculoskeletal system finding, Endocrine/metabolic finding, Thoracic finding, Head and neck finding"
Chondrosarcoma,"Mass lesion/swelling finding, Musculoskeletal system finding, Connective tissue finding"
Compartment syndrome,Musculoskeletal system finding
Craniomandibular osteopathy,"Musculoskeletal system finding, Head and neck finding"
Cricopharyngeal achalasia (cricopharyngeal dysphagia),"Alimentary tract/Digestive system finding, Respiratory system finding, Musculoskeletal system finding, Head and neck finding"
Cruciate disease,"Musculoskeletal system finding, Connective tissue finding, Limb finding"
Cruciate ligament instability - caudal,"Musculoskeletal system finding, Connective tissue finding, Limb finding"
Cruciate ligament instability - cranial,"Musculoskeletal system finding, Connective tissue finding, Limb finding"
"Cruciate ligament instability, partial - caudal","Musculoskeletal system finding, Connective tissue finding, Limb finding"
"Cruciate ligament instability, partial - cranial","Musculoskeletal system finding, Connective tissue finding, Limb finding"
Cruciate ligament rupture - caudal,"Musculoskeletal system finding, Connective tissue finding, Limb finding"
Cruciate ligament rupture - cranial,"Musculoskeletal system finding, Connective tissue finding, Limb finding"
Cruciate ligament rupture - caudal and cranial,"Musculoskeletal system finding, Connective tissue finding, Limb finding"
Dermatomyositis,"Haircoat/skin (+ appendages) finding, Immune system finding, Inflammatory disorder finding, Musculoskeletal system finding"
Diaphragmatic rupture,"Musculoskeletal system finding, Thoracic finding, Abdominal finding"
Diaphragmatic rupture - traumatic,"Musculoskeletal system finding, Traumatic episode finding, Thoracic finding, Abdominal finding"
Discospondylitis,"Musculoskeletal system finding, Infectious disorder finding, Inflammatory disorder finding, Spine (vertebral column) finding"
Ehlers-Danlos syndrome,"Haircoat/skin (+ appendages) finding, Musculoskeletal system finding, Hereditary disorder finding, Developmental disorder finding, Congenital disorder finding"
Elbow dysplasia (canine),"Musculoskeletal system finding, Hereditary disorder finding, Limb finding, Developmental disorder finding"
Elbow dysplasia (canine) - elbow incongruity,"Musculoskeletal system finding, Hereditary disorder finding, Limb finding, Developmental disorder finding"
"Elbow dysplasia (canine) - medial coronoid process disease, fragment identified","Musculoskeletal system finding, Hereditary disorder finding, Limb finding, Developmental disorder finding"
"Elbow dysplasia (canine) - medial coronoid process disease, no fragment identified","Musculoskeletal system finding, Hereditary disorder finding, Limb finding, Developmental disorder finding"
Elbow dysplasia (canine) - osteochondritis dissecans (OCD),"Musculoskeletal system finding, Hereditary disorder finding, Limb finding, Developmental disorder finding"
Elbow dysplasia (canine) - ununited anconeal process (UAP),"Musculoskeletal system finding, Hereditary disorder finding, Limb finding, Developmental disorder finding"
Enthesopathy,Musculoskeletal system finding
Epiphyseal disorder,Musculoskeletal system finding
Epiphysitis/physitis,"Musculoskeletal system finding, Inflammatory disorder finding"
Flail chest,"Musculoskeletal system finding, Traumatic episode finding, Thoracic finding"
Fracture,Musculoskeletal system finding
"Fracture, closed",Musculoskeletal system finding
"Fracture, comminuted",Musculoskeletal system finding
"Fracture, greenstick",Musculoskeletal system finding
"Fracture, intra-articular",Musculoskeletal system finding
"Fracture, oblique",Musculoskeletal system finding
"Fracture, open",Musculoskeletal system finding
"Fracture, pathological",Musculoskeletal system finding
"Fracture, Salter-Harris Type I",Musculoskeletal system finding
"Fracture, Salter-Harris Type II",Musculoskeletal system finding
"Fracture, Salter-Harris Type III",Musculoskeletal system finding
"Fracture, Salter-Harris Type IV",Musculoskeletal system finding
"Fracture, Salter-Harris Type V",Musculoskeletal system finding
"Fracture, spiral",Musculoskeletal system finding
Fracture. stress,Musculoskeletal system finding
"Fracture, transverse",Musculoskeletal system finding
Fracture healed,Musculoskeletal system finding
Fracture healing,Musculoskeletal system finding
Fracture healing disorder - delayed union/non-union,Musculoskeletal system finding
Fracture healing disorder - malunion,Musculoskeletal system finding
Fracture of pelvic limb,"Musculoskeletal system finding, Limb finding"
Fracture of pelvic limb - calcaneus,"Musculoskeletal system finding, Limb finding"
Fracture of pelvic limb - femur,"Musculoskeletal system finding, Limb finding"
Fracture of pelvic limb - fibula,"Musculoskeletal system finding, Limb finding"
Fracture of pelvic limb - metatarsal(s),"Musculoskeletal system finding, Limb finding"
Fracture of pelvic limb - patella,"Musculoskeletal system finding, Limb finding"
"Fracture of pelvic limb - paw, multiple fractures","Musculoskeletal system finding, Limb finding"
Fracture of pelvic limb - phalanx,"Musculoskeletal system finding, Limb finding"
Fracture of pelvic limb - talus,"Musculoskeletal system finding, Limb finding"
"Fracture of pelvic limb - tarsal bone, central","Musculoskeletal system finding, Limb finding"
"Fracture of pelvic limb - tarsal bone, distal","Musculoskeletal system finding, Limb finding"
Fracture of pelvic limb - tibia,"Musculoskeletal system finding, Limb finding"
Fracture of pelvic limb - tibia AND fibula,"Musculoskeletal system finding, Limb finding"
Fracture of pelvis,"Musculoskeletal system finding, Pelvic structure finding"
Fracture of pelvis - acetabulum,"Musculoskeletal system finding, Pelvic structure finding"
Fracture of pelvis - ilium,"Musculoskeletal system finding, Pelvic structure finding"
Fracture of pelvis - ischium,"Musculoskeletal system finding, Pelvic structure finding"
Fracture of pelvis - multiple fractures,"Musculoskeletal system finding, Pelvic structure finding"
Fracture of pelvis - pubis,"Musculoskeletal system finding, Pelvic structure finding"
Fracture of pelvis with sacroiliac luxation/subluxation,"Musculoskeletal system finding, Pelvic structure finding"
Fracture of rib(s),"Musculoskeletal system finding, Thoracic finding"
Fracture of skull,"Musculoskeletal system finding, Head and neck finding"
Fracture of skull - frontal bone,"Musculoskeletal system finding, Head and neck finding"
Fracture of skull - frontal sinus,"Musculoskeletal system finding, Respiratory system finding, Head and neck finding"
Fracture of skull - involving temporomandibular joint (TMJ),"Musculoskeletal system finding, Head and neck finding"
