Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Acute perinatal asphyxia,"Neonatal problem/disorder finding, Nervous system finding, Head and neck finding"
Colostrum-deprived foal,Neonatal problem/disorder finding
Dysmaturity,"Neonatal problem/disorder finding, Congenital finding"
Epilepsy - Equine neonatal epilepsy,"Nervous system finding, Head and neck finding, Neonatal problem/disorder finding"
Failure of passive transfer (FPT) (cause unspecified),"Neonatal problem/disorder finding, Immune system finding"
Failure of passive transfer (FPT) - inadequate colostrum absorption,"Neonatal problem/disorder finding, Immune system finding"
Failure of passive transfer (FPT) - inadequate colostrum ingestion,"Neonatal problem/disorder finding, Immune system finding"
Failure of passive transfer (FPT) - poor colostrum quality/quantity,"Neonatal problem/disorder finding, Immune system finding"
Foal heat diarrhoea,"Neonatal problem/disorder finding, Alimentary tract/Digestive system finding, Abdominal finding"
Hypoglycaemia - neonatal,"Endocrine/Metabolic finding, Neonatal problem/disorder finding"
Hypoxic Ischaemic Encephalopathy (HIE) (Neonatal Maladjustment Syndrome/'Dummy' foal),"Neonatal problem/disorder finding, Nervous system finding, Head and neck finding"
"Lavender foal syndrome (LFS)(Coat Colour Dilution Lethal, CCDL)","Hereditary disorder finding, Neonatal problem/disorder finding, Nervous system finding"
Meconium aspiration,"Neonatal problem/disorder finding, Respiratory system finding, Inflammatory disorder finding, Thoracic finding"
Nasopharyngeal dysfunction of foals,"Respiratory system finding, Alimentary tract/Digestive system finding, Head and neck finding, Neonatal problem/disorder finding"
Neonatal isoerythrolysis (NI),"Haematopoietic system finding, Immune system finding, Neonatal problem/disorder finding"
Neonate prematurity/dysmaturity,"Neonatal problem/disorder finding, Congenital finding"
Patent (persistent) urachus,"Neonatal problem/disorder finding, Congenital finding, Abdominal finding"
Septicaemia - neonatal,"Infectious disorder finding, Neonatal problem/disorder finding"
Fading kitten syndrome,Neonatal problem/disorder finding
Fading puppy syndrome,Neonatal problem/disorder finding
Failure of passive transfer (FPT) - complete,"Neonatal problem/disorder finding, Immune system finding"
Failure of passive transfer (FPT) - partial,"Neonatal problem/disorder finding, Immune system finding"
Failure of passive transfer (FPT)(type unspecified),"Neonatal problem/disorder finding, Immune system finding"
