Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Cerebellar abiotrophy,"Nervous system finding, Degenerative disorder finding, Hereditary disorder finding, Head and neck finding"
Abscess - brain,"Inflammatory disorder finding, Nervous system finding, Head and neck finding"
Abscess - spinal cord,"Inflammatory disoder finding, Nervous system finding"
Acral mutilation,"Haircoat/skin (+ appendages) finding, Nervous system finding, Hereditary disorder finding"
Acromegaly,"Endocrine/Metabolic finding, Nervous system finding, Head and neck finding"
Arachnoid cyst - cerebral (brain),"Nervous system finding, Mass lesion/swelling finding"
Arachnoid cyst - spinal,"Nervous system finding, Mass lesion/swelling finding"
Arnold-Chiari malformation,"Nervous system finding, Head and neck finding"
Arnold-Chiari malformation type I,"Nervous system finding, Head and neck finding"
Arnold-Chiari malformation type II,"Nervous system finding, Head and neck finding"
Behaviour disorder,"Nervous system finding, Head and neck finding"
Brachial plexus disorder,"Nervous system finding, Limb finding"
Brachial plexus injury/avulsion,"Nervous system finding, Limb finding, Traumatic episode finding"
Brain disorder,"Nervous system finding, Head and neck finding"
Brain haemorrhage,"Nervous system finding, Cardiovascular system finding, Head and neck finding"
Brain injury - traumatic (TBI),"Nervous system finding, Traumatic episode finding, Head and neck finding"
Brainstem disorder,"Nervous system finding, Head and neck finding"
Brainstem herniation,"Nervous system finding, Head and neck finding"
Brainstem infarction,"Nervous system finding, Cardiovascular system finding, Head and neck finding"
Cataplexy,"Nervous system finding, Head and neck finding"
"Cauda equina syndrome (Cauda equina neuritis, Lumbosacral syndrome)",Nervous system finding
Cerebellar ataxia,"Nervous system finding, Head and neck finding"
Cerebellar disorder,"Nervous system finding, Head and neck finding"
Cerebellar herniation,"Nervous system finding, Head and neck finding"
Cerebellar infarction,"Nervous system finding, Cardiovascular system finding, Head and neck finding"
Cerebral infarction,"Nervous system finding, Cardiovascular system finding, Head and neck finding"
Cerebrovascular accident (CVA),"Nervous system finding, Cardiovascular system finding, Head and neck finding"
Cerebrovascular disorder,"Nervous system finding, Cardiovascular system finding, Head and neck finding"
Chemodectoma,"Mass lesion/swelling finding, Nervous system finding, Endocrine/metabolic finding"
Cognitive dysfunction,"Nervous system finding, Head and neck finding"
Cranial neuropathy,"Nervous system finding, Head and neck finding"
Dermoid cyst - spinal,"Nervous system finding, Mass lesion/swelling finding"
Diabetes insipidus - central (pituitary),"Endocrine/Metabolic finding, Nervous system finding, Head and neck finding"
Dysautonomia,Nervous system finding
Encephalitis,"Nervous system finding, Inflammatory disorder finding, Head and neck finding"
Encephalopathy,"Nervous system finding, Head and neck finding"
Encephalopathy - hypertensive,"Nervous system finding, Cardiovascular system finding, Head and neck finding"
Encephalopathy - uraemic,"Nervous system finding, Endocrine/Metabolic finding, Head and neck finding"
Ependymoma of brain,"Nervous system finding, Mass lesion/swelling finding, Head and neck finding"
Epidermoid cyst - spinal,"Nervous system finding, Mass lesion/swelling finding"
Epilepsy,"Nervous system finding, Head and neck finding"
Epilepsy - Cursive (running) epilepsy,"Nervous system finding, Head and neck finding"
Epilepsy - focal,"Nervous system finding, Head and neck finding"
Epilepsy - idiopathic generalised,"Nervous system finding, Head and neck finding"
Facial neuropathy/nerve paralysis,"Nervous system finding, Head and neck finding"
Feline dysautonomia,Nervous system finding
Fibrocartilagenous embolism (FCE) of spinal cord,Nervous system finding
Galactosialidosis,"Endocrine/metabolic finding, Nervous system finding, Congenital finding, Hereditary disorder finding"
Glioma of brain,"Nervous system finding, Mass lesion/swelling finding, Head and neck finding"
Glioma of spinal cord,"Nervous system finding, Mass lesion/swelling finding"
Granulomatous meningoencephalitis (GME),"Nervous system finding, Inflammatory disorder finding, Head and neck finding"
Granulomatous meningoencephalomyelitis,"Nervous system finding, Inflammatory disorder finding, Head and neck finding"
Hepatic (liver) encephalopathy (HE),"Hepatobiliary system finding, Nervous system finding, Endocrine/metabolic finding, Abdominal finding, Head and neck finding"
Hereditary ataxia in Terriers,"Nervous system finding, Hereditary disorder finding"
Horner's syndrome,Nervous system finding
Hydrocephalus,"Nervous system finding, Head and neck finding"
Hydrocephalus - internal,"Nervous system finding, Head and neck finding"
Hydrocephalus - post-traumatic,"Nervous system finding, Traumatic episode finding, Head and neck finding"
Hydromyelia,"Nervous system finding, Congenital finding"
Hypercortisolism - pituitary-dependent,"Endocrine/Metabolic finding, Nervous system finding, Abdominal finding, Head and neck finding"
Hypopituitarism,"Endocrine/Metabolic finding, Nervous system finding, Head and neck finding"
Lower motor neuron disease,Nervous system finding
