Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Cachexia,"Weight/Body condition finding, Nutritional finding"
Cachexia - cancer,"Weight/Body condition finding, Nutritional finding"
Cachexia - cardiac,"Weight/Body condition finding, Nutritional finding"
"Cardiomyopathy, secondary - taurine-deficiency","Cardiovascular system finding, Musculoskeletal system finding, Nutritional finding, Thoracic finding"
Cobalamin (vitamin B12) deficiency,Nutritional finding
Emaciation,Nutritional finding
"Hyperparathyroidism, secondary - nutritional","Endocrine/Metabolic finding, Nutritional finding, Head and neck finding"
Iron deficiency anaemia,"Haematopoietic system finding, Nutritional finding"
Starvation,Nutritional finding
Thiamine deficiency,Nutritional finding
Vitamin E deficiency,Nutritional finding
Taurine deficiency,Nutritional finding
Iodine deficiency,Nutritional finding
Iron deficiency,Nutritional finding
Malnutrition,Nutritional finding
Myopathy (muscle disorder) - nutritional,"Musculoskeletal system finding, Nutritional finding"
Nutritional myodegeneration (White muscle disease),"Musculoskeletal system finding, Nutritional finding, Degenerative disorder finding"
Nutritional diarrhoea,"Alimentary tract/Digestive system finding, Abdominal finding, Nutritional finding"
Zinc deficiency,Nutritional finding
Anaemia - iron deficiency,"Haematopoietic system finding, Nutritional finding"
Carbohydrate (grain) overload,Nutritional finding
Deficiency - vitamin E,Nutritional finding
Hypervitaminosis (unspecified),Nutritional finding
