Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Abscess - prostatic,"Inflammatory disorder finding, Urogenital system finding, Reproductive system finding, Pelvic structure finding"
Adenocarcinoma - prostatic,"Urogenital system finding, Reproductive system finding, Mass lesion/swelling finding, Pelvic structure finding"
Adenocarcinoma - rectal,"Alimentary tract/Digestive system finding, Mass lesion/swelling finding, Pelvic structure finding"
Benign prostatic hyperplasia (BPH),"Urogenital system finding, Reproductive system finding, Pelvic structure finding"
Carcinoma/carcinoma in situ - prostatic,"Mass lesion/swelling finding, Urogenital system finding, Reproductive system finding, Pelvic structure finding"
Carcinoma/carcinoma in situ - rectal,"Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Pelvic structure finding"
Fracture of pelvis,"Musculoskeletal system finding, Pelvic structure finding"
Fracture of pelvis - acetabulum,"Musculoskeletal system finding, Pelvic structure finding"
Fracture of pelvis - ilium,"Musculoskeletal system finding, Pelvic structure finding"
Fracture of pelvis - ischium,"Musculoskeletal system finding, Pelvic structure finding"
Fracture of pelvis - multiple fractures,"Musculoskeletal system finding, Pelvic structure finding"
Fracture of pelvis - pubis,"Musculoskeletal system finding, Pelvic structure finding"
Fracture of pelvis with sacroiliac luxation/subluxation,"Musculoskeletal system finding, Pelvic structure finding"
Fracture of vertebral column - sacrum,"Musculoskeletal system finding, Spine (vertebral column) finding, Pelvic structure finding"
Hernia - inguinal,"Musculoskeletal system finding, Abdominal finding, Pelvic structure finding"
Joint luxation - sacroiliac,"Musculoskeletal system finding, Spine (vertebral column) finding, Pelvic structure finding"
Joint subluxation - sacroiliac,"Musculoskeletal system finding, Spine (vertebral column) finding, Pelvic structure finding"
Joint instability - sacroiliac,"Musculoskeletal system finding, Spine (vertebral column) finding, Pelvic structure finding"
Mass lesion - rectal,"Alimentary tract/Digestive system finding, Mass lesion/swelling finding, Abdominal finding, Pelvic structure finding"
Mass lesion - vaginal,"Urogenital system finding, Reproductive system finding, Mass lesion/swelling finding, Pelvic structure finding"
Neoplasm - rectal,"Alimentary tract/Digestive system finding, Mass lesion/swelling finding, Abdominal finding, Pelvic structure finding"
Neoplasm - vaginal,"Urogenital system finding, Reproductive system finding, Mass lesion/swelling finding, Pelvic structure finding"
Polyp - rectal,"Alimentary tract/Digestive system finding, Soft tissue finding, Mass lesion/swelling finding, Abdominal finding, Pelvic structure finding"
Proctitis,"Alimentary tract/Digestive system finding, Inflammatory disorder finding, Abdominal finding, Pelvic structure finding"
Spinal stenosis - lumbosacral,"Nervous system finding, Musculoskeletal system finding, Spine (vertebral column) finding, Abdominal finding, Pelvic structure finding"
Spondylosis - lumbosacral,"Musculoskeletal system finding, Spine (vertebral column) finding, Abdominal finding, Pelvic structure finding"
Spondylosis with myelopathy - lumbosacral,"Nervous system finding, Musculoskeletal system finding, Spine (vertebral column) finding, Abdominal finding, Pelvic structure finding"
Vaginal disorder,"Urogenital system finding, Reproductive system finding, Pelvic structure finding"
Vaginal hyperplasia/prolapse,"Urogenital system finding, Reproductive system finding, Pelvic structure finding"
Vaginitis,"Urogenital system finding, Reproductive system finding, Inflammatory disorder finding, Pelvic structure finding"
"Vaginitis, Juvenile","Urogenital system finding, Reproductive system finding, Inflammatory disorder finding, Pelvic structure finding"
Carcinoma - rectal,"Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Pelvic structure finding"
Carcinoma in situ - rectal,"Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Pelvic structure finding"
Carcinoma - prostatic,"Mass lesion/swelling finding, Urogenital system finding, Reproductive system finding, Pelvic structure finding"
Carcinoma in situ - prostatic,"Mass lesion/swelling finding, Urogenital system finding, Reproductive system finding, Pelvic structure finding"
Adenoma - rectum,"Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Pelvic structure finding"
Chondrosarcoma - pelvis,"Musculoskeletal system finding, Connective tissue finding, Mass lesion/swelling finding, Pelvic structure finding"
Mass lesion - bony pelvis,"Musculoskeletal system finding, Mass lesion/swelling finding, Pelvic structure finding"
Neoplasm - bony pelvis,"Musculoskeletal system finding, Mass lesion/swelling finding, Pelvic structure finding"
"Gastrointestinal Stromal Tumour (GIST) - large intestine, rectum","Alimentary tract/Digestive system finding, Connective tissue finding, Mass lesion/swelling finding, Abdominal finding, Pelvic structure finding"
Leiomyoma - rectum,"Musculoskeletal system finding, Alimentary tract/Digestive system finding, Mass lesion/swelling finding, Abdominal finding, Pelvic structure finding"
Leiomyoma - vagina,"Musculoskeletal system finding, Urogenital system finding, Reproductive system finding, Mass lesion/swelling finding, Pelvic structure finding"
Leiomyosarcoma - rectum,"Musculoskeletal system finding, Connective tissue finding, Alimentary tract/Digestive system finding, Mass lesion/swelling finding, Abdominal finding, Pelvic structure finding"
Leiomyosarcoma - vagina,"Musculoskeletal system finding, Connective tissue finding, Urogenital system finding, Reproductive system finding, Mass lesion/swelling finding, Pelvic structure finding"
Lymphoma - rectum,"Alimentary tract/Digestive system finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding, Abdominal finding, Pelvic structure finding"
Osteochondroma - pelvis,"Musculoskeletal system finding, Mass lesion/swelling finding, Pelvic structure finding"
Transitional cell carcinoma - prostate,"Mass lesion/swelling finding, Urogenital system finding, Reproductive system finding, Pelvic structure finding"
Discospondylosis - lumbosacral,"Musculoskeletal system finding, Spine (vertebral column) finding, Abdominal finding, Pelvic structure finding"
Discospondylitis - lumbosacral,"Musculoskeletal system finding, Inflammatory disorder finding, Infectious disorder finding, Spine (vertebral column) finding, Abdominal finding, Pelvic structure finding"
Fracture of pelvis (unspecified),"Musculoskeletal system finding, Pelvic structure finding"
Abscess - perirectal,"Inflammatory disorder finding, Alimentary tract/Digestive system finding, Pelvic structure finding"
Adhesions - cervical,"Urogenital system finding, Reproductive system finding, Soft tissue finding, Pelvic structure finding"
