Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
"Carcinoma/carcinoma in situ - skin (cutaneous), perianal","Mass lesion/swelling finding, Haircoat/skin (+ appendages) finding, Perineal finding"
Hernia - perineal,"Musculoskeletal system finding, Perineal finding"
Mass lesion - perianal,"Perineal finding, Mass lesion/swelling finding"
Neoplasm - perianal,"Perineal finding, Mass lesion/swelling finding"
Neoplasm - perianal gland,"Haircoat/skin (+ appendages) finding, Perineal finding, Mass lesion/swelling finding"
"Carcinoma - skin (cutaneous), perianal","Mass lesion/swelling finding, Haircoat/skin (+ appendages) finding, Perineal finding"
"Carcinoma in situ - skin (cutaneous), perianal","Mass lesion/swelling finding, Haircoat/skin (+ appendages) finding, Perineal finding"
Epithelioma - perianal gland,"Haircoat/skin (+ appendages) finding, Perineal finding, Mass lesion/swelling finding"
Complication of parturition - trauma - perineal laceration,"Reproductive system finding, Traumatic episode finding, Wound finding, Perineal finding"
Mass lesion - perineal,"Perineal finding, Mass lesion/swelling finding"
Neoplasm - perineal,"Perineal finding, Mass lesion/swelling finding"
Perineal laceration (degree unspecified),"Reproductive system finding, Traumatic episode finding, Wound finding, Perineal finding"
Perineal laceration - first degree,"Reproductive system finding, Traumatic episode finding, Wound finding, Perineal finding"
Perineal laceration - second degree,"Reproductive system finding, Traumatic episode finding, Wound finding, Perineal finding"
Perineal laceration - third degree,"Reproductive system finding, Traumatic episode finding, Wound finding, Perineal finding"
