Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Abortion/fetal death - haemorrhage ( other than umbilical),Reproductive
Abortion/fetal death - haemorrhage ( umbilical),Reproductive
Abortion/fetal death - intra-uterine growth retardation,Reproductive
Abortion/fetal death - premature birth,Reproductive
"Abortion/fetal death, congenital malformation (unspecified)",Reproductive
"Abortion/fetal death, infectious - bacterial, Aspergilis",Reproductive
"Abortion/fetal death, infectious - bacterial, Bacillus licheniformis",Reproductive
"Abortion/fetal death, infectious - bacterial, Campylobacter foetus",Reproductive
"Abortion/fetal death, infectious - bacterial, Campylobacter jejuni",Reproductive
"Abortion/fetal death, infectious - bacterial, Chlamydophila abortus ( EAE)",Reproductive
"Abortion/fetal death, infectious - bacterial, Coxiella burnetii",Reproductive
"Abortion/fetal death, infectious - bacterial, E. coli",Reproductive
"Abortion/fetal death, infectious - bacterial, Leptospira hardjo",Reproductive
"Abortion/fetal death, infectious - bacterial, Leptospira pomona",Reproductive
"Abortion/fetal death, infectious - bacterial, Listeriosis",Reproductive
"Abortion/fetal death, infectious - bacterial, Salmonella (unspecified)",Reproductive
"Abortion/fetal death, infectious - bacterial, Salmonella Dublin",Reproductive
"Abortion/fetal death, infectious - bacterial, Salmonella Montevideo",Reproductive
"Abortion/fetal death, infectious - bacterial, Salmonella Typhimurium",Reproductive
"Abortion/fetal death, infectious - bacterial, Staphylococus",Reproductive
"Abortion/fetal death, infectious - bacterial, Streptococcus",Reproductive
"Abortion/fetal death, infectious - bacterial, Trueperella pyogenes",Reproductive
"Abortion/fetal death, infectious - bacterial, Yersinia sp",Reproductive
"Abortion/fetal death, infectious - parasitic, Neospora",Reproductive
"Abortion/fetal death, infectious - parasitic, Toxoplasma gondii",Reproductive
"Abortion/fetal death, infectious - viral, BVD",Reproductive
"Abortion/fetal death, infectious - viral, IBR",Reproductive
"Abortion/fetal death, infectious - viral, Schmallenberg virus infection",Reproductive
Anoxia ( from bradytocia or traumatocia),Reproductive
Anoxia ( from bradytocia),Reproductive
Anoxia (unspecified),Reproductive
Complication of parturition - haemorrhage - vaginal artery,Reproductive
Corkscrew deviation of the penis ( spiral penis),Reproductive
DIAGNOSIS NOT MADE (Diagnosis not listed),"Circulatory, Digestive, Mastitis, Musculo-skeletal, Nervous-Sensory, Reproductive, Respiratory, Skin, Systemic & Misc, Urinary & Umbilical"
Dystocia - bradytocia,Reproductive
Dystocia - Foetal oversize,Reproductive
Dystocia - malpresentation - backwards presentation,Reproductive
Dystocia - malpresentation - breech,Reproductive
Dystocia - malpresentation - congenital abnormaity calf,Reproductive
Dystocia - malpresentation - front leg back x 1,Reproductive
Dystocia - malpresentation - front leg back x 2,Reproductive
Dystocia - malpresentation - head back,Reproductive
Dystocia - malpresentation - twins,Reproductive
Dystocia - malpresentation - upside down,Reproductive
Freemartin,Reproductive
Granular vulvo-vaginitis,Reproductive
Hydrops - unspecified,Reproductive
Infectious pustular vulvovaginitis / Infectious balanoposthitis,Reproductive
Ovarian cyst - follicular,Reproductive
Ovarian cyst - luteal,Reproductive
Persistant corpus luteum,Reproductive
Persistent penile frenulum,Reproductive
Post calving paralysis,Reproductive
Post calving paralysis - Obturator nerve,Reproductive
Post calving paralysis - Peroneal nerve,Reproductive
Post calving paralysis - Sciatic nerve,Reproductive
Post calving paralysis - Tibial nerve,Reproductive
Posthitis,Reproductive
Pregnancy - multiple,Reproductive
Pregnancy - triplets,Reproductive
Prepuce disorder - prolapsed prepuce,Reproductive
Scirrhous cord,Reproductive
Seminal vesiculitis,Reproductive
Sperm abnormality - Coiled principle piece,Reproductive
Sperm abnormality - Dag defect,Reproductive
Sperm abnormality - Detached heads,Reproductive
Sperm abnormality - Distal cytoplasmic defects,Reproductive
Sperm abnormality - Distal midpeice reflex / bent tail,Reproductive
Sperm abnormality - Knobbed acrosome defect,Reproductive
Sperm abnormality - Mitochondrial sheath defects,Reproductive
Sperm abnormality - other,Reproductive
Sperm abnormality - Proximal cytoplasmic droplets,Reproductive
Sperm abnormality - Pyriform / tapered heads,Reproductive
Stillbirth - Iodine Deficiency ( goitre),"Reproductive, Systemic & Misc"
Stillbirth - selenium deficiency,Reproductive
Stillbirth after stage 2 labour,Reproductive
Stillbirth during stage 2 labour,Reproductive
Testicular cyst (s),Reproductive
Vaginal prolapse,Reproductive
Vaginal stenosis,Reproductive
Vaginal tear,Reproductive
Vulval stenosis,Reproductive
Vulval tear,Reproductive
Vulvovaginitis,Reproductive
