Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Calf Diphtheria ( necrotic laryngitis),"Respiratory, Systemic & Misc"
Caudal vena cava thrombosis ( Pulmonary thromboembolism),"Circulatory, Digestive, Respiratory"
DIAGNOSIS NOT MADE (Diagnosis not listed),"Circulatory, Digestive, Mastitis, Musculo-skeletal, Nervous-Sensory, Reproductive, Respiratory, Skin, Systemic & Misc, Urinary & Umbilical"
Drenching ( dosing) gun / bolus injuries,"Respiratory, Systemic & Misc"
Fog fever,Respiratory
Laryngeal chondritis,Respiratory
Maedi Visna ( MV),"Respiratory, Systemic & Misc"
Ovine Pulmonary Adenocarcinoma ( OPA / Jaagsiekte),Respiratory
"Pneumonia - bacterial, Bibersteinia trehalosi",Respiratory
"Pneumonia - bacterial, chronic suppurative",Respiratory
"Pneumonia - bacterial, Histophilus somni",Respiratory
"Pneumonia - bacterial, Mannheimia haemolytica",Respiratory
"Pneumonia - bacterial, Mycoplasma bovis",Respiratory
"Pneumonia - bacterial, Mycoplasma ovipneumoniae ( atypical pneumonia)",Respiratory
"Pneumonia - bacterial, Pasteurella multocida",Respiratory
"Pneumonia - bacterial, Trueperella pyogenes ( formerly Arcanobacterium pyogenes)",Respiratory
"Pneumonia - parasitic, Dictyocaulus filaria",Respiratory
"Pneumonia - parasitic, Dictyocaulus viviparus ( husk)",Respiratory
"Pneumonia - parasitic, Muellerius capillaris",Respiratory
"Pneumonia - viral, Infectious Bovine Rhinotracheitis ( IBR)",Respiratory
"Pneumonia - viral, PI3",Respiratory
"Pneumonia - viral, RSV",Respiratory
"Respiratory tract infection, upper",Respiratory
