Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Abscess - retropharyngeal,"Inflammatory disorder finding, Respiratory system finding, Alimentary tract/Digestive system finding, Head and neck finding"
Acute lung injury (ALI),"Respiratory system finding, Thoracic finding"
Acute respiratory distress syndrome (ARDS),"Respiratory system finding, Thoracic finding"
Adenocarcinoma - pulmonary (lung),"Respiratory system finding, Mass lesion/swelling finding, Thoracic finding"
Adenocarcinoma - tonsillar,"Haematopoietic system finding, Immune system finding, Alimentary tract/Digestive system finding, Respiratory system finding, Head and neck finding"
"Alveolitis, fibrosing","Respiratory system finding, Thoracic finding"
Brachycephalic airway obstruction syndrome (BAOS),"Respiratory system finding, Congenital finding, Head and neck finding"
Bronchiectasis,"Respiratory system finding, Thoracic finding"
Bronchitis,"Respiratory system finding, Inflammatory disorder finding, Thoracic finding"
Bronchitis - acute,"Respiratory system finding, Inflammatory disorder finding, Thoracic finding"
Bronchitis - allergic,"Respiratory system finding, Inflammatory disorder finding, Immune system finding, Thoracic finding"
Bulla of lung,"Respiratory system finding, Thoracic finding"
Canine chronic bronchitis/obstructive airway disease,"Respiratory system finding, Thoracic finding"
Carcinoma/carcinoma in situ - bronchial/bronchiolar,"Mass lesion/swelling finding, Respiratory system finding, Thoracic finding"
Carcinoma/carcinoma in situ - laryngeal,"Mass lesion/swelling finding, Respiratory system finding, Head and neck finding"
Carcinoma/carcinoma in situ - lung (pulmonary) parenchyma,"Mass lesion/swelling finding, Respiratory system finding, Thoracic finding"
Carcinoma/carcinoma in situ - nasal cavity,"Mass lesion/swelling finding, Respiratory system finding, Head and neck finding"
Carcinoma/carcinoma in situ - tonsil,"Mass lesion/swelling finding, Haematopoietic system finding, Immune system finding, Respiratory system finding, Alimentary tract/Digestive system finding, Head and neck finding"
Cardiopulmonary arrest,"Cardiovascular system finding, Respiratory system finding, Complication during visit finding"
Cat flu,"Respiratory system finding, Infectious disorder finding, Head and neck finding"
Chronic airway disease,"Respiratory system finding, Thoracic finding"
Cor pulmonale,"Respiratory system finding, Cardiovascular system finding, Thoracic finding"
Cricopharyngeal achalasia (cricopharyngeal dysphagia),"Alimentary tract/Digestive system finding, Respiratory system finding, Musculoskeletal system finding, Head and neck finding"
Dermoid cyst - nasal (nose),"Respiratory system finding, Mass lesion/swelling finding, Head and neck finding"
Dysphagia - pharyngeal,"Alimentary tract/Digestive system finding, Respiratory system finding, Head and neck finding"
Elongated soft palate,"Alimentary/Digestive system finding, Respiratory system finding, Congenital finding, Head and neck finding"
"Feline asthma (Feline allergic airway disease, FAAD)","Respiratory system finding, Thoracic finding"
Feline calicivirus infection,"Infectious disorder finding, Respiratory system finding, Head and neck finding"
Feline viral respiratory disease complex,"Infectious disorder finding, Respiratory system finding, Head and neck finding"
