Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Abscess - skin,Skin
Actinobacillosis - cutaneous,Skin
Besnoitiosis,Skin
Bovine erythropoietic protoporphyria,Skin
Bovine papular stomatitis ( parapoxvirus),"Digestive, Skin"
Contagious Pustular Dermatitis ( ORF),Skin
Cutaneous granuloma,Skin
DIAGNOSIS NOT MADE (Diagnosis not listed),"Circulatory, Digestive, Mastitis, Musculo-skeletal, Nervous-Sensory, Reproductive, Respiratory, Skin, Systemic & Misc, Urinary & Umbilical"
Ectoparasitic disease - Warble fly ( Hypoderma bovis),Skin
Erysipelas,"Skin, Systemic & Misc"
Fleece rot,Skin
Hypersensitivity (allergic) skin disorder - insect bite hypersensitivity,Skin
Hypotrichosis,Skin
Oestrus ovis ( nasal bot fly),Skin
Parafilariasis,Skin
Parasite infestation - Psoroptic mange - Psoroptes ovis ( sheep scab),Skin
Pseudo lumpy skin disease ( bovine herpesvirus 2),Skin
Pseudocowpox infection ( parapoxvirus),Skin
Scrapie,"Nervous / sensory, Skin"
Tubercolosis - cutaneous,Skin
