Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Calcinosis circumscripta,"Endocrine/Metabolic finding, Haircoat/skin (+ appendages) finding, Soft tissue finding"
Cellulitis,"Haircoat/skin (+ appendages) finding, Soft tissue finding, Inflammatory disorder finding"
Cheilitis (inflammation of lips),"Alimentary tract/Digestive system finding, Soft tissue finding, Inflammatory disorder finding, Head and neck finding"
"Conjunctivitis, infectious","Ophthalmology/vision finding, Soft tissue finding, Inflammatory disorder finding, Infectious disorder finding, Head and neck finding"
"Conjunctivitis, infectious - presumed Feline herpes virus","Ophthalmology/vision finding, Soft tissue finding, Inflammatory disorder finding, Infectious disorder finding, Head and neck finding"
"Conjunctivitis, non-infectious","Ophthalmology/vision finding, Soft tissue finding, Inflammatory disorder finding, Head and neck finding"
Epulis,"Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Soft tissue finding, Head and neck finding"
Epulis - acanthomatous epulis,"Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Soft tissue finding, Head and neck finding"
Epulis - periodontal fibromatous epulis,"Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Soft tissue finding, Head and neck finding"
Epulis - ossifying epulis,"Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Soft tissue finding, Head and neck finding"
Foreign body - third eyelid/nictitating membrane,"Foreign body finding, Ophthalmology/vision finding, Soft tissue finding, Head and neck finding"
Haemangiopericytoma - cutaneous (skin),"Soft tissue finding, Cardiovascular system finding, Mass lesion/swelling finding"
Juvenile cellulitis/pyoderma,"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding, Immune system finding, Infectious disorder finding, Soft tissue finding"
"Keratoconjunctivitis sicca (KCS, Dry Eye)","Ophthalmology/vision finding, Inflammatory disorder finding, Immune system finding, Soft tissue finding, Head and neck finding"
Lipoma,"Soft tissue finding, Mass lesion/swelling finding"
Liposarcoma,"Soft tissue finding, Mass lesion/swelling finding"
Mass lesion - conjunctival,"Ophthalmology/vision finding, Soft tissue finding, Mass lesion/swelling finding, Head and neck finding"
"Mass lesion - facial, lip","Alimentary tract/Digestive system finding, Soft tissue finding, Mass lesion/swelling finding, Head and neck finding"
Mass lesion - subcutaneous tissue,"Soft tissue finding, Mass lesion/swelling finding"
Mass lesion - third eyelid/nictitating membrane,"Ophthalmology/vision finding, Soft tissue finding, Mass lesion/swelling finding, Head and neck finding"
Mass lesion - tongue (lingual),"Alimentary tract/Digestive system finding, Soft tissue finding, Mass lesion/swelling finding, Head and neck finding"
Necrotising fasciitis,"Infectious disorder finding, Inflammatory disorder finding, Soft tissue finding"
Neoplasm - conjunctival,"Ophthalmology/vision finding, Soft tissue finding, Mass lesion/swelling finding, Head and neck finding"
"Neoplasm - facial, lip","Alimentary tract/Digestive system finding, Soft tissue finding, Mass lesion/swelling finding, Head and neck finding"
Neoplasm - third eyelid/nictitating membrane,"Ophthalmology/vision finding, Soft tissue finding, Mass lesion/swelling finding, Head and neck finding"
Neoplasm - tongue (lingual),"Alimentary tract/Digestive system finding, Soft tissue finding, Mass lesion/swelling finding, Head and neck finding"
Orbital cellulitis,"Ophthalmology/vision finding, Soft tissue finding, Haircoat/skin (+ appendages) finding, Musculoskeletal system finding, Inflammatory disorder finding, Head and neck finding"
