Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Discospondylitis,"Musculoskeletal system finding, Infectious disorder finding, Inflammatory disorder finding, Spine (vertebral column) finding"
Fracture of vertebral column,"Musculoskeletal system finding, Spine (vertebral column) finding"
Fracture of vertebral column - cervical,"Musculoskeletal system finding, Spine (vertebral column) finding, Head and neck finding"
Fracture of vertebral column - first cervical vertebra (C1),"Musculoskeletal system finding, Spine (vertebral column) finding, Head and neck finding"
Fracture of vertebral column - second cervical vertebra (C2),"Musculoskeletal system finding, Spine (vertebral column) finding, Head and neck finding"
Fracture of vertebral column - lumbar,"Musculoskeletal system finding, Spine (vertebral column) finding, Abdominal finding"
Fracture of vertebral column - thoracic,"Musculoskeletal system finding, Spine (vertebral column) finding, Thoracic finding"
Fracture of vertebral column - sacrum,"Musculoskeletal system finding, Spine (vertebral column) finding, Pelvic structure finding"
Fracture of vertebral column - coccygeal,"Musculoskeletal system finding, Spine (vertebral column) finding, Tail finding"
Intervertebral discitis,"Musculoskeletal system finding, Inflammatory disorder finding, Spine (vertebral column) finding"
Intervertebral discitis - infective,"Musculoskeletal system finding, Inflammatory disorder finding, Infective disorder finding, Spine (vertebral column) finding"
Intervertebral disc degeneration,"Musculoskeletal system finding, Degenerative disorder finding, Spine (vertebral column) finding"
Intervertebral disc disorder,"Musculoskeletal system finding, Spine (vertebral column) finding"
Intervertebral disc extrusion/herniation/prolapse,"Musculoskeletal system finding, Spine (vertebral column) finding"
Intervertebral disc extrusion/herniation/prolapse - cervical,"Musculoskeletal system finding, Spine (vertebral column) finding, Head and neck finding"
Intervertebral disc extrusion/herniation/prolapse - lumbar,"Musculoskeletal system finding, Spine (vertebral column) finding, Abdominal finding"
Intervertebral disc extrusion/herniation/prolapse - Schmorl's node,"Musculoskeletal system finding, Spine (vertebral column) finding"
Intervertebral disc extrusion/herniation/prolapse - thoracic,"Musculoskeletal system finding, Spine (vertebral column) finding, Thoracic finding"
Intervertebral disc rupture,"Musculoskeletal system finding, Spine (vertebral column) finding"
Joint luxation - sacroiliac,"Musculoskeletal system finding, Spine (vertebral column) finding, Pelvic structure finding"
Joint luxation - vertebral,"Musculoskeletal system finding, Spine (vertebral column) finding"
"Joint luxation - vertebral, sacrococcygeal","Musculoskeletal system finding, Spine (vertebral column) finding, Tail finding"
Joint subluxation - sacroiliac,"Musculoskeletal system finding, Spine (vertebral column) finding, Pelvic structure finding"
Joint subluxation - vertebral,"Musculoskeletal system finding, Spine (vertebral column) finding"
"Joint subluxation, vertebral - Atlantoaxial subluxation","Musculoskeletal system finding, Spine (vertebral column) finding, Head and neck finding"
"Joint subluxation, vertebral - Atlanto-occipital subluxation","Musculoskeletal system finding, Spine (vertebral column) finding, Head and neck finding"
Joint instability - sacroiliac,"Musculoskeletal system finding, Spine (vertebral column) finding, Pelvic structure finding"
"Myelopathy, Spondylotic cervical","Nervous system finding, Musculoskeletal system finding, Spine (vertebral column) finding, Head and neck finding"
Osteomyelitis - vertebral column,"Haematopoietic system finding, Inflammatory disorder finding, Musculoskeletal system finding, Spine (vertebral column) finding"
"Spinal (vertebral column) anomaly, congenital","Musculoskeletal system finding, Congenital finding, Spine (vertebral column) finding"
"Spinal (vertebral column) anomaly, congenital - cervical malformation/malarticulation","Musculoskeletal system finding, Congenital finding, Spine (vertebral column) finding, Head and neck finding"
Spinal (vertebral column) disorder,"Musculoskeletal system finding, Spine (vertebral column) finding"
Spinal stenosis,"Nervous system finding, Musculoskeletal system finding, Spine (vertebral column) finding"
Spinal stenosis - lumbar,"Nervous system finding, Musculoskeletal system finding, Spine (vertebral column) finding, Abdominal finding"
Spinal stenosis - lumbosacral,"Nervous system finding, Musculoskeletal system finding, Spine (vertebral column) finding, Abdominal finding, Pelvic structure finding"
