Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Acetonaemia ( ketosis),Systemic & Misc
Border disease virus ( BDV),"Nervous / Sensory, Systemic & Misc"
Bovine Viral Diarrhoea ( BVD),"Digestive, Systemic & Misc"
Calf Diphtheria ( necrotic laryngitis),"Respiratory, Systemic & Misc"
Caprine Arthritis Encephalitis ( CAE),Systemic & Misc
Caseous Lymphadenitis (Corynebacterium pseudotuberculosis),Systemic & Misc
Clostridial disease - Clostridium chauvoei ( blackleg),Systemic & Misc
Clostridial disease - Clostridium haemolyticum (Bacillary haemaglobunuria),"Systemic & Misc, Urinary & Umbilical"
Clostridial disease - Clostridium novyi ( black disease),Systemic & Misc
Clostridial disease - Clostridium septicum,Systemic & Misc
Cobalt deficiency (pine),Systemic & Misc
Cow colostrum anaemia,Systemic & Misc
Cysticercosis,"Digestive, Systemic & Misc"
Dandy-Walker malformation,Systemic & Misc
DIAGNOSIS NOT MADE (Diagnosis not listed),"Circulatory, Digestive, Mastitis, Musculo-skeletal, Nervous-Sensory, Reproductive, Respiratory, Skin, Systemic & Misc, Urinary & Umbilical"
Drenching ( dosing) gun / bolus injuries,"Respiratory, Systemic & Misc"
Erysipelas,"Skin, Systemic & Misc"
Fusobacterium necrophorum infection,Systemic & Misc
Intoxication (poisoning) - organophosphate (OP),Systemic & Misc
"Intoxication (poisoning), heavy metal - copper",Systemic & Misc
"Intoxication (poisoning), plant – oak/ acorn",Systemic & Misc
"Intoxication (poisoning), plant – pieris",Systemic & Misc
"Intoxication (poisoning), plant – rhododendron",Systemic & Misc
"Intoxication (poisoning), plant – yew",Systemic & Misc
Lightening strike,Systemic & Misc
Maedi Visna ( MV),"Respiratory, Systemic & Misc"
Malignant catarrhal fever ( MCF),Systemic & Misc
Mycoplasma wenyonii infection,Systemic & Misc
Neonatal hypothermia / starvation,Systemic & Misc
Pruritus Pyrexia Haemorrhage Syndrome (PPH),Systemic & Misc
Salmonellosis - Salmonella Dublin,"Digestive, Systemic & Misc"
Salmonellosis - Salmonella Typhimurium,"Digestive, Systemic & Misc"
Schmallenberg virus ( SBV) disease,"Digestive, Systemic & Misc"
Septicaemia - Bibersteinia trehalosi,Systemic & Misc
Sporadic bovine leukosis - multicentric,Systemic & Misc
Sporadic bovine leukosis - skin,Systemic & Misc
Sporadic bovine leukosis - thymic,Systemic & Misc
Stillbirth - Iodine Deficiency ( goitre),"Reproductive, Systemic & Misc"
Tick born fever - Anaplasma phagocytophilum,"Circulatory, Systemic & Misc"
Tick pyaemia,Systemic & Misc
Tuberculosis ( TB),Systemic & Misc
Yersiniosis,Systemic & Misc
