Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Fracture of vertebral column - coccygeal,"Musculoskeletal system finding, Spine (vertebral column) finding, Tail finding"
"Joint luxation - vertebral, sacrococcygeal","Musculoskeletal system finding, Spine (vertebral column) finding, Tail finding"
Tail gland hyperplasia,"Haircoat/skin (+ appendages) finding, Tail finding"
Tail injury,"Tail finding, Traumatic episode finding"
Tail pull injury,"Tail finding, Traumatic episode finding"
Intertrigo - tail fold,"Haircoat/skin (+ appendages) finding, Infectious disorder finding, Inflammatory disorder finding, Tail finding"
Tail conformation abnormal,Tail finding
Tail conformation abnormal - corkscrew tail,Tail finding
Skin fold dermatitis (intertrigo) - tail fold,"Haircoat/skin (+ appendages) finding, Infectious disorder finding, Inflammatory disorder finding, Tail finding"
Mass lesion - tail,"Mass lesion/swelling finding, Tail finding"
"Melanocytic neoplasm - benign melanoma, tail","Mass lesion/swelling finding, Tail finding"
"Melanocytic neoplasm - malignant melanoma, tail","Mass lesion/swelling finding, Tail finding"
Neoplasm - tail,"Mass lesion/swelling finding, Tail finding"
