Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Acute lung injury (ALI),"Respiratory system finding, Thoracic finding"
Acute respiratory distress syndrome (ARDS),"Respiratory system finding, Thoracic finding"
Adenocarcinoma - pulmonary (lung),"Respiratory system finding, Mass lesion/swelling finding, Thoracic finding"
"Alveolitis, fibrosing","Respiratory system finding, Thoracic finding"
Aortic valve regurgitation/insufficiency,"Cardiovascular system finding, Thoracic finding"
Aortic valve stenosis,"Cardiovascular system finding, Thoracic finding"
Bronchiectasis,"Respiratory system finding, Thoracic finding"
Bronchitis,"Respiratory system finding, Inflammatory disorder finding, Thoracic finding"
Bronchitis - acute,"Respiratory system finding, Inflammatory disorder finding, Thoracic finding"
Bronchitis - allergic,"Respiratory system finding, Inflammatory disorder finding, Immune system finding, Thoracic finding"
Bulla of lung,"Respiratory system finding, Thoracic finding"
Canine chronic bronchitis/obstructive airway disease,"Respiratory system finding, Thoracic finding"
Carcinoma/carcinoma in situ - bronchial/bronchiolar,"Mass lesion/swelling finding, Respiratory system finding, Thoracic finding"
Carcinoma/carcinoma in situ - lung (pulmonary) parenchyma,"Mass lesion/swelling finding, Respiratory system finding, Thoracic finding"
Cardiac conduction disorder,"Cardiovascular system finding, Thoracic finding"
Cardiac conduction disorder - atrial fibrillation,"Cardiovascular system finding, Thoracic finding"
Cardiac tamponade,"Cardiovascular system finding, Thoracic finding"
Cardiomegaly,"Cardiovascular system finding, Thoracic finding"
Cardiomyopathy - Canine dilated cardiomyopathy,"Cardiovascular system finding, Musculoskeletal system finding, Thoracic finding"
Cardiomyopathy - Canine hypertrophic cardiomyopathy,"Cardiovascular system finding, Musculoskeletal system finding, Thoracic finding"
Cardiomyopathy - Feline dilated cardiomyopathy,"Cardiovascular system finding, Musculoskeletal system finding, Thoracic finding"
Cardiomyopathy - Feline hypertrophic cardiomyopathy,"Cardiovascular system finding, Musculoskeletal system finding, Thoracic finding"
Cardiomyopathy - Feline restrictive cardiomyopathy,"Cardiovascular system finding, Musculoskeletal system finding, Thoracic finding"
Cardiomyopathy - Feline unclassified cardiomyopathy,"Cardiovascular system finding, Musculoskeletal system finding, Thoracic finding"
Cardiomyopathy - unclassified or class undetermined,"Cardiovascular system finding, Musculoskeletal system finding, Thoracic finding"
"Cardiomyopathy, primary","Cardiovascular system finding, Musculoskeletal system finding, Thoracic finding"
"Cardiomyopathy, secondary","Cardiovascular system finding, Musculoskeletal system finding, Thoracic finding"
"Cardiomyopathy, secondary - hypertensive","Cardiovascular system finding, Musculoskeletal system finding, Thoracic finding"
"Cardiomyopathy, secondary - taurine-deficiency","Cardiovascular system finding, Musculoskeletal system finding, Nutritional finding, Thoracic finding"
"Cardiomyopathy, secondary - thyrotoxic","Cardiovascular system finding, Musculoskeletal system finding, Endocrine/metabolic finding, Thoracic finding, Head and neck finding"
Chordae tendinae abnormality - mitral,"Cardiovascular system finding, Thoracic finding"
Chordae tendinae abnormality - tricuspid,"Cardiovascular system finding, Thoracic finding"
Chordae tendinae rupture,"Cardiovascular system finding, Thoracic finding"
Chronic airway disease,"Respiratory system finding, Thoracic finding"
Chylothorax,"Effusion finding, Thoracic finding"
"Chylothorax, malignant","Effusion finding, Thoracic finding"
Cor pulmonale,"Respiratory system finding, Cardiovascular system finding, Thoracic finding"
Coronary artery abnormality,"Cardiovascular system finding, Thoracic finding"
Dermatitis - thymoma-associated exfoliative dermatitis,"Haircoat/skin (+ appendages) finding, Inflammatory disorder finding, Immune system finding, Endocrine/metabolic finding, Thoracic finding"
Diaphragmatic rupture,"Musculoskeletal system finding, Thoracic finding, Abdominal finding"
Diaphragmatic rupture - traumatic,"Musculoskeletal system finding, Traumatic episode finding, Thoracic finding, Abdominal finding"
Empyema - pyothorax,"Inflammatory disorder finding, Effusion finding, Thoracic finding"
Endocardiosis,"Cardiovascular system finding, Thoracic finding"
Endocarditis,"Cardiovascular system finding, Inflammatory disorder finding, Thoracic finding"
Endocarditis - bacterial,"Cardiovascular system finding, Inflammatory disorder finding, Infectious disorder finding, Thoracic finding"
"Feline asthma (Feline allergic airway disease, FAAD)","Respiratory system finding, Thoracic finding"
Flail chest,"Musculoskeletal system finding, Traumatic episode finding, Thoracic finding"
Foreign body - bronchial,"Foreign body finding, Respiratory system finding, Thoracic finding"
Foreign body - pulmonary (lung),"Foreign body finding, Respiratory system finding, Thoracic finding"
Fracture of rib(s),"Musculoskeletal system finding, Thoracic finding"
Fracture of sternum,"Musculoskeletal system finding, Thoracic finding"
Fracture of vertebral column - thoracic,"Musculoskeletal system finding, Spine (vertebral column) finding, Thoracic finding"
Haemopericardium,"Cardiovascular system finding, Effusion finding, Thoracic finding"
Haemothorax,"Cardiovascular system finding, Effusion finding, Thoracic finding"
Heart (cardiac) anomaly,"Cardiovascular system finding, Thoracic finding"
"Heart (cardiac) anomaly, congenital","Cardiovascular system finding, Congenital finding, Thoracic finding"
"Heart (cardiac) anomaly, congenital - Atrial septal defect (ASD)","Cardiovascular system finding, Congenital finding, Thoracic finding"
"Heart (cardiac) anomaly, congenital - Atrioventricular septal defect (AVSD)","Cardiovascular system finding, Congenital finding, Thoracic finding"
"Heart (cardiac) anomaly, congenital - Cor triatriatum dexter","Cardiovascular system finding, Congenital finding, Thoracic finding"
"Heart (cardiac) anomaly, congenital - Cor triatriatum sinister","Cardiovascular system finding, Congenital finding, Thoracic finding"
"Heart (cardiac) anomaly, congenital - Double-chambered right ventricle","Cardiovascular system finding, Congenital finding, Thoracic finding"
"Heart (cardiac) anomaly, congenital - Double outlet right ventricle","Cardiovascular system finding, Congenital finding, Thoracic finding"
"Heart (cardiac) anomaly, congenital - Tetralogy of Fallot","Cardiovascular system finding, Congenital finding, Thoracic finding"
"Heart (cardiac) anomaly, congenital - Ventricular septal defect (VSD)","Cardiovascular system finding, Congenital finding, Thoracic finding"
Heart (cardiac) disease,"Cardiovascular system finding, Thoracic finding"
"Heart (cardiac) disease, congenital","Cardiovascular system finding, Congenital finding, Thoracic finding"
Heart (cardiac) failure,"Cardiovascular system finding, Thoracic finding"
Heart (cardiac) failure - acute left-sided,"Cardiovascular system finding, Thoracic finding"
Heart (cardiac) failure - acute right-sided,"Cardiovascular system finding, Thoracic finding"
"Heart (cardiac) failure, congestive","Cardiovascular system finding, Thoracic finding"
"Heart (cardiac) failure, congestive, left-sided - acute","Cardiovascular system finding, Thoracic finding"
"Heart (cardiac) failure, congestive, left-sided - chronic","Cardiovascular system finding, Thoracic finding"
"Heart (cardiac) failure, congestive, right-sided - acute","Cardiovascular system finding, Thoracic finding"
