Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Abdominal wall rupture,"Abdominal finding, Traumatic episode finding"
Abscess - Cat bite abscess (CBA),"Inflammatory disorder finding, Wound finding, Traumatic episode finding"
Bite injury,"Wound finding, Traumatic episode finding"
Bite injury - cat bite,"Wound finding, Traumatic episode finding"
Bite injury - dog bite,"Wound finding, Traumatic episode finding"
Brachial plexus injury/avulsion,"Nervous system finding, Limb finding, Traumatic episode finding"
Brain injury - traumatic (TBI),"Nervous system finding, Traumatic episode finding, Head and neck finding"
Burn injury,"Traumatic episode finding, Wound finding"
Chemical injury to skin (cutaneous),"Haircoat/skin (+ appendages) finding, Traumatic episode finding"
Claw injury (traumatic),"Haircoat/skin (+ appendages) finding, Traumatic episode finding, Limb finding"
Corneal laceration,"Ophthalmology/vision finding, Wound finding, Traumatic episode finding, Head and neck finding"
Dental (tooth) structure injury,"Alimentary tract/Digestive system finding, Traumatic episode finding, Head and neck finding"
Diaphragmatic rupture - traumatic,"Musculoskeletal system finding, Traumatic episode finding, Thoracic finding, Abdominal finding"
Eyelid laceration,"Ophthalmology/vision finding, Wound finding, Traumatic episode finding, Head and neck finding"
Flail chest,"Musculoskeletal system finding, Traumatic episode finding, Thoracic finding"
Haematuria - traumatic,"Urogenital system finding, Cardiovascular system finding, Traumatic episode finding"
Haemoperitoneum (haemoabdomen) - traumatic,"Cardiovascular system finding, Effusion finding, Traumatic episode finding, Abdominal finding"
Hydrocephalus - post-traumatic,"Nervous system finding, Traumatic episode finding, Head and neck finding"
"Hymenoptera stings (bee, wasp)","Intoxication (poisoning)/toxin exposure finding, Wound finding, Traumatic episode finding, Infectious disorder finding"
Insect bite(s),"Wound finding, Traumatic episode finding, Infectious disorder finding"
Keratitis - traumatic,"Ophthalmology/vision finding, Inflammatory disorder finding, Traumatic episode finding, Head and neck finding"
Lens injury,"Ophthalmology/vision finding, Traumatic episode finding, Head and neck finding"
Muscle rupture,"Musculoskeletal system finding, Traumatic episode finding"
Nasolacrimal duct abnormality - trauma,"Ophthalmology/vision finding, Traumatic episode finding, Head and neck finding"
Neuropraxia,"Nervous system finding, Traumatic episode finding"
Oesophageal injury,"Alimentary tract/Digestive system finding, Traumatic episode finding"
Orbital trauma,"Ophthalmology/vision finding, Musculoskeletal system finding, Traumatic episode finding, Head and neck finding"
Pericardial effusion - traumatic,"Cardiovascular system finding, Traumatic episode finding, Thoracic finding"
Pharyngeal injury,"Respiratory system finding, Alimentary tract/Digestive system finding, Traumatic episode finding, Head and neck finding"
Pneumothorax - traumatic,"Traumatic episode finding, Thoracic finding"
Pulmonary contusion,"Respiratory system finding, Traumatic episode finding, Thoracic finding"
Smoke inhalation,"Respiratory system finding, Traumatic episode finding"
Snake bite,"Wound finding, Traumatic episode finding, Intoxication (poisoning)/toxin exposure finding"
Spinal cord injury,"Nervous system finding, Traumatic episode finding"
Splenic rupture - traumatic,"Haematopoietic system finding, Traumatic episode finding, Abdominal finding"
Stick injury,"Wound finding, Traumatic episode finding"
Tail injury,"Tail finding, Traumatic episode finding"
Tail pull injury,"Tail finding, Traumatic episode finding"
Tendon injury,"Musculoskeletal system finding, Connective tissue finding, Traumatic episode finding"
Tendon laceration,"Musculoskeletal system finding, Connective tissue finding, Wound finding, Traumatic episode finding"
Thermal injury to skin (cutaneous),"Haircoat/skin (+ appendages) finding, Traumatic episode finding"
Third eyelid/nictitating membrane disorder - laceration,"Ophthalmology/vision finding, Soft tissue finding, Wound finding, Traumatic episode finding, Head and neck finding"
Tongue (lingual) injury,"Alimentary tract/Digestive system finding, Soft tissue finding, Traumatic episode finding, Head and neck finding"
Tracheal avulsion,"Respiratory system finding, Traumatic episode finding, Head and neck finding"
Tracheal perforation,"Respiratory system finding, Traumatic episode finding, Head and neck finding"
Tracheal perforation - iatrogenic,"Respiratory system finding, Traumatic episode finding, Head and neck finding"
Tracheal rupture,"Respiratory system finding, Traumatic episode finding, Head and neck finding"
Traumatic injury,Traumatic episode finding
Uveitis - traumatic,"Ophthalmology/vision finding, Inflammatory disorder finding, Traumatic episode finding, Head and neck finding"
Wound - abrasion,"Wound finding, Traumatic episode finding"
Wound - degloving injury,"Wound finding, Traumatic episode finding"
Wound - laceration,"Wound finding, Traumatic episode finding"
Wound - penetrating injury,"Wound finding, Traumatic episode finding"
Wound - puncture,"Wound finding, Traumatic episode finding"
Wound - shear injury,"Wound finding, Traumatic episode finding"
Scleral injury,"Ophthalmology/vision finding, Traumatic episode finding, Head and neck finding"
Muscle strain,"Musculoskeletal system finding, Traumatic episode finding"
Muscle injury,"Musculoskeletal system finding, Traumatic episode finding"
Abscess - dog bite abscess,"Inflammatory disorder finding, Wound finding, Traumatic episode finding"
Traumatic ear canal avulsion,"Auditory system finding, Traumatic episode finding, Head and neck finding"
Traumatic injury (unspecified),Traumatic episode finding
Traumatic injury - road traffic/motor vehicle accident (RTA/MVA),Traumatic episode finding
Chemical injury (site unspecified),Traumatic episode finding
Chemical injury to eye (ocular),"Ophthalmology/vision finding, Head and neck finding, Traumatic episode finding"
Corneal abrasion,"Ophthalmology/vision finding, Wound finding, Traumatic episode finding, Head and neck finding"
Salivary gland traumatic injury,"Alimentary tract/Digestive system finding, Traumatic episode finding, Head and neck finding"
Spinal (vertebral column) injury,"Musculoskeletal system finding, Traumatic episode finding, Spine (vertebral column) finding"
