Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Abscess - prostatic,"Inflammatory disorder finding, Urogenital system finding, Reproductive system finding, Pelvic structure finding"
Abscess - testicular,"Inflammatory disorder finding, Reproductive system finding, Urogenital system finding"
Adenocarcinoma - prostatic,"Urogenital system finding, Reproductive system finding, Mass lesion/swelling finding, Pelvic structure finding"
Adenocarcinoma - renal (kidney),"Urogenital system finding, Mass lesion/swelling finding, Abdominal finding"
Amyloidosis - renal (kidney),"Urogenital system finding, Endocrine/metabolic finding, Abdominal finding"
Anaemia of chronic renal (kidney) failure,"Haematopoietic system finding, Urogenital system finding, Abdominal finding"
Balanitis (glans penis inflammation),"Reproductive system finding, Urogenital system finding, Inflammatory disorder finding"
Benign prostatic hyperplasia (BPH),"Urogenital system finding, Reproductive system finding, Pelvic structure finding"
Carcinoma/carcinoma in situ - prostatic,"Mass lesion/swelling finding, Urogenital system finding, Reproductive system finding, Pelvic structure finding"
Carcinoma/carcinoma in situ - renal (kidney),"Mass lesion/swelling finding, Urogenital system finding, Abdominal finding"
Carcinoma/carcinoma in situ - urethral,"Mass lesion/swelling finding, Urogenital system finding"
Carcinoma/carcinoma in situ - urinary bladder,"Mass lesion/swelling finding, Urogenital system finding, Abdominal finding"
Cryptorchidism - bilateral,"Urogenital system finding, Reproductive system finding, Congenital disorder finding"
Cryptorchidism - unilateral,"Urogenital system finding, Reproductive system finding, Congenital disorder finding"
Cystitis,"Urogenital system finding, Inflammatory disorder finding, Abdominal finding"
Cystitis - bacterial,"Urogenital system finding, Inflammatory disorder finding, Infectious disorder finding, Abdominal finding"
Cystitis - chronic,"Urogenital system finding, Inflammatory disorder finding, Abdominal finding"
Cystitis - polypoid,"Urogenital system finding, Inflammatory disorder finding, Abdominal finding"
Diabetes insipidus - nephrogenic,"Endocrine/Metabolic finding, Urogenital system finding, Abdominal finding"
Familial nephropathy,"Urogenital system finding, Inflammatory disorder finding, Hereditary disorder finding, Abdominal finding"
Fanconi's syndrome,"Urogenital system finding, Hereditary disorder finding, Abdominal finding"
Feline idiopathic cystitis,"Urogenital system finding, Inflammatory disorder finding, Abdominal finding"
Feline lower urinary tract disease (FLUTD),Urogenital system finding
Feline urological syndrome (FUS),Urogenital system finding
Glomerular disease,"Urogenital system finding, Abdominal finding"
Glomerulonephritis,"Urogenital system finding, Inflammatory disorder finding, Abdominal finding"
Haematuria,"Urogenital system finding, Cardiovascular system finding"
Haematuria - non-traumatic,"Urogenital system finding, Cardiovascular system finding"
Haematuria - traumatic,"Urogenital system finding, Cardiovascular system finding, Traumatic episode finding"
Hermaphroditism,"Urogenital system finding, Reproductive system finding"
Hydronephrosis,"Urogenital system finding, Abdominal finding"
Hydroureter,"Urogenital system finding, Abdominal finding"
Hyperandrogenism,"Endocrine/Metabolic finding, Urogenital system finding, Reproductive system finding"
Hypercalcaemic nephropathy,"Endocrine/Metabolic finding, Urogenital system finding, Abdominal finding"
Hyperoestrogenism,"Endocrine/Metabolic finding, Urogenital system finding, Reproductive system finding"
"Hyperparathyroidism, secondary - renal","Endocrine/Metabolic finding, Urogenital system finding, Head and neck finding, Abdominal finding"
Hypertension secondary to renal (kidney) disease,"Cardiovascular system finding, Urogenital system finding, Abdominal finding"
Intersexuality,"Urogenital system finding, Reproductive system finding"
Lymphoma - renal (kidney),"Urogenital system finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding, Abdominal finding"
Mass lesion - ovarian,"Urogenital system finding, Reproductive system finding, Mass lesion/swelling finding, Abdominal finding"
Mass lesion - penile,"Urogenital system finding, Reproductive system finding, Mass lesion/swelling finding"
Mass lesion - prostatic,"Urogenital system finding, Reproductive system finding, Mass lesion/swelling finding, Abdominal finding"
Mass lesion - renal (kidney),"Urogenital system finding, Mass lesion/swelling finding, Abdominal finding"
Mass lesion - scrotal,"Urogenital system finding, Reproductive system finding, Mass lesion/swelling finding"
Mass lesion - testicular,"Urogenital system finding, Reproductive system finding, Mass lesion/swelling finding"
Mass lesion - urethral,"Urogenital system finding, Mass lesion/swelling finding"
Mass lesion - urinary bladder,"Urogenital system finding, Mass lesion/swelling finding, Abdominal finding"
Mass lesion - vaginal,"Urogenital system finding, Reproductive system finding, Mass lesion/swelling finding, Pelvic structure finding"
Mass lesion - vulval,"Urogenital system finding, Reproductive system finding, Mass lesion/swelling finding"
Neoplasm - ovarian,"Urogenital system finding, Reproductive system finding, Mass lesion/swelling finding, Abdominal finding"
Neoplasm - penile,"Urogenital system finding, Reproductive system finding, Mass lesion/swelling finding"
Neoplasm - prostatic,"Urogenital system finding, Reproductive system finding, Mass lesion/swelling finding, Abdominal finding"
Neoplasm - renal (kidney),"Urogenital system finding, Mass lesion/swelling finding, Abdominal finding"
Neoplasm - scrotal,"Urogenital system finding, Reproductive system finding, Mass lesion/swelling finding"
Neoplasm - testicular,"Urogenital system finding, Reproductive system finding, Mass lesion/swelling finding"
Neoplasm - urethral,"Urogenital system finding, Mass lesion/swelling finding"
Neoplasm - urinary bladder,"Urogenital system finding, Mass lesion/swelling finding, Abdominal finding"
Neoplasm - vaginal,"Urogenital system finding, Reproductive system finding, Mass lesion/swelling finding, Pelvic structure finding"
Neoplasm - vulval,"Urogenital system finding, Reproductive system finding, Mass lesion/swelling finding"
Nephritis,"Urogenital system finding, Inflammatory disorder finding, Abdominal finding"
Nephrocalcinosis,"Urogenital system finding, Endocrine/metabolic finding, Abdominal finding"
Nephropathy (renal/kidney disorder),"Urogenital system finding, Abdominal finding"
Nephrotic syndrome,"Urogenital system finding, Abdominal finding"
Orchitis,"Urogenital system finding, Reproductive system finding, Inflammatory disorder finding"
Ovarian cyst,"Urogenital system finding, Reproductive system finding, Mass lesion/swelling finding, Abdominal finding"
Ovarian disorder,"Urogenital system finding, Reproductive system finding, Abdominal finding"
Ovarian remnant syndrome (residual ovary syndrome),"Urogenital system finding, Reproductive system finding, Abdominal finding"
Paraphimosis,"Urogenital system finding, Reproductive system finding"
Paraprostatic cyst,"Urogenital system finding, Reproductive system finding, Mass lesion/swelling finding, Abdominal finding"
Penile disorder,"Urogenital system finding, Reproductive system finding"
"Peritonitis, chemical - urinary (uroperitoneum)","Urogenital system finding, Inflammatory disorder finding, Abdominal finding"
Polycystic ovary(ies),"Urogenital system finding, Reproductive system finding, Mass lesion/swelling finding, Abdominal finding"
Polyp - urethral,"Urogenital system finding, Soft tissue finding, Mass lesion/swelling finding"
Polyp - urinary bladder,"Urogenital system finding, Soft tissue finding, Mass lesion/swelling finding, Abdominal finding"
Prostatic cyst,"Urogenital system finding, Reproductive system finding, Mass lesion/swelling finding, Abdominal finding"
Prostatic disorder,"Urogenital system finding, Reproductive system finding, Abdominal finding"
Prostatitis,"Urogenital system finding, Reproductive system finding, Inflammatory disorder finding, Abdominal finding"
Prostatomegaly,"Urogenital system finding, Reproductive system finding, Abdominal finding"
Protein-losing nephropathy (PLN),"Urogenital system finding, Abdominal finding"
Psychogenic dysuria,"Urogenital system finding, Nervous system finding, Head and neck finding"
Pyelectasia,"Urogenital system finding, Abdominal finding"
Pyelonephritis,"Urogenital system finding, Inflammatory disorder finding, Abdominal finding"
"Renal (kidney) anomaly, congenital","Urogenital system finding, Congenital finding, Abdominal finding"
"Renal (kidney) anomaly, congenital - agenesis/dysgenesis","Urogenital system finding, Congenital finding, Abdominal finding"
"Renal (kidney) anomaly, congenital - atrophy","Urogenital system finding, Congenital finding, Abdominal finding"
"Renal (kidney) anomaly, congenital - dysplasia","Urogenital system finding, Congenital finding, Abdominal finding"
"Renal (kidney) anomaly, congenital - hypoplasia","Urogenital system finding, Congenital finding, Abdominal finding"
"Renal (kidney) anomaly, congenital - Polycystic kidney disease (PKD)","Urogenital system finding, Congenital finding, Abdominal finding"
Renal disease,"Urogenital system finding, Abdominal finding"
"Renal (kidney) disease, end stage","Urogenital system finding, Abdominal finding"
Renal (kidney) failure - acute,"Urogenital system finding, Abdominal finding"
Renal (kidney) failure - acute-on-chronic,"Urogenital system finding, Abdominal finding"
Renal (kidney) failure - chronic,"Urogenital system finding, Abdominal finding"
Renal (kidney) failure - congenital,"Urogenital system finding, Congenital disorder finding, Abdominal finding"
Renal (kidney) failure - transient acute,"Urogenital system finding, Abdominal finding"
Renal (kidney) failure/insufficiency syndrome,"Urogenital system finding, Abdominal finding"
Seminoma,"Urogenital system finding, Reproductive system finding, Mass lesion/swelling finding"
Sertoli-cell tumour,"Urogenital system finding, Reproductive system finding, Mass lesion/swelling finding"
Testicular torsion,"Urogenital system finding, Reproductive system finding"
Thrombosis - renal artery,"Cardiovascular system finding, Urogenital system finding, Abdominal finding"
Thrombosis - renal vein,"Cardiovascular system finding, Urogenital system finding, Abdominal finding"
Transitional cell carcinoma of urinary bladder,"Urogenital system finding, Mass lesion/swelling finding, Abdominal finding"
"Ureteric anomaly, congenital","Urogenital system finding, Congenital finding, Abdominal finding"
"Ureteric anomaly, congenital - ectopic ureter","Urogenital system finding, Congenital finding, Abdominal finding"
Ureteric rupture,"Urogenital system finding, Abdominal finding"
Ureteric stricture,"Urogenital system finding, Abdominal finding"
Ureteric obstruction,"Urogenital system finding, Abdominal finding"
Urethral obstruction,Urogenital system finding
Urethral rupture,Urogenital system finding
Urethral rupture - iatrogenic,Urogenital system finding
Urethral stricture,Urogenital system finding
Urethritis,"Urogenital system finding, Inflammatory disorder finding"
"Urinary bladder, functional disorder","Urogenital system finding, Abdominal finding"
"Urinary bladder, functional disorder - atony","Urogenital system finding, Abdominal finding"
"Urinary bladder, functional disorder - neurogenic dysfunction","Urogenital system finding, Nervous system finding, Abdominal finding"
"Urinary bladder, functional disorder of bladder neck/sphincter mechanism","Urogenital system finding, Abdominal finding"
"Urinary bladder, intra-pelvic position","Urogenital system finding, Abdominal finding"
Urinary bladder rupture,"Urogenital system finding, Abdominal finding"
Urinary incontinence,Urogenital system finding
Urinary incontinence - overflow,Urogenital system finding
Urinary incontinence - post-micturition,Urogenital system finding
Urinary incontinence due to urethral sphincter mechanism incompetence (USMI),Urogenital system finding
Urinary retention,"Urogenital system finding, Abdominal finding"
Urinary tract infection (UTI),"Urogenital system finding, Infectious disorder finding"
Urinary tract infection (UTI) - bacterial,"Urogenital system finding, Infectious disorder finding"
"Urinary tract infection (UTI) - bacterial, coliform","Urogenital system finding, Infectious disorder finding"
"Urinary tract infection (UTI), chronic","Urogenital system finding, Infectious disorder finding"
"Urinary tract infection, lower (LUTI)","Urogenital system finding, Infectious disorder finding"
"Urinary tract infection (UTI), recurrent","Urogenital system finding, Infectious disorder finding"
Urolithiasis,Urogenital system finding
Urolithiasis - renal (nephrolithiasis),"Urogenital system finding, Abdominal finding"
Urolithiasis - ureteric,"Urogenital system finding, Abdominal finding"
Urolithiasis - urethral,Urogenital system finding
Urolithiasis - urinary bladder,"Urogenital system finding, Abdominal finding"
Urolithiasis/crystalluria - calcium oxalate,Urogenital system finding
Urolithiasis/crystalluria - cystine,Urogenital system finding
Urolithiasis/crystalluria - magnesium-ammonium-phosphate hexahydrate (struvite),Urogenital system finding
Urolithiasis/crystalluria - urate,Urogenital system finding
Vaginal disorder,"Urogenital system finding, Reproductive system finding, Pelvic structure finding"
Vaginal hyperplasia/prolapse,"Urogenital system finding, Reproductive system finding, Pelvic structure finding"
Vaginitis,"Urogenital system finding, Reproductive system finding, Inflammatory disorder finding, Pelvic structure finding"
"Vaginitis, Juvenile","Urogenital system finding, Reproductive system finding, Inflammatory disorder finding, Pelvic structure finding"
Vulval disorder,"Urogenital system finding, Reproductive system finding"
Renal (kidney) disorder,"Urogenital system finding, Abdominal finding"
Renal (kidney) failure - anuric,"Urogenital system finding, Abdominal finding"
Renal (kidney) failure - oliguric,"Urogenital system finding, Abdominal finding"
Renal (kidney) failure - polyuric,"Urogenital system finding, Abdominal finding"
Fracture of os penis,"Musculoskeletal system finding, Urogenital system finding, Reproductive system finding"
Mass lesion - prepuce,"Urogenital system finding, Reproductive system finding, Mass lesion/swelling finding"
Prepuce disorder,"Urogenital system finding, Reproductive system finding"
Scrotal disorder,"Urogenital system finding, Reproductive system finding"
Testicular disorder,"Urogenital system finding, Reproductive system finding"
Urethral prolapse,Urogenital system finding
Idiopathic renal haemorrhage,"Urogenital system finding, Cardiovascular system finding, Abdominal finding"
Glucosuria,Urogenital system finding
Renal tubular glucosuria,"Urogenital system finding, Abdominal finding"
Urinary tract rupture,Urogenital system finding
Urinary bladder diverticulum,"Urogenital system finding, Abdominal finding"
Acute kidney (renal) failure (ARF) – azotaemic (urine output unspecified),"Urogenital system finding, Endocrine/Metabolic finding, Abdominal finding"
"Acute kidney (renal) failure (ARF) – azotaemic, anuric","Urogenital system finding, Endocrine/Metabolic finding, Abdominal finding"
"Acute kidney (renal) failure (ARF) – azotaemic, oliguric","Urogenital system finding, Endocrine/Metabolic finding, Abdominal finding"
"Acute kidney (renal) failure (ARF) – azotaemic, polyuric","Urogenital system finding, Endocrine/Metabolic finding, Abdominal finding"
Acute kidney (renal) injury (AKI) – non-azotaemic,"Urogenital system finding, Abdominal finding"
"Chronic kidney (renal) disease (CRF, CKD) (azotaemia unspecified)","Urogenital system finding, Abdominal finding"
"Chronic kidney (renal) disease (CRF, CKD) – azotaemic","Urogenital system finding, Endocrine/metabolic finding, Abdominal finding"
"Chronic kidney (renal) disease (CRF, CKD) – non-azotaemic","Urogenital system finding, Abdominal finding"
Acute-on-chronic kidney (renal) disease,"Urogenital system finding, Abdominal finding"
Protein-losing nephropathy (PLN) (azotaemia unspecified),"Urogenital system finding, Abdominal finding"
Protein-losing nephropathy (PLN) – azotaemic,"Urogenital system finding, Endocrine/Metabolic finding, Abdominal finding"
Protein-losing nephropathy (PLN) – non-azotaemic,"Urogenital system finding, Abdominal finding"
Azotaemia – post-renal,"Endocrine/Metabolic finding, Urogenital system finding"
Azotaemia – renal,"Endocrine/Metabolic finding, Urogenital system finding, Abdominal finding"
Interstitial nephritis,"Urogenital system finding, Inflammatory disorder finding, Abdominal finding"
"Renal (kidney) anomaly, congenital (unspecified)","Urogenital system finding, Congenital finding, Abdominal finding"
"Renal (kidney) anomaly, congenital – aplasia","Urogenital system finding, Congenital finding, Abdominal finding"
"Renal (kidney) anomaly, congenital – dysgenesis","Urogenital system finding, Congenital finding, Abdominal finding"
"IRIS azotaemia Stage I (<125 µmol/L dogs, <140 µmol/L cats)","Urogenital system finding, Endocrine/metabolic finding, Abdominal finding"
"IRIS azotaemia Stage II (125-180 µmol/L dogs, 140-250 µmol/L cats)","Urogenital system finding, Endocrine/metabolic finding, Abdominal finding"
"IRIS azotaemia Stage III (180-400 µmol/L dogs, 250-440 µmol/L cats)","Urogenital system finding, Endocrine/metabolic finding, Abdominal finding"
IRIS azotaemia Stage IV (>440 µmol/L dogs & cats),"Urogenital system finding, Endocrine/metabolic finding, Abdominal finding"
IRIS non-proteinuric (<0.2 dogs & cats),"Urogenital system finding, Abdominal finding"
"IRIS borderline proteinuric (0.2-0.5 dogs, 0.2-0.4 cats)","Urogenital system finding, Abdominal finding"
"IRIS proteinuric (>0.5 dogs, >0.4 cats)","Urogenital system finding, Abdominal finding"
"IRIS blood pressure – Minimal Risk (SBP <150, DBP <95 mmHg)","Urogenital system finding, Cardiovascular system finding, Abdominal finding"
"IRIS blood pressure – Low Risk (SBP 150-159, DBP 95-99 mmHg)","Urogenital system finding, Cardiovascular system finding, Abdominal finding"
"IRIS blood pressure – Moderate Risk (SBP 160-179, DBP 100-119 mmHg)","Urogenital system finding, Cardiovascular system finding, Abdominal finding"
"IRIS blood pressure – Severe Risk (SBP >180, DBP >120 mmHg)","Urogenital system finding, Cardiovascular system finding, Abdominal finding"
IRIS blood pressure – end organ damage (ocular) – hypertension,"Urogenital system finding, Cardiovascular system finding, Abdominal finding"
IRIS blood pressure – end organ damage (cardiac) – hypertension,"Urogenital system finding, Cardiovascular system finding, Abdominal finding"
IRIS blood pressure – end organ damage (other) – hypertension,"Urogenital system finding, Cardiovascular system finding, Abdominal finding"
Carcinoma - prostatic,"Mass lesion/swelling finding, Urogenital system finding, Reproductive system finding, Pelvic structure finding"
Carcinoma in situ - prostatic,"Mass lesion/swelling finding, Urogenital system finding, Reproductive system finding, Pelvic structure finding"
Carcinoma - renal (kidney),"Mass lesion/swelling finding, Urogenital system finding, Abdominal finding"
Carcinoma in situ - renal (kidney),"Mass lesion/swelling finding, Urogenital system finding, Abdominal finding"
Carcinoma - urethral,"Mass lesion/swelling finding, Urogenital system finding"
Carcinoma in situ - urethral,"Mass lesion/swelling finding, Urogenital system finding"
